Device: cuda

============================================================
  C0: baseline SGD lr=0.03
  opt_kwargs={'lr': 0.03}
============================================================
  step=    0  loss=2.7300  acc=0.0664  val=0.0752  best=0.0752  time=12s
  step=  500  loss=1.8816  acc=0.3281  val=0.2898  best=0.2898  time=424s
  step= 1000  loss=1.8976  acc=0.3477  val=0.3325  best=0.3325  time=836s
  step= 1500  loss=1.6822  acc=0.3906  val=0.3893  best=0.3893  time=1249s
  step= 2000  loss=1.6130  acc=0.4727  val=0.4326  best=0.4326  time=1661s
  step= 2500  loss=1.4639  acc=0.4844  val=0.4544  best=0.4544  time=2073s
  step= 3000  loss=1.3876  acc=0.5078  val=0.4700  best=0.4700  time=2485s
  step= 3500  loss=1.4588  acc=0.5391  val=0.4795  best=0.4795  time=2898s
  step= 4000  loss=1.4152  acc=0.5234  val=0.4914  best=0.4914  time=3310s
  step= 4500  loss=1.2410  acc=0.5977  val=0.5007  best=0.5007  time=3722s
  step= 5000  loss=1.3549  acc=0.5391  val=0.5048  best=0.5048  time=4135s
  step= 5500  loss=1.2533  acc=0.5312  val=0.5073  best=0.5073  time=4547s
  step= 6000  loss=1.3935  acc=0.5352  val=0.5112  best=0.5112  time=4959s
  step= 6500  loss=1.1814  acc=0.6133  val=0.5141  best=0.5141  time=5372s
  step= 7000  loss=1.4097  acc=0.5312  val=0.5147  best=0.5147  time=5784s
  step= 7500  loss=1.2042  acc=0.5703  val=0.5148  best=0.5148  time=6196s
  step= 8000  loss=1.2425  acc=0.5742  val=0.5179  best=0.5179  time=6609s
  step= 8500  loss=1.1337  acc=0.5742  val=0.5140  best=0.5179  time=7020s
