device,section,size,batch,variant,latency_us,tflops,samples_per_s,weight_bytes,peak_bytes,test_acc,logit_mse
NVIDIA H200 NVL,speed,512,512,fp32,106.51646686407426,5.0402621097553055,4806768.522029215,2097152,,,
NVIDIA H200 NVL,speed,512,512,tf32,37.75096653650204,14.221381894444756,13562566.656536823,2097152,,,
NVIDIA H200 NVL,speed,512,512,bf16,82.52849996400376,6.505278930722909,6203917.437289151,1048576,,,
NVIDIA H200 NVL,speed,512,512,dyadic-int8,33.759999011332795,15.902574873292485,15165877.221386418,524296,,,
NVIDIA H200 NVL,speed,512,512,ptq-int8,67.08633348656197,8.002686748524427,7631956.814312389,524296,,,
NVIDIA H200 NVL,speed,1024,1024,fp32,212.2163656167686,20.238624309286667,4825264.050790469,8388608,,,
NVIDIA H200 NVL,speed,1024,1024,tf32,53.88549955872198,79.70543710594237,19003257.061467733,8388608,,,
NVIDIA H200 NVL,speed,1024,1024,bf16,38.07346608179311,112.80736265968366,26895371.117516436,4194304,,,
NVIDIA H200 NVL,speed,1024,1024,dyadic-int8,77.76666704254846,55.2288976670441,13167595.307122255,2097160,,,
NVIDIA H200 NVL,speed,1024,1024,ptq-int8,92.83963202809295,46.26221800082488,11029772.281843396,2097160,,,
NVIDIA H200 NVL,speed,2048,2048,fp32,1406.7044656258076,24.42569793983999,1455885.049095153,33554432,,,
NVIDIA H200 NVL,speed,2048,2048,tf32,182.79756574581066,187.96606085979818,11203650.287377726,33554432,,,
NVIDIA H200 NVL,speed,2048,2048,bf16,140.31886627587178,244.86898504758122,14595328.870271517,16777216,,,
NVIDIA H200 NVL,speed,2048,2048,dyadic-int8,161.91523366918165,212.20818813257785,12648593.672071567,8388616,,,
NVIDIA H200 NVL,speed,2048,2048,ptq-int8,152.34186624487242,225.54363560684354,13443448.281696053,8388616,,,
NVIDIA H200 NVL,speed,4096,4096,fp32,9484.367000792798,28.982209031032117,431868.56852519687,134217728,369099264.0,,
NVIDIA H200 NVL,speed,4096,4096,tf32,1193.815766600892,230.25153012231513,3431015.165482687,134217728,771751936.0,,
NVIDIA H200 NVL,speed,4096,4096,bf16,670.9052346802006,409.7119723250119,6105184.142664253,67108864,805306368.0,,
NVIDIA H200 NVL,speed,4096,4096,dyadic-int8,596.0913336214919,461.13387569989897,6871430.213747903,33554440,721421056.0,,
NVIDIA H200 NVL,speed,4096,4096,ptq-int8,578.01753282547,475.552887816983,7086290.237560615,33554440,721421056.0,,
NVIDIA H200 NVL,speed,8192,8192,fp32,77946.37753395364,28.212000674362326,105097.89241240294,536870912,1375732224.0,,
NVIDIA H200 NVL,speed,8192,8192,tf32,9255.900266968336,237.5806990271585,885057.0731876735,536870912,1946157312.0,,
NVIDIA H200 NVL,speed,8192,8192,bf16,6260.25339976574,351.2674511920377,1308573.228091142,268435456,2214592768.0,,
NVIDIA H200 NVL,speed,8192,8192,dyadic-int8,3130.6519677552083,702.4170294881997,2616707.3454268263,134217736,1694500096.0,,
NVIDIA H200 NVL,speed,8192,8192,ptq-int8,3136.5194319126504,701.1030230445712,2611812.2899702606,134217736,1694500096.0,,
NVIDIA H200 NVL,mnist,128,5000,fp32,,,,406528,,0.9601999521255493,0.0
NVIDIA H200 NVL,mnist,128,5000,tf32,,,,406528,,0.9601999521255493,2.63636411546031e-06
NVIDIA H200 NVL,mnist,128,5000,bf16,,,,203264,,0.9603999853134155,0.00010838592424988747
NVIDIA H200 NVL,mnist,128,5000,dyadic-int8,,,,101640,,0.9611999988555908,0.022951073944568634
NVIDIA H200 NVL,mnist,128,5000,ptq-int8,,,,101640,,0.9603999853134155,0.010606037452816963
