step_bucket,key,metric,count,mean,max
300,layer/block0,rel_delta,300,0.000104628,0.000206767
300,layer/block0.attn,rel_delta,300,0.000912968,0.0011298
300,layer/block0.mlp,rel_delta,300,0.000127237,0.000252946
300,layer/block1,rel_delta,300,2.53059e-05,3.29384e-05
300,layer/block1.attn,rel_delta,300,4.90266e-05,0.00017776
300,layer/block1.mlp,rel_delta,300,2.98612e-05,3.84164e-05
300,layer/block2,rel_delta,300,2.59278e-05,3.75541e-05
300,layer/block2.attn,rel_delta,300,2.75702e-05,3.51953e-05
300,layer/block2.mlp,rel_delta,300,3.32915e-05,4.61828e-05
300,layer/block3,rel_delta,300,2.48286e-05,4.29363e-05
300,layer/block3.attn,rel_delta,300,2.79953e-05,4.34749e-05
300,layer/block3.mlp,rel_delta,300,3.15149e-05,5.13053e-05
300,layer/head,rel_delta,300,0.0190233,0.0307363
300,layer/patch_embed,rel_delta,300,0.00084025,0.000943876
300,"matmul_(256, 10)",a_rel_move,300,4.01432e-08,4.04063e-08
300,"matmul_(256, 10)",t_max,300,2.24677e-07,1.11016e-06
300,"matmul_(256, 10)",t_mean,300,4.99491e-09,1.37078e-08
300,"matmul_(256, 10)",t_sat,300,0,0
300,"matmul_(256, 10)",z_norm,300,5754.99,11297
300,"matmul_(256, 64, 128)",a_rel_move,6300,7.32587e-06,0.000286127
300,"matmul_(256, 64, 128)",t_max,6300,0.0239773,0.499997
300,"matmul_(256, 64, 128)",t_mean,6300,2.038e-06,4.24612e-05
300,"matmul_(256, 64, 128)",t_sat,6300,5.84012e-07,5.29289e-05
300,"matmul_(256, 64, 128)",z_norm,6300,49605.7,491552
300,"matmul_(256, 64, 512)",a_rel_move,1200,7.58043e-06,0.000151548
300,"matmul_(256, 64, 512)",t_max,1200,0.0560442,0.499997
300,"matmul_(256, 64, 512)",t_mean,1200,1.40852e-06,1.08281e-05
300,"matmul_(256, 64, 512)",t_sat,1200,4.33425e-07,1.68085e-05
300,"matmul_(256, 64, 512)",z_norm,1200,171205,855674
300,"matmul_pw_(256, 16, 64, 64)",a_rel_move,1200,0.000242433,0.000399236
300,"matmul_pw_(256, 16, 64, 64)",t_max,1200,0.505266,0.523271
300,"matmul_pw_(256, 16, 64, 64)",t_mean,1200,1.02357e-05,3.25294e-05
300,"matmul_pw_(256, 16, 64, 64)",t_sat,1200,6.87425e-06,1.71661e-05
300,"matmul_pw_(256, 16, 64, 64)",z_norm,1200,4001.31,4559.31
300,"matmul_pw_(256, 16, 64, 8)",a_rel_move,1200,0.0148546,0.0656223
300,"matmul_pw_(256, 16, 64, 8)",t_max,1200,0.196079,0.50761
300,"matmul_pw_(256, 16, 64, 8)",t_mean,1200,1.45646e-05,9.0172e-05
300,"matmul_pw_(256, 16, 64, 8)",t_sat,1200,3.00527e-06,2.43187e-05
300,"matmul_pw_(256, 16, 64, 8)",z_norm,1200,36785,175757
300,rmsnorm,rel_delta,2400,0.000124287,0.000499765
300,rmsnorm,sigma_flip,2400,0,0
300,softmax,clamp_frac,1200,0.00032566,0.00103521
300,softmax,max_logit_disp,1200,12.4769,15.9481
300,softmax,mean_logit_disp,1200,0.0077027,0.0265726
300,softmax,z_min,1200,-0.12355,0.000521735
