step_bucket,key,metric,count,mean,max
300,layer/block0,rel_delta,300,5.60749e-07,8.7366e-07
300,layer/block0.attn,rel_delta,300,5.79883e-07,9.06035e-07
300,layer/block0.mlp,rel_delta,300,6.86548e-07,1.05962e-06
300,layer/block1,rel_delta,300,7.15759e-07,1.14882e-06
300,layer/block1.attn,rel_delta,300,7.09613e-07,1.12707e-06
300,layer/block1.mlp,rel_delta,300,8.40528e-07,1.34642e-06
300,layer/block2,rel_delta,300,8.2365e-07,1.37097e-06
300,layer/block2.attn,rel_delta,300,7.84908e-07,1.27616e-06
300,layer/block2.mlp,rel_delta,300,1.02189e-06,1.69238e-06
300,layer/block3,rel_delta,300,9.21408e-07,1.57653e-06
300,layer/block3.attn,rel_delta,300,9.5839e-07,1.58767e-06
300,layer/block3.mlp,rel_delta,300,1.12256e-06,1.90197e-06
300,layer/head,rel_delta,300,0.0171326,0.0278685
300,layer/patch_embed,rel_delta,300,3.85436e-07,5.79467e-07
300,"matmul_(256, 10)",a_rel_move,300,9.21607e-07,1.57655e-06
300,"matmul_(256, 10)",t_max,300,0.334385,0.526719
300,"matmul_(256, 10)",t_mean,300,0.00876761,0.0139048
300,"matmul_(256, 10)",t_sat,300,9.63542e-05,0.0015625
300,"matmul_(256, 10)",z_norm,300,5863.07,11151.3
300,"matmul_(256, 64, 128)",a_rel_move,6300,9.84679e-10,6.23785e-09
300,"matmul_(256, 64, 128)",t_max,6300,8.99914e-05,0.00172426
300,"matmul_(256, 64, 128)",t_mean,6300,1.87713e-06,2.98379e-05
300,"matmul_(256, 64, 128)",t_sat,6300,0,0
300,"matmul_(256, 64, 128)",z_norm,6300,36869.4,209921
300,"matmul_(256, 64, 512)",a_rel_move,1200,2.80908e-12,3.45699e-12
300,"matmul_(256, 64, 512)",t_max,1200,5.34113e-06,1.76346e-05
300,"matmul_(256, 64, 512)",t_mean,1200,1.22053e-07,3.72851e-07
300,"matmul_(256, 64, 512)",t_sat,1200,0,0
300,"matmul_(256, 64, 512)",z_norm,1200,127331,413030
300,"matmul_pw_(256, 16, 64, 64)",a_rel_move,1200,1.54084e-08,1.96783e-08
300,"matmul_pw_(256, 16, 64, 64)",t_max,1200,2.76463e-07,1.49012e-06
300,"matmul_pw_(256, 16, 64, 64)",t_mean,1200,2.7266e-08,2.93547e-08
300,"matmul_pw_(256, 16, 64, 64)",t_sat,1200,0,0
300,"matmul_pw_(256, 16, 64, 64)",z_norm,1200,4117.7,4197.38
300,"matmul_pw_(256, 16, 64, 8)",a_rel_move,1200,2.2846e-09,1.2535e-08
300,"matmul_pw_(256, 16, 64, 8)",t_max,1200,4.72681e-09,5.67474e-08
300,"matmul_pw_(256, 16, 64, 8)",t_mean,1200,7.36919e-12,1.95377e-11
300,"matmul_pw_(256, 16, 64, 8)",t_sat,1200,0,0
300,"matmul_pw_(256, 16, 64, 8)",z_norm,1200,28176.6,91968.1
300,rmsnorm,rel_delta,2400,1.04407e-07,1.0738e-07
300,rmsnorm,sigma_flip,2400,0,0
300,softmax,clamp_frac,1200,0,0
300,softmax,max_logit_disp,1200,2.31189e-06,1.2517e-05
300,softmax,mean_logit_disp,1200,2.28939e-07,2.45885e-07
300,softmax,z_min,1200,0.000284472,0.000484502
100,layer/block0,rel_delta,100,6.72031e-07,8.7366e-07
100,layer/block0.attn,rel_delta,100,6.92911e-07,9.06035e-07
100,layer/block0.mlp,rel_delta,100,8.21541e-07,1.05962e-06
100,layer/block1,rel_delta,100,8.70077e-07,1.14882e-06
100,layer/block1.attn,rel_delta,100,8.53641e-07,1.12707e-06
100,layer/block1.mlp,rel_delta,100,1.01847e-06,1.34642e-06
100,layer/block2,rel_delta,100,1.02426e-06,1.37097e-06
100,layer/block2.attn,rel_delta,100,9.61583e-07,1.27616e-06
100,layer/block2.mlp,rel_delta,100,1.26499e-06,1.69238e-06
100,layer/block3,rel_delta,100,1.16542e-06,1.57653e-06
100,layer/block3.attn,rel_delta,100,1.19131e-06,1.58767e-06
100,layer/block3.mlp,rel_delta,100,1.40697e-06,1.90197e-06
100,layer/head,rel_delta,100,0.0167895,0.0278685
100,layer/patch_embed,rel_delta,100,4.58294e-07,5.79467e-07
100,"matmul_(256, 10)",a_rel_move,100,1.16546e-06,1.57655e-06
100,"matmul_(256, 10)",t_max,100,0.381255,0.526719
100,"matmul_(256, 10)",t_mean,100,0.0105952,0.0139048
100,"matmul_(256, 10)",t_sat,100,0.000203125,0.0015625
100,"matmul_(256, 10)",z_norm,100,6627.15,11151.3
100,"matmul_(256, 64, 128)",a_rel_move,2100,1.21925e-09,6.23785e-09
100,"matmul_(256, 64, 128)",t_max,2100,0.000104319,0.00172426
100,"matmul_(256, 64, 128)",t_mean,2100,2.27511e-06,2.98379e-05
100,"matmul_(256, 64, 128)",t_sat,2100,0,0
100,"matmul_(256, 64, 128)",z_norm,2100,35284.8,195253
100,"matmul_(256, 64, 512)",a_rel_move,400,2.84809e-12,3.45699e-12
100,"matmul_(256, 64, 512)",t_max,400,5.27326e-06,1.76346e-05
100,"matmul_(256, 64, 512)",t_mean,400,1.19384e-07,3.69282e-07
100,"matmul_(256, 64, 512)",t_sat,400,0,0
100,"matmul_(256, 64, 512)",z_norm,400,122292,387688
100,"matmul_pw_(256, 16, 64, 64)",a_rel_move,400,1.5414e-08,1.96783e-08
100,"matmul_pw_(256, 16, 64, 64)",t_max,400,3.21244e-07,1.49012e-06
100,"matmul_pw_(256, 16, 64, 64)",t_mean,400,2.73074e-08,2.9313e-08
100,"matmul_pw_(256, 16, 64, 64)",t_sat,400,0,0
100,"matmul_pw_(256, 16, 64, 64)",z_norm,400,4127.96,4197.38
100,"matmul_pw_(256, 16, 64, 8)",a_rel_move,400,2.83276e-09,1.2535e-08
100,"matmul_pw_(256, 16, 64, 8)",t_max,400,5.93482e-09,5.67474e-08
100,"matmul_pw_(256, 16, 64, 8)",t_mean,400,9.67366e-12,1.95377e-11
100,"matmul_pw_(256, 16, 64, 8)",t_sat,400,0,0
100,"matmul_pw_(256, 16, 64, 8)",z_norm,400,27141.6,85540.8
100,rmsnorm,rel_delta,800,1.04399e-07,1.07259e-07
100,rmsnorm,sigma_flip,800,0,0
100,softmax,clamp_frac,400,0,0
100,softmax,max_logit_disp,400,2.6951e-06,1.2517e-05
100,softmax,mean_logit_disp,400,2.29275e-07,2.45516e-07
100,softmax,z_min,400,0.000278905,0.000448264
