step_bucket,key,metric,count,mean,max
200,layer/block0,rel_delta,200,0.0419618,0.0476826
200,layer/block0.attn,rel_delta,200,0.115568,0.140858
200,layer/block0.mlp,rel_delta,200,0.0877112,0.0984825
200,layer/block1,rel_delta,200,0.029046,0.031218
200,layer/block1.attn,rel_delta,200,0.0925951,0.113444
200,layer/block1.mlp,rel_delta,200,0.0663146,0.0719387
200,layer/block2,rel_delta,200,0.0193617,0.0199338
200,layer/block2.attn,rel_delta,200,0.0707651,0.0866748
200,layer/block2.mlp,rel_delta,200,0.0525607,0.0572158
200,layer/block3,rel_delta,200,0.00999836,0.0100001
200,layer/block3.attn,rel_delta,200,0.0449362,0.0549346
200,layer/block3.mlp,rel_delta,200,0.0313366,0.0344929
200,layer/head,rel_delta,200,0.244439,0.410656
200,layer/patch_embed,rel_delta,200,0.0561755,0.0679497
200,"matmul_(256, 10)",a_rel_move,200,0.000233521,0.000361844
200,"matmul_(256, 10)",t_max,200,0.967913,0.999993
200,"matmul_(256, 10)",t_mean,200,0.0956184,0.119176
200,"matmul_(256, 10)",t_sat,200,0.0789316,0.132031
200,"matmul_(256, 10)",z_norm,200,325.515,712.593
200,"matmul_(256, 64, 128)",a_rel_move,4200,9.74038e-05,0.000510644
200,"matmul_(256, 64, 128)",t_max,4200,0.0718625,0.511843
200,"matmul_(256, 64, 128)",t_mean,4200,0.00483525,0.015389
200,"matmul_(256, 64, 128)",t_sat,4200,1.4078e-08,2.3365e-05
200,"matmul_(256, 64, 128)",z_norm,4200,1459.35,2280.26
200,"matmul_(256, 64, 512)",a_rel_move,800,1.5393e-05,1.75139e-05
200,"matmul_(256, 64, 512)",t_max,800,0.0418528,0.502624
200,"matmul_(256, 64, 512)",t_mean,800,0.00132799,0.00141986
200,"matmul_(256, 64, 512)",t_sat,800,4.17233e-09,2.38419e-07
200,"matmul_(256, 64, 512)",z_norm,800,3126.07,3768.7
200,"matmul_pw_(256, 16, 64, 64)",a_rel_move,800,0.00183114,0.00191247
200,"matmul_pw_(256, 16, 64, 64)",t_max,800,0.509065,0.513827
200,"matmul_pw_(256, 16, 64, 64)",t_mean,800,0.00153933,0.00160854
200,"matmul_pw_(256, 16, 64, 64)",t_sat,800,0.000288286,0.000313163
