framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,0,0.0,0.11087740212678909,0.5481297969818115
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,100,0.14875,0.1901041716337204,24.742705821990967
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,200,0.185078125,0.2133413553237915,31.277997255325317
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,300,0.2212890625,0.18679888546466827,37.81805634498596
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,400,0.219453125,0.270432710647583,44.35555362701416
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,500,0.2214453125,0.2371794879436493,50.89056730270386
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,600,0.255703125,0.31630608439445496,57.42329406738281
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,700,0.2441015625,0.24288862943649292,63.95648145675659
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,800,0.281796875,0.18609775602817535,70.48862957954407
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,900,0.2905859375,0.3046875,77.02644395828247
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1000,0.264921875,0.29326924681663513,83.57612156867981
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1100,0.307421875,0.35987579822540283,90.11755180358887
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1200,0.2846484375,0.34795674681663513,96.66505765914917
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1300,0.319609375,0.33153045177459717,103.20760774612427
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1400,0.3131640625,0.40815305709838867,109.75381684303284
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1500,0.3333203125,0.3223157227039337,116.2929105758667
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1600,0.3191015625,0.3919270932674408,122.83954453468323
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1700,0.3280859375,0.3314302861690521,129.4547905921936
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1800,0.376484375,0.33493590354919434,136.0930197238922
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1900,0.310625,0.3652844727039337,142.7033612728119
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2000,0.3831640625,0.26953125,149.26418828964233
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2100,0.364765625,0.42788460850715637,155.8053493499756
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2200,0.338046875,0.4446113705635071,162.35116052627563
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2300,0.3839453125,0.23127003014087677,168.89782881736755
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2400,0.3645703125,0.41356170177459717,175.44193506240845
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2500,0.4032421875,0.29006409645080566,181.98470830917358
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2600,0.3821875,0.4201722741127014,188.5280601978302
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2700,0.4003125,0.3195112347602844,195.06716799736023
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2800,0.3319140625,0.45412659645080566,201.61147713661194
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2900,0.4409765625,0.25580930709838867,208.15362787246704
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3000,0.3598828125,0.44781652092933655,214.6993911266327
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3100,0.449296875,0.35406652092933655,221.24518513679504
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3200,0.3831640625,0.2747395932674408,227.78785228729248
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3300,0.3622265625,0.4654447138309479,234.3333501815796
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3400,0.398125,0.39352965354919434,240.87751936912537
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3500,0.4540234375,0.41766828298568726,247.42316913604736
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3600,0.376328125,0.36858975887298584,253.97036337852478
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3700,0.4726953125,0.395432710647583,260.51960015296936
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3800,0.3502734375,0.36909055709838867,267.07136392593384
ptorch,CIFAR10,l2,ProjectionAdam,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3900,0.4551171875,0.414963960647583,273.6158301830292
