framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,0,0.0,0.117078997194767,0.13566327095031738
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,100,0.19462890625,0.257378488779068,23.793137550354004
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,200,0.30328125,0.3323567807674408,26.13458013534546
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,300,0.362724609375,0.3747829794883728,28.473799228668213
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,400,0.40375,0.3988715410232544,30.803725242614746
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,500,0.432724609375,0.4226345419883728,33.1286883354187
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,600,0.454599609375,0.4389106035232544,35.45436763763428
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,700,0.47685546875,0.4530164897441864,37.779669761657715
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,800,0.49169921875,0.4613715410232544,40.10848522186279
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,900,0.506171875,0.4689670205116272,42.4363157749176
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1000,0.519150390625,0.4764539897441864,44.75667977333069
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1100,0.528544921875,0.4791666567325592,47.0883424282074
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1200,0.539521484375,0.4852430522441864,49.418121337890625
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1300,0.547724609375,0.4879557192325592,51.74410939216614
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1400,0.554501953125,0.4930555522441864,54.0713005065918
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1500,0.563486328125,0.4957682192325592,56.399142026901245
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1600,0.570029296875,0.4964192807674408,58.72869062423706
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1700,0.576708984375,0.5011935830116272,61.05470323562622
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1800,0.5823046875,0.5011935830116272,63.37890076637268
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,1900,0.5886328125,0.5043402910232544,65.70171642303467
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2000,0.592568359375,0.5056423544883728,68.02864813804626
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2100,0.59970703125,0.5060763955116272,70.35358047485352
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2200,0.603798828125,0.5091145634651184,72.67855525016785
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2300,0.6083203125,0.5077040195465088,75.00378727912903
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2400,0.6119140625,0.5092231035232544,77.32742714881897
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2500,0.616220703125,0.5085720419883728,79.64853262901306
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2600,0.61927734375,0.5104166865348816,81.96608328819275
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2700,0.625087890625,0.5158420205116272,84.29344248771667
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2800,0.62748046875,0.5111762285232544,86.61813426017761
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,2900,0.63029296875,0.5121527910232544,88.94270944595337
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,3000,0.634052734375,0.5159505009651184,91.26649761199951
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,3100,0.636650390625,0.5164930820465088,93.5938606262207
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,3200,0.638173828125,0.5170356035232544,95.92014765739441
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,3300,0.64419921875,0.5143229365348816,98.24187231063843
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,3400,0.644599609375,0.5163845419883728,100.56440711021423
