framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,0,0.0,0.09965945780277252,0.359999418258667
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,100,0.1728515625,0.20352564752101898,17.8573579788208
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,200,0.2031640625,0.2339743673801422,28.209829807281494
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,300,0.21921875,0.2211538553237915,38.57290029525757
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,400,0.2225,0.22836539149284363,48.92966389656067
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,500,0.22125,0.20302484929561615,59.29600977897644
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,600,0.2187890625,0.21694712340831757,69.6665096282959
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,700,0.2219921875,0.23187099397182465,80.0280487537384
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,800,0.2315625,0.23597756028175354,90.39161276817322
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.5+mae=1e-08+pa=auto,1,900,0.2465234375,0.26252004504203796,100.75680136680603
