framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,0,0.0,0.09965945780277252,0.36283135414123535
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,100,0.1662109375,0.20342548191547394,14.764189720153809
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,200,0.21484375,0.2276642620563507,21.86366033554077
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,300,0.24109375,0.24619391560554504,28.961890697479248
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,400,0.26265625,0.2667267620563507,36.063737869262695
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,500,0.2679296875,0.2509014308452606,43.1706657409668
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,600,0.2768359375,0.26702725887298584,50.27897787094116
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,700,0.2836328125,0.28135016560554504,57.38534331321716
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,800,0.2932421875,0.27614182233810425,64.48849940299988
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,900,0.29984375,0.2818509638309479,71.59453916549683
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1000,0.30125,0.2912660241127014,78.700932264328
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1100,0.301484375,0.29176682233810425,85.80396032333374
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1200,0.305234375,0.30679085850715637,92.91010427474976
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1300,0.30546875,0.3020833432674408,100.01485133171082
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1400,0.3051953125,0.30218350887298584,107.11583805084229
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1500,0.3045703125,0.2983773946762085,114.21483612060547
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1600,0.3113671875,0.31430289149284363,121.32001566886902
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1700,0.313828125,0.29847756028175354,128.42743968963623
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1800,0.30859375,0.29196715354919434,135.5288383960724
