framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,0,0.0,0.09965945780277252,0.3599672317504883
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,100,0.1618359375,0.20562900602817535,22.48487687110901
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,200,0.2072265625,0.21774840354919434,30.846907377243042
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,300,0.2204296875,0.2317708432674408,39.212934494018555
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,400,0.2314453125,0.22345753014087677,47.582905530929565
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,500,0.2338671875,0.23447516560554504,55.94619536399841
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,600,0.2404296875,0.21264022588729858,64.30868864059448
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,700,0.2346484375,0.23988381028175354,72.66963505744934
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,800,0.235390625,0.18810096383094788,81.03487777709961
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,900,0.2324609375,0.24268829822540283,89.39480924606323
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+mae=1e-08,1,1000,0.216484375,0.24268829822540283,97.48337721824646
