framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,0,0.0,0.09965945780277252,0.3605842590332031
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,100,0.161875,0.20302484929561615,15.955631494522095
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,200,0.20265625,0.23056891560554504,24.278202772140503
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,300,0.223125,0.22696314752101898,32.603158950805664
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,400,0.2329296875,0.23106971383094788,40.929858922958374
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,500,0.2426953125,0.2345753163099289,49.26300406455994
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,600,0.24796875,0.2291666716337204,57.59844756126404
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,700,0.24453125,0.2727363705635071,65.9372878074646
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,800,0.24421875,0.20803286135196686,74.27323150634766
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,900,0.240625,0.23187099397182465,82.61412763595581
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1000,0.227265625,0.2727363705635071,90.67784547805786
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,0,0.0,0.09965945780277252,0.36104750633239746
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,100,0.161875,0.20302484929561615,16.093565464019775
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,200,0.20265625,0.23056891560554504,24.43484926223755
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,300,0.223125,0.22696314752101898,32.79029941558838
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,400,0.2329296875,0.23106971383094788,41.155975341796875
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,500,0.2426953125,0.2345753163099289,49.52326464653015
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,600,0.24796875,0.2291666716337204,57.88138198852539
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,700,0.24453125,0.2727363705635071,66.23826694488525
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,800,0.24421875,0.20803286135196686,74.5921721458435
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,900,0.240625,0.23187099397182465,82.9446952342987
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1000,0.227265625,0.19431090354919434,91.30115842819214
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1100,0.2294140625,0.22756411135196686,99.65880036354065
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1200,0.2240625,0.18429487943649292,108.01336455345154
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1300,0.2210546875,0.19310897588729858,116.36755967140198
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1400,0.2184375,0.18850161135196686,124.72240877151489
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1500,0.2220703125,0.24008414149284363,133.0769317150116
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1600,0.219609375,0.1833934336900711,141.43199372291565
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1700,0.218828125,0.23207131028175354,149.78313159942627
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1800,0.2208203125,0.21193911135196686,158.13429951667786
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,1900,0.220390625,0.25530850887298584,166.4871747493744
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2000,0.215234375,0.19310897588729858,174.83640551567078
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2100,0.2163671875,0.24709536135196686,183.18788886070251
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2200,0.214765625,0.2663261294364929,191.53947043418884
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2300,0.2191796875,0.25080129504203796,199.895840883255
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2400,0.2238671875,0.1912059336900711,208.2510712146759
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2500,0.2178125,0.2513020932674408,216.60368824005127
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2600,0.2198828125,0.19921875,224.96205115318298
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2700,0.2208203125,0.21474359929561615,233.31301593780518
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2800,0.2198046875,0.19200721383094788,241.6674609184265
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,2900,0.2172265625,0.25,250.01969838142395
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,3000,0.214921875,0.19350962340831757,258.37223410606384
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,3100,0.2074609375,0.22626201808452606,266.72532200813293
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,3200,0.2031640625,0.2068309336900711,275.076043844223
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,3300,0.19875,0.21754807233810425,283.42660427093506
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,3400,0.197265625,0.18810096383094788,291.77627658843994
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,3500,0.196484375,0.18309295177459717,300.12529587745667
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,ma=True+malr=0.5+mae=1e-08,1,3600,0.1908203125,0.2094351053237915,308.4782946109772
