framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,0,0.0,0.09965945780277252,0.36402010917663574
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,100,0.169296875,0.20673076808452606,12.557843208312988
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,200,0.2162109375,0.22445914149284363,18.84036612510681
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,300,0.2381640625,0.25080129504203796,25.124130964279175
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,400,0.2580859375,0.2624198794364929,31.41043257713318
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,500,0.27265625,0.2621193826198578,37.6981840133667
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,600,0.2821484375,0.27113381028175354,43.99142289161682
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,700,0.2862890625,0.28415465354919434,50.286593198776245
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,800,0.296796875,0.27894631028175354,56.56275033950806
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,900,0.2984375,0.2877604067325592,62.84090328216553
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1000,0.305859375,0.2845552861690521,69.13062524795532
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1100,0.3114453125,0.2944711446762085,75.40938568115234
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1200,0.3115234375,0.31480368971824646,81.69474816322327
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1300,0.3196875,0.3011818826198578,87.97248244285583
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1400,0.3202734375,0.30859375,94.25868272781372
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1500,0.3273046875,0.30999600887298584,100.52794861793518
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1600,0.3253125,0.3142027258872986,106.81071782112122
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1700,0.3358984375,0.31520432233810425,113.10250115394592
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1800,0.336640625,0.2988782227039337,119.388112783432
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,1900,0.3370703125,0.32111379504203796,125.67352032661438
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2000,0.3390625,0.31870993971824646,131.96034002304077
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2100,0.342421875,0.3087940812110901,138.2470829486847
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2200,0.338359375,0.31370192766189575,144.53133010864258
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2300,0.3475,0.3240184485912323,150.80960869789124
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2400,0.349140625,0.3233173191547394,157.09321475028992
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2500,0.349140625,0.3192107379436493,163.37339329719543
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2600,0.3587890625,0.33203125,169.6587221622467
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2700,0.3565625,0.317307710647583,175.94010305404663
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2800,0.35578125,0.33673879504203796,182.2253773212433
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,2900,0.3592578125,0.33884215354919434,188.50397849082947
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,3000,0.3671875,0.31690704822540283,194.7868766784668
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pa=auto,1,3100,0.362421875,0.32782453298568726,201.06535840034485
