framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,0,0.0,0.11087740212678909,0.38581180572509766
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,100,0.21125,0.29457131028175354,19.507448434829712
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,200,0.329609375,0.36318108439445496,30.401612043380737
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,300,0.3914453125,0.40745192766189575,41.296222448349
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,400,0.4216015625,0.4329927861690521,52.19458866119385
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,500,0.45953125,0.4475160241127014,63.105334997177124
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,600,0.470546875,0.46284055709838867,74.0262336730957
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,700,0.4847265625,0.4704527258872986,84.94014716148376
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,800,0.495703125,0.4771634638309479,95.85187029838562
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,900,0.500546875,0.485276460647583,106.76743364334106
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1000,0.4980078125,0.4906851053237915,117.68717932701111
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1100,0.516015625,0.5052083134651184,128.6145899295807
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1200,0.52390625,0.5059094429016113,139.54544639587402
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1300,0.5258203125,0.5106170177459717,150.4710476398468
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1400,0.5324609375,0.5132211446762085,161.4058620929718
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1500,0.540546875,0.5138221383094788,172.33488655090332
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1600,0.545703125,0.5239382982254028,183.2582187652588
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1700,0.545625,0.5287460088729858,194.187481880188
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1800,0.5494140625,0.5287460088729858,205.11148953437805
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,1900,0.550390625,0.5302484035491943,216.03280401229858
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2000,0.5556640625,0.5310496687889099,226.9690101146698
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2100,0.5576171875,0.5334535241127014,237.92687463760376
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2200,0.5566015625,0.5385617017745972,248.85490536689758
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2300,0.5642578125,0.5395632982254028,259.79124903678894
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2400,0.563984375,0.5418670177459717,270.7771999835968
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2500,0.5696484375,0.5427684187889099,281.7947018146515
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2600,0.57203125,0.5506811141967773,292.8256764411926
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2700,0.5778515625,0.5375601053237915,303.8220224380493
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2800,0.575859375,0.5480769276618958,314.7430741786957
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,2900,0.5775,0.5517828464508057,325.6299076080322
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,3000,0.5812890625,0.5505809187889099,336.5165505409241
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,3100,0.585,0.5480769276618958,347.38719511032104
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,3200,0.57984375,0.5430689454078674,358.2630558013916
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,3300,0.5832421875,0.5453726053237915,369.1394329071045
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+ma=True+malr=0.001+mae=1e-08+mam=rel_row+lrs=cosine+pa=auto,1,3400,0.5848828125,0.545973539352417,380.00877928733826
