framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,0,0.0,0.11087740212678909,0.3920114040374756
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,100,0.2076953125,0.3005809187889099,13.410680294036865
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,200,0.3402734375,0.3778044879436493,20.680957317352295
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,300,0.4066015625,0.4088541865348816,27.955682516098022
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,400,0.431796875,0.43219152092933655,35.22508645057678
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,500,0.4655078125,0.4483173191547394,42.50860786437988
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,600,0.4757421875,0.4568309485912323,49.79201793670654
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,700,0.49390625,0.46364182233810425,57.07244372367859
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,800,0.503125,0.4720552861690521,64.35184741020203
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,900,0.5160546875,0.4704527258872986,71.63163018226624
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1000,0.520859375,0.4839743673801422,78.91508722305298
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1100,0.5271875,0.49078527092933655,86.19302725791931
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1200,0.533515625,0.4952924847602844,93.47216701507568
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1300,0.540859375,0.49579328298568726,100.75074028968811
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1400,0.5437890625,0.49559295177459717,108.02686429023743
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1500,0.5464453125,0.4941907227039337,115.30291986465454
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1600,0.5524609375,0.5023037195205688,122.57490253448486
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1700,0.5633984375,0.5085136294364929,129.84395098686218
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1800,0.5634765625,0.5072115659713745,137.1186637878418
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,1900,0.56390625,0.49208733439445496,144.39320468902588
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2000,0.5638671875,0.512620210647583,151.66638231277466
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2100,0.564453125,0.49969953298568726,158.93757152557373
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2200,0.5696484375,0.49859777092933655,166.2109031677246
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2300,0.56921875,0.5127203464508057,173.48525953292847
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2400,0.566484375,0.5211338400840759,180.76401591300964
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2500,0.5763671875,0.5059094429016113,188.03825211524963
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2600,0.5730078125,0.5140224695205688,195.31029891967773
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2700,0.5761328125,0.5015023946762085,202.58470511436462
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2800,0.5822265625,0.49018430709838867,209.8705871105194
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,2900,0.5744140625,0.5110176205635071,217.153156042099
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3000,0.582890625,0.5188301205635071,224.4334909915924
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3100,0.581796875,0.5137219429016113,231.71243143081665
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3200,0.5845703125,0.5062099695205688,239.00360488891602
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3300,0.5820703125,0.5190304517745972,246.28258061408997
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3400,0.5833203125,0.5102163553237915,253.57517099380493
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3500,0.5823046875,0.506911039352417,260.84790563583374
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3600,0.5852734375,0.5253405570983887,268.11996936798096
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3700,0.57828125,0.5068109035491943,275.40375423431396
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3800,0.5903515625,0.49298879504203796,282.6873023509979
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,3900,0.57796875,0.5088140964508057,289.9683418273926
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,4000,0.5791796875,0.5123197436332703,297.24871611595154
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,4100,0.582109375,0.4945913553237915,304.530198097229
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,4200,0.5877734375,0.5044070482254028,311.80854630470276
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,4300,0.578125,0.5235376954078674,319.0862510204315
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+bm=delta_sum+sm=rel_floor+qkg=True+pa=auto,1,4400,0.5769921875,0.5267428159713745,326.3606331348419
