framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,0,0.0,0.11087740212678909,0.3791978359222412
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,100,0.19625,0.28856170177459717,21.662152528762817
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,200,0.3193359375,0.3493589758872986,29.184031009674072
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,300,0.3738671875,0.3795072138309479,36.74244260787964
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,400,0.399296875,0.3988381326198578,44.30207920074463
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,500,0.425546875,0.4114583432674408,51.85775113105774
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,600,0.4410546875,0.422776460647583,59.4020779132843
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,700,0.453359375,0.43199118971824646,66.94501233100891
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,800,0.4635546875,0.4418068826198578,74.50414204597473
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,900,0.468125,0.4475160241127014,82.06714034080505
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1000,0.4778515625,0.4466145932674408,89.63136720657349
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1100,0.4814453125,0.45042067766189575,97.15049004554749
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1200,0.48546875,0.4592347741127014,104.71031856536865
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1300,0.49078125,0.46083733439445496,112.26783561706543
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1400,0.4894140625,0.46274039149284363,119.82919836044312
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1500,0.5001171875,0.4702524244785309,127.35181856155396
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1600,0.5028515625,0.46083733439445496,134.9170093536377
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1700,0.504765625,0.4668469727039337,142.48647260665894
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1800,0.5071484375,0.46233975887298584,150.05001020431519
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=dyt+sm=rel_floor+qkg=True+pa=auto,1,1900,0.5087109375,0.46774840354919434,157.57321906089783
