framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,0,0.0,0.0989583358168602,0.37809014320373535
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,100,0.198828125,0.28655850887298584,35.112642765045166
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,200,0.3294921875,0.36338141560554504,42.50317335128784
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,300,0.39484375,0.40074118971824646,49.894442081451416
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,400,0.42515625,0.41796875,57.289900064468384
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,500,0.453125,0.4363982379436493,64.688063621521
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,600,0.467578125,0.44931891560554504,72.0902361869812
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,700,0.4850390625,0.45823317766189575,79.48478150367737
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,800,0.4965625,0.46714743971824646,86.8892388343811
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,900,0.5102734375,0.4681490361690521,94.29460096359253
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1000,0.51921875,0.4832732379436493,101.6980185508728
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1100,0.5260546875,0.4849759638309479,109.10308241844177
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1200,0.5303515625,0.4886818826198578,116.50045037269592
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1300,0.541171875,0.49639424681663513,123.92321228981018
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1400,0.5433203125,0.4871794879436493,131.34009671211243
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1500,0.549765625,0.4888822138309479,138.7491307258606
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1600,0.5466015625,0.4954927861690521,146.1551125049591
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1700,0.5506640625,0.4932892620563507,153.56126809120178
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1800,0.5537890625,0.500901460647583,160.96472024917603
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,1900,0.556015625,0.48056891560554504,168.36193323135376
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2000,0.551796875,0.4986979365348816,175.7645173072815
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2100,0.5526171875,0.49639424681663513,183.1649205684662
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2200,0.5569921875,0.49228766560554504,190.5637810230255
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2300,0.5588671875,0.5067107677459717,197.9611849784851
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2400,0.5575390625,0.5109174847602844,205.3624711036682
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2500,0.55953125,0.4934895932674408,212.76233077049255
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2600,0.558359375,0.49298879504203796,220.16562008857727
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2700,0.559765625,0.5021033883094788,227.56453728675842
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2800,0.561171875,0.4746594727039337,234.96667170524597
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,2900,0.554140625,0.5099158883094788,242.36543560028076
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3000,0.5636328125,0.4871794879436493,249.76411485671997
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3100,0.555703125,0.4869791865348816,257.16670417785645
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3200,0.5593359375,0.46274039149284363,264.5743489265442
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3300,0.5563671875,0.4719551205635071,271.9860825538635
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3400,0.554609375,0.4313902258872986,279.39774775505066
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3500,0.550625,0.4971955120563507,286.8096718788147
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3600,0.5538671875,0.49639424681663513,294.21345829963684
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3700,0.5411328125,0.485276460647583,301.6133031845093
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3800,0.5490625,0.4694511294364929,309.0094413757324
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,3900,0.543828125,0.4789663553237915,316.412659406662
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4000,0.5425,0.4668469727039337,323.8119127750397
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4100,0.538515625,0.4761618673801422,331.21190071105957
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4200,0.538359375,0.4665464758872986,338.60659408569336
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4300,0.5330078125,0.46063703298568726,346.00050473213196
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4400,0.5284765625,0.49168670177459717,353.4012141227722
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4500,0.5301953125,0.4741586744785309,360.8033881187439
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4600,0.528515625,0.4821714758872986,368.20151829719543
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4700,0.5179296875,0.48237180709838867,375.60642886161804
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4800,0.5283984375,0.4717548191547394,383.0177023410797
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,4900,0.5123828125,0.46324118971824646,390.4279351234436
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+bm=delta_sum+sm=rel_floor+qkg=True+rn=exact+pa=auto,1,5000,0.5152734375,0.5109174847602844,397.5562515258789
