framework,task,norm,optimizer,loss,flags,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,0,0.0,0.0989583358168602,0.3814561367034912
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,100,0.16109375,0.23918269574642181,35.16350078582764
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,200,0.2684375,0.2994791567325592,40.78043222427368
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,300,0.3169140625,0.328125,46.39961624145508
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,400,0.34453125,0.3459535241127014,52.02618956565857
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,500,0.3689453125,0.3677884638309479,57.653968334198
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,600,0.3815234375,0.37970754504203796,63.28114104270935
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,700,0.39796875,0.390625,68.89714860916138
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,800,0.4134765625,0.40024039149284363,74.50279879570007
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,900,0.4255078125,0.41045674681663513,80.119393825531
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1000,0.43078125,0.41546475887298584,85.73553347587585
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1100,0.4457421875,0.41937100887298584,91.35214400291443
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1200,0.4487890625,0.42758414149284363,96.96634793281555
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1300,0.4595703125,0.43149039149284363,102.58314037322998
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1400,0.4591015625,0.43519631028175354,108.19261002540588
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1500,0.4734765625,0.44280850887298584,113.81213426589966
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1600,0.4752734375,0.4438101053237915,119.43116164207458
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1700,0.4869140625,0.4512219727039337,125.05012083053589
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1800,0.4916796875,0.4477163553237915,130.67079544067383
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,1900,0.496875,0.45212340354919434,136.28920149803162
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2000,0.49609375,0.4525240361690521,141.89999532699585
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2100,0.5054296875,0.45522835850715637,147.52005791664124
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2200,0.51203125,0.4594351053237915,153.14282608032227
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2300,0.518515625,0.46774840354919434,158.76438665390015
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2400,0.518125,0.46875,164.38821840286255
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2500,0.5232421875,0.4720552861690521,170.00261735916138
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2600,0.5270703125,0.4707532227039337,175.62346863746643
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2700,0.5291015625,0.4698517620563507,181.24451541900635
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2800,0.5409765625,0.4698517620563507,186.86714124679565
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,2900,0.534375,0.4752604365348816,192.48791193962097
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3000,0.5446875,0.4780649244785309,198.11419034004211
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3100,0.5458203125,0.4789663553237915,203.72857880592346
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3200,0.5492578125,0.4787660241127014,209.3511745929718
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3300,0.5507421875,0.4769631326198578,214.97163701057434
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3400,0.560625,0.4737580120563507,220.59423828125
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3500,0.5548828125,0.48237180709838867,226.2186028957367
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3600,0.5615625,0.4860777258872986,231.84388971328735
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3700,0.5635546875,0.47816506028175354,237.4512243270874
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3800,0.5702734375,0.4865785241127014,243.07415223121643
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,3900,0.567734375,0.48667868971824646,248.6967191696167
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4000,0.5750390625,0.48467549681663513,254.31977367401123
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4100,0.574921875,0.48617789149284363,259.94412207603455
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4200,0.58109375,0.48467549681663513,265.56228137016296
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4300,0.576328125,0.48818108439445496,271.18038177490234
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4400,0.5826171875,0.4849759638309479,276.8062553405762
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4500,0.58796875,0.48928284645080566,282.42951250076294
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4600,0.5937890625,0.4878806173801422,288.0530617237091
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4700,0.5891796875,0.49469152092933655,293.6803753376007
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4800,0.6023046875,0.4893830120563507,299.29303669929504
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,4900,0.59125,0.49228766560554504,304.916090965271
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,pn=rms+rn=exact,1,5000,0.5999609375,0.49469152092933655,310.2583417892456
