framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
torch,CIFAR10,l2,AdamW,CrossEntropy,1,0,0.0,0.10276442766189575,0.40978121757507324
torch,CIFAR10,l2,AdamW,CrossEntropy,1,100,0.37328125,0.49208733439445496,1.709763526916504
torch,CIFAR10,l2,AdamW,CrossEntropy,1,200,0.5001171875,0.5389623641967773,2.871220350265503
torch,CIFAR10,l2,AdamW,CrossEntropy,1,300,0.5783203125,0.5921474695205688,4.031814813613892
torch,CIFAR10,l2,AdamW,CrossEntropy,1,400,0.616484375,0.624098539352417,5.193809509277344
torch,CIFAR10,l2,AdamW,CrossEntropy,1,500,0.67609375,0.6569511294364929,6.355411529541016
torch,CIFAR10,l2,AdamW,CrossEntropy,1,600,0.6887890625,0.6686698794364929,7.520127296447754
torch,CIFAR10,l2,AdamW,CrossEntropy,1,700,0.7266015625,0.6801882982254028,8.68091368675232
torch,CIFAR10,l2,AdamW,CrossEntropy,1,800,0.73234375,0.6823918223381042,9.846241474151611
torch,CIFAR10,l2,AdamW,CrossEntropy,1,900,0.767890625,0.6788862347602844,11.012574434280396
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1000,0.7730859375,0.6856971383094788,12.174175262451172
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1100,0.8066015625,0.6909054517745972,13.342253923416138
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1200,0.8103515625,0.7052283883094788,14.506133556365967
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1300,0.842109375,0.6982171535491943,15.668941020965576
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1400,0.843046875,0.7078325152397156,16.83290719985962
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1500,0.8734765625,0.7054287195205688,18.001123666763306
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1600,0.8790625,0.6917067170143127,19.165705919265747
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1700,0.9049609375,0.7052283883094788,20.337655305862427
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1800,0.904375,0.7094351053237915,21.501680850982666
torch,CIFAR10,l2,AdamW,CrossEntropy,1,1900,0.9359375,0.7016226053237915,22.66532278060913
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2000,0.9360546875,0.7108373641967773,23.829740047454834
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2100,0.9521875,0.7067307829856873,24.99466872215271
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2200,0.9525,0.7044270634651184,26.161409616470337
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2300,0.9628125,0.7120392918586731,27.3275043964386
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2400,0.9635546875,0.7133413553237915,28.492141008377075
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2500,0.97015625,0.7035256624221802,29.658238172531128
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2600,0.96640625,0.70703125,30.823907136917114
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2700,0.9710546875,0.7034254670143127,31.987937688827515
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2800,0.9676171875,0.7007211446762085,33.15237808227539
torch,CIFAR10,l2,AdamW,CrossEntropy,1,2900,0.964921875,0.704026460647583,34.31594800949097
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3000,0.966015625,0.702223539352417,35.48023271560669
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3100,0.9641015625,0.6988181471824646,36.64623832702637
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3200,0.966953125,0.7011218070983887,37.811553955078125
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3300,0.9686328125,0.7011218070983887,38.976393938064575
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3400,0.971953125,0.7035256624221802,40.139185428619385
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3500,0.96765625,0.6949118971824646,41.30198955535889
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3600,0.9747265625,0.6969150900840759,42.467421531677246
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3700,0.975234375,0.7008213400840759,43.63029408454895
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3800,0.98,0.7073317170143127,44.7963445186615
torch,CIFAR10,l2,AdamW,CrossEntropy,1,3900,0.979609375,0.7065304517745972,45.96106958389282
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4000,0.9856640625,0.7094351053237915,47.12485194206238
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4100,0.9762109375,0.6994190812110901,48.28864097595215
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4200,0.9798046875,0.7011218070983887,49.45617413520813
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4300,0.967421875,0.6915064454078674,50.624528884887695
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4400,0.976875,0.7116386294364929,51.78986310958862
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4500,0.9701953125,0.701021671295166,52.954156160354614
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4600,0.977421875,0.704927921295166,54.11999869346619
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4700,0.972890625,0.7053285241127014,55.285223960876465
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4800,0.981953125,0.7063301205635071,56.45248460769653
torch,CIFAR10,l2,AdamW,CrossEntropy,1,4900,0.975703125,0.7027243971824646,57.620442390441895
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5000,0.9799609375,0.7054287195205688,58.78493547439575
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5100,0.9818359375,0.7044270634651184,59.95566177368164
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5200,0.987578125,0.7115384936332703,61.12341046333313
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5300,0.985234375,0.7122395634651184,62.2895188331604
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5400,0.9876171875,0.7167468070983887,63.45412731170654
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5500,0.984453125,0.707932710647583,64.62216591835022
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5600,0.98703125,0.7028245329856873,65.78671765327454
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5700,0.98203125,0.7066306471824646,66.95234870910645
torch,CIFAR10,l2,AdamW,CrossEntropy,1,5800,0.9765234375,0.6938101053237915,68.12131643295288
