Using device: cpu
lam=0.0  L=2 seed=0 | final MSE: 7.146713e-05
lam=0.0  L=2 seed=1 | final MSE: 4.966816e-06
lam=0.0  L=2 seed=2 | final MSE: 2.901084e-04
lam=0.0  L=4 seed=0 | final MSE: 6.009012e-03
lam=0.0  L=4 seed=1 | final MSE: 5.679039e-03
lam=0.0  L=4 seed=2 | final MSE: 7.630505e-03
lam=0.0  L=8 seed=0 | final MSE: 2.016788e-02
lam=0.0  L=8 seed=1 | final MSE: 2.440779e-02
lam=0.0  L=8 seed=2 | final MSE: 2.212693e-02
lam=0.3  L=2 seed=0 | final MSE: 9.372228e-04
lam=0.3  L=2 seed=1 | final MSE: 3.458498e-03
lam=0.3  L=2 seed=2 | final MSE: 1.122852e-03
lam=0.3  L=4 seed=0 | final MSE: 4.706419e-03
lam=0.3  L=4 seed=1 | final MSE: 4.259493e-03
lam=0.3  L=4 seed=2 | final MSE: 4.652489e-03
lam=0.3  L=8 seed=0 | final MSE: 2.959029e-02
lam=0.3  L=8 seed=1 | final MSE: 2.428433e-02
lam=0.3  L=8 seed=2 | final MSE: 1.682678e-02
lam=0.5  L=2 seed=0 | final MSE: 1.024197e-03
lam=0.5  L=2 seed=1 | final MSE: 3.863504e-03
lam=0.5  L=2 seed=2 | final MSE: 1.269845e-03
lam=0.5  L=4 seed=0 | final MSE: 5.675615e-03
lam=0.5  L=4 seed=1 | final MSE: 4.500994e-03
lam=0.5  L=4 seed=2 | final MSE: 4.440796e-03
lam=0.5  L=8 seed=0 | final MSE: 3.409317e-02
lam=0.5  L=8 seed=1 | final MSE: 2.473862e-02
lam=0.5  L=8 seed=2 | final MSE: 2.423793e-02
lam=0.7  L=2 seed=0 | final MSE: 1.072398e-03
lam=0.7  L=2 seed=1 | final MSE: 3.848079e-03
lam=0.7  L=2 seed=2 | final MSE: 1.401977e-03
lam=0.7  L=4 seed=0 | final MSE: 7.521869e-03
lam=0.7  L=4 seed=1 | final MSE: 4.932069e-03
lam=0.7  L=4 seed=2 | final MSE: 4.849195e-03
lam=0.7  L=8 seed=0 | final MSE: 2.052919e-02
lam=0.7  L=8 seed=1 | final MSE: 3.250033e-02
lam=0.7  L=8 seed=2 | final MSE: 3.493203e-02
lam=0.9  L=2 seed=0 | final MSE: 1.095860e-03
lam=0.9  L=2 seed=1 | final MSE: 3.552130e-03
lam=0.9  L=2 seed=2 | final MSE: 1.448514e-03
lam=0.9  L=4 seed=0 | final MSE: 8.882894e-03
lam=0.9  L=4 seed=1 | final MSE: 5.690518e-03
lam=0.9  L=4 seed=2 | final MSE: 7.607410e-03
lam=0.9  L=8 seed=0 | final MSE: 5.475956e-02
lam=0.9  L=8 seed=1 | final MSE: 4.151863e-02
lam=0.9  L=8 seed=2 | final MSE: 4.388451e-02
lam=1.0  L=2 seed=0 | final MSE: 1.115164e-03
lam=1.0  L=2 seed=1 | final MSE: 3.337520e-03
lam=1.0  L=2 seed=2 | final MSE: 1.486985e-03
lam=1.0  L=4 seed=0 | final MSE: 8.260274e-03
lam=1.0  L=4 seed=1 | final MSE: 5.677315e-03
lam=1.0  L=4 seed=2 | final MSE: 8.429321e-03
lam=1.0  L=8 seed=0 | final MSE: 5.185451e-02
lam=1.0  L=8 seed=1 | final MSE: 5.040680e-02
lam=1.0  L=8 seed=2 | final MSE: 3.960896e-02
Wrote 105210 rows to /rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/experiments/deep/results/td_lambda_identity_traces.csv
Wrote 126252 rows to /rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/experiments/deep/results/td_lambda_identity_hooks.csv
Wrote 54 rows to /rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/experiments/deep/results/td_lambda_identity_final.csv
Saved plots: /rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/experiments/deep/images/td_lambda_step1_profile.pdf, /rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/experiments/deep/images/td_lambda_final_mse.pdf
