lam,depth,seed,final_mse
0.0,2,0,7.146712596295401e-05
0.0,2,1,4.966815595253138e-06
0.0,2,2,0.0002901083789765835
0.0,4,0,0.006009012460708618
0.0,4,1,0.005679039284586906
0.0,4,2,0.007630505133420229
0.0,8,0,0.020167876034975052
0.0,8,1,0.02440779097378254
0.0,8,2,0.022126931697130203
0.3,2,0,0.0009372227941639721
0.3,2,1,0.003458497580140829
0.3,2,2,0.0011228520888835192
0.3,4,0,0.0047064186073839664
0.3,4,1,0.004259492736309767
0.3,4,2,0.0046524894423782825
0.3,8,0,0.029590293765068054
0.3,8,1,0.024284331128001213
0.3,8,2,0.016826782375574112
0.5,2,0,0.001024197437800467
0.5,2,1,0.0038635041564702988
0.5,2,2,0.001269844826310873
0.5,4,0,0.005675614811480045
0.5,4,1,0.0045009939931333065
0.5,4,2,0.0044407956302165985
0.5,8,0,0.03409316763281822
0.5,8,1,0.024738619104027748
0.5,8,2,0.02423793077468872
0.7,2,0,0.0010723983868956566
0.7,2,1,0.0038480788934975863
0.7,2,2,0.0014019767986610532
0.7,4,0,0.007521869149059057
0.7,4,1,0.004932068753987551
0.7,4,2,0.00484919548034668
0.7,8,0,0.020529190078377724
0.7,8,1,0.03250032663345337
0.7,8,2,0.034932032227516174
0.9,2,0,0.0010958597995340824
0.9,2,1,0.0035521299578249454
0.9,2,2,0.0014485139399766922
0.9,4,0,0.008882894180715084
0.9,4,1,0.0056905183009803295
0.9,4,2,0.007607409730553627
0.9,8,0,0.05475956201553345
0.9,8,1,0.04151862859725952
0.9,8,2,0.0438845120370388
1.0,2,0,0.0011151644866913557
1.0,2,1,0.0033375201746821404
1.0,2,2,0.0014869850128889084
1.0,4,0,0.008260274305939674
1.0,4,1,0.005677314940840006
1.0,4,2,0.008429321460425854
1.0,8,0,0.051854509860277176
1.0,8,1,0.0504067987203598
1.0,8,2,0.03960895910859108
