lam,depth,seed,final_mse
0.0,2,0,7.146712596295401e-05
0.0,2,1,4.966815595253138e-06
0.0,2,2,0.0002901083789765835
0.0,4,0,0.006009012460708618
0.0,4,1,0.005679039284586906
0.0,4,2,0.007630505133420229
0.0,8,0,0.020167876034975052
0.0,8,1,0.02440779097378254
0.0,8,2,0.022126931697130203
0.3,2,0,0.00010802484030136839
0.3,2,1,6.327838491415605e-06
0.3,2,2,0.00039118947461247444
0.3,4,0,8.59021965879947e-05
0.3,4,1,8.793895540293306e-05
0.3,4,2,8.561421418562531e-05
0.3,8,0,0.010697295889258385
0.3,8,1,0.013754628598690033
0.3,8,2,0.010689315386116505
0.5,2,0,0.00010756922711152583
0.5,2,1,6.762850716768298e-06
0.5,2,2,0.00039970476063899696
0.5,4,0,7.833467680029571e-05
0.5,4,1,0.00010401748295407742
0.5,4,2,8.44432579469867e-05
0.5,8,0,0.011735993437469006
0.5,8,1,0.011440793052315712
0.5,8,2,0.013581478036940098
0.7,2,0,0.00010853901039808989
0.7,2,1,6.2077410802885424e-06
0.7,2,2,0.0003947604272980243
0.7,4,0,0.00011889915185747668
0.7,4,1,9.50859539443627e-05
0.7,4,2,0.00010835330613190308
0.7,8,0,0.012812959030270576
0.7,8,1,0.01625765487551689
0.7,8,2,0.02108619548380375
0.9,2,0,0.00010959109204122797
0.9,2,1,6.60585601508501e-06
0.9,2,2,0.00039545068284496665
0.9,4,0,0.00012438796693459153
0.9,4,1,0.00015145412180572748
0.9,4,2,9.977836452890188e-05
0.9,8,0,0.027487970888614655
0.9,8,1,0.03379364684224129
0.9,8,2,0.024055656045675278
1.0,2,0,0.00011329595872666687
1.0,2,1,6.995183866820298e-06
1.0,2,2,0.00039383937837556005
1.0,4,0,0.00010584852861938998
1.0,4,1,0.00011222743341932073
1.0,4,2,0.00011702220945153385
1.0,8,0,0.02648676373064518
1.0,8,1,0.05176921561360359
1.0,8,2,0.0289495550096035
