Device: cpu

============================================================
ptorch | MNIST_4L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 1/5000 [00:00<28:02,  2.97step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 5/5000 [00:00<06:21, 13.09step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 9/5000 [00:00<04:18, 19.34step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 13/5000 [00:00<03:34, 23.29step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 17/5000 [00:00<03:12, 25.90step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 21/5000 [00:00<02:59, 27.67step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 25/5000 [00:01<02:53, 28.66step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 29/5000 [00:01<02:48, 29.49step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 33/5000 [00:01<02:45, 30.07step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 37/5000 [00:01<02:43, 30.41step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 41/5000 [00:01<02:41, 30.72step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 45/5000 [00:01<02:40, 30.88step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 49/5000 [00:01<02:40, 30.90step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 53/5000 [00:01<02:40, 30.76step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 57/5000 [00:02<02:39, 30.92step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 61/5000 [00:02<02:39, 31.00step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|▏         | 65/5000 [00:02<02:39, 30.87step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|▏         | 69/5000 [00:02<02:39, 30.85step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|▏         | 73/5000 [00:02<02:39, 30.90step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 77/5000 [00:02<02:38, 31.01step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 81/5000 [00:02<02:38, 31.13step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 85/5000 [00:03<02:38, 31.06step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 89/5000 [00:03<02:37, 31.14step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 93/5000 [00:03<02:37, 31.23step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 97/5000 [00:03<02:37, 31.21step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 101/5000 [00:03<02:37, 31.12step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 105/5000 [00:03<02:37, 31.17step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 109/5000 [00:03<02:37, 31.12step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 113/5000 [00:03<02:36, 31.19step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 117/5000 [00:04<02:36, 31.15step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 121/5000 [00:04<02:36, 31.18step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▎         | 125/5000 [00:04<02:37, 30.94step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 129/5000 [00:04<02:38, 30.72step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 133/5000 [00:04<02:38, 30.79step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 137/5000 [00:04<02:38, 30.74step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 141/5000 [00:04<02:37, 30.77step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 145/5000 [00:04<02:38, 30.70step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 149/5000 [00:05<02:38, 30.60step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 153/5000 [00:05<02:37, 30.70step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 157/5000 [00:05<02:37, 30.68step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 161/5000 [00:05<02:36, 30.87step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 165/5000 [00:05<02:36, 30.88step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 169/5000 [00:05<02:36, 30.90step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 173/5000 [00:05<02:36, 30.87step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 177/5000 [00:06<02:36, 30.85step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 181/5000 [00:06<02:36, 30.78step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 185/5000 [00:06<02:36, 30.68step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 189/5000 [00:06<02:36, 30.73step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 193/5000 [00:06<02:36, 30.70step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 197/5000 [00:06<02:36, 30.69step/s, best=0.0000, val_acc=0.0672]
