Device: cpu

============================================================
ptorch | MNIST_1L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 1/5000 [00:00<11:36,  7.17step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 13/5000 [00:00<01:20, 62.31step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 25/5000 [00:00<00:59, 83.82step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 37/5000 [00:00<00:52, 95.11step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 49/5000 [00:00<00:48, 101.62step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|          | 61/5000 [00:00<00:46, 105.30step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   1%|▏         | 73/5000 [00:00<00:45, 107.62step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 85/5000 [00:00<00:45, 108.44step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 96/5000 [00:00<00:45, 108.77step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 108/5000 [00:01<00:44, 109.48step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   2%|▏         | 120/5000 [00:01<00:44, 109.96step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 132/5000 [00:01<00:44, 110.20step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 144/5000 [00:01<00:43, 110.42step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 156/5000 [00:01<00:43, 110.69step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 168/5000 [00:01<00:43, 110.79step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 180/5000 [00:01<00:43, 110.68step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 192/5000 [00:01<00:43, 111.06step/s, best=0.0000, val_acc=0.1740]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 200/5000 [00:02<00:43, 111.06step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 204/5000 [00:02<00:58, 82.03step/s, best=0.1740, val_acc=0.8030] 
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 216/5000 [00:02<00:53, 89.10step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 228/5000 [00:02<00:50, 95.17step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 240/5000 [00:02<00:47, 99.70step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 252/5000 [00:02<00:46, 103.04step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 264/5000 [00:02<00:45, 105.20step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 276/5000 [00:02<00:44, 106.65step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 288/5000 [00:02<00:43, 107.73step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 299/5000 [00:02<00:43, 108.35step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 311/5000 [00:03<00:43, 108.91step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 322/5000 [00:03<00:42, 109.04step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 333/5000 [00:03<00:42, 109.14step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 344/5000 [00:03<00:42, 109.32step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 355/5000 [00:03<00:42, 109.45step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 367/5000 [00:03<00:42, 109.73step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 379/5000 [00:03<00:42, 109.98step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 391/5000 [00:03<00:41, 110.31step/s, best=0.1740, val_acc=0.8030]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 400/5000 [00:03<00:41, 110.31step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 403/5000 [00:04<00:56, 81.53step/s, best=0.8030, val_acc=0.8897] 
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 414/5000 [00:04<00:52, 87.97step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 426/5000 [00:04<00:48, 93.84step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 438/5000 [00:04<00:46, 98.49step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 450/5000 [00:04<00:44, 102.12step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 462/5000 [00:04<00:42, 106.44step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 474/5000 [00:04<00:41, 108.34step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 486/5000 [00:04<00:41, 109.32step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 498/5000 [00:04<00:40, 110.13step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|█         | 510/5000 [00:04<00:40, 110.37step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|█         | 522/5000 [00:05<00:40, 110.57step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█         | 534/5000 [00:05<00:40, 110.66step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█         | 546/5000 [00:05<00:40, 110.84step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█         | 558/5000 [00:05<00:40, 110.87step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█▏        | 570/5000 [00:05<00:39, 111.07step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 582/5000 [00:05<00:39, 111.15step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 594/5000 [00:05<00:39, 110.96step/s, best=0.8030, val_acc=0.8897]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 600/5000 [00:05<00:39, 110.96step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 606/5000 [00:05<00:53, 81.95step/s, best=0.8897, val_acc=0.9148] 
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 617/5000 [00:06<00:49, 88.16step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 628/5000 [00:06<00:46, 93.28step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 640/5000 [00:06<00:44, 97.97step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 651/5000 [00:06<00:43, 101.10step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 663/5000 [00:06<00:41, 103.76step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▎        | 675/5000 [00:06<00:40, 105.63step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▎        | 687/5000 [00:06<00:40, 107.41step/s, best=0.8897, val_acc=0.9148]
