framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,0,0.06717914342880249,0.39891672134399414
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,200,0.8541109561920166,7.920467853546143
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,400,0.9045788645744324,15.501122236251831
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,600,0.9219585657119751,22.97752094268799
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,800,0.928141713142395,30.53720259666443
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1000,0.9364973306655884,37.99439597129822
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1200,0.9346590638160706,45.42644286155701
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1400,0.9385026693344116,52.846211194992065
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1600,0.9390040040016174,60.31904435157776
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1800,0.9339906573295593,67.86771988868713
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2000,0.9291443824768066,75.35811829566956
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2200,0.9348261952400208,82.90987229347229
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2400,0.9316510558128357,90.44074654579163
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2600,0.9303141832351685,97.9570038318634
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2800,0.9261363744735718,105.48867893218994
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3000,0.9269719123840332,112.97370147705078
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3200,0.9171122908592224,120.45939421653748
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3400,0.9301470518112183,127.99720168113708
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3600,0.9254679083824158,135.49168825149536
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3600,0.9428913593292236,135.49238562583923
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,0,0.11229946464300156,0.43058133125305176
