framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,0,0.06734625995159149,0.6451191902160645
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,200,0.8502674102783203,5.515156269073486
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,400,0.9094251394271851,10.332317352294922
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,600,0.9324866533279419,15.224473476409912
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,800,0.9418449401855469,20.044641256332397
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1000,0.9505347609519958,24.947332620620728
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1200,0.9528743624687195,29.717060089111328
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1400,0.9567179083824158,34.6132926940918
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1600,0.9603943824768066,39.425843715667725
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1800,0.9618983864784241,44.31776142120361
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2000,0.9632353186607361,49.084853410720825
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2200,0.9632353186607361,53.73530173301697
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2400,0.9650735259056091,58.601396322250366
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2600,0.9655748605728149,63.39656615257263
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2800,0.9650735259056091,68.18164801597595
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3000,0.9665775299072266,73.04852056503296
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3200,0.9660761952400208,77.87863826751709
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3400,0.9719251394271851,82.79413366317749
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3600,0.9705882668495178,87.67404794692993
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3800,0.9699198007583618,92.5215163230896
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,4000,0.9712567329406738,97.41790056228638
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,4200,0.9710896015167236,102.02154493331909
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,4400,0.9712567329406738,106.86929965019226
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,4600,0.9719251394271851,111.78537178039551
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,4800,0.9734291434288025,116.61032843589783
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,5000,0.9737420082092285,121.18291401863098
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,0,0.11213235557079315,0.31941747665405273
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,200,0.8504344820976257,4.87253737449646
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,400,0.9114304780960083,9.66510534286499
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,600,0.9271390438079834,14.541188716888428
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,800,0.9398396015167236,19.416019201278687
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1000,0.9478609561920166,24.298473358154297
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1200,0.9548797011375427,27.707999229431152
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1400,0.9563837051391602,30.850643157958984
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1600,0.9592246413230896,33.9917528629303
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1800,0.9603943824768066,37.14308524131775
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2000,0.9635695219039917,40.27097010612488
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2200,0.9640708565711975,43.182563066482544
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2400,0.9623997807502747,46.29198217391968
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2600,0.9664104580879211,49.34700393676758
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2800,0.9679144620895386,52.407410621643066
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3000,0.9682486653327942,55.50538182258606
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3200,0.9680815935134888,58.56181240081787
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3400,0.9684157967567444,61.67720413208008
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3600,0.9695855975151062,64.79629397392273
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3800,0.9709224700927734,67.85282015800476
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,4000,0.9699198007583618,70.92799639701843
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,4200,0.9709224700927734,73.99298739433289
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,4400,0.9697526693344116,77.07451820373535
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,4600,0.9697526693344116,80.1352608203888
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,4800,0.9720922708511353,83.21506381034851
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,5000,0.9712460041046143,85.89925026893616
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,0,0.0832219272851944,0.24955534934997559
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,200,0.8601270318031311,3.390688180923462
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,400,0.9114304780960083,6.437695741653442
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,600,0.9324866533279419,9.4804527759552
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,800,0.9435160756111145,12.538458108901978
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1000,0.950701892375946,15.60441279411316
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1200,0.9560495018959045,17.870745420455933
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1400,0.9567179083824158,20.084155082702637
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1600,0.9605615139007568,22.305580377578735
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1800,0.9642379879951477,24.508698225021362
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2000,0.9654077887535095,26.699397563934326
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2200,0.9667446613311768,28.903950214385986
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2400,0.9682486653327942,31.100157022476196
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2600,0.9665775299072266,33.31196212768555
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2800,0.9685829281806946,35.49825644493103
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3000,0.9692513346672058,37.69613313674927
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3200,0.9660761952400208,39.888567209243774
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3400,0.9689171314239502,42.07366108894348
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3600,0.9715909361839294,44.2672176361084
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3800,0.9712567329406738,46.47661209106445
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,4000,0.969418466091156,48.692058086395264
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,4200,0.9682486653327942,50.86465406417847
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,4400,0.9715909361839294,53.04903483390808
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,4600,0.9709224700927734,55.23650646209717
