framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,0,0.06717914342880249,0.46609926223754883
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,200,0.8551136255264282,8.204850912094116
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,400,0.9040775299072266,15.991224765777588
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,600,0.9231283664703369,23.794227361679077
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,800,0.9291443824768066,31.302523136138916
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1000,0.9328208565711975,38.843061208724976
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1200,0.9353275299072266,46.404906034469604
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1400,0.939338207244873,53.96385979652405
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1600,0.9375,61.44893789291382
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1800,0.9296457171440125,68.98612332344055
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2000,0.9308155179023743,76.46985459327698
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2200,0.9309826493263245,83.96190190315247
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2400,0.9211229681968689,91.52978920936584
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2600,0.9279745817184448,99.06683683395386
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2800,0.9224599003791809,106.53733611106873
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3000,0.9261363744735718,113.96416735649109
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3200,0.91878342628479,121.4463882446289
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3400,0.9209558963775635,128.91529250144958
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3400,0.9370008111000061,128.91600108146667
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,0,0.11213235557079315,0.4158310890197754
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,200,0.8521056175231934,7.79741096496582
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,400,0.9105949401855469,15.368781089782715
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,600,0.9251337051391602,22.93121886253357
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,800,0.9339906573295593,30.473206043243408
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1000,0.9371657967567444,38.06073498725891
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1200,0.940006673336029,45.51862931251526
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1400,0.9440173506736755,52.98901724815369
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1600,0.940006673336029,60.58711051940918
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1800,0.939338207244873,68.01213598251343
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2000,0.939338207244873,75.45884776115417
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2200,0.9354946613311768,82.90900015830994
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2400,0.9344919919967651,90.37602400779724
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2600,0.9361631274223328,97.84246349334717
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2800,0.9328208565711975,105.27375197410583
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3000,0.9222927689552307,112.73704266548157
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3200,0.928141713142395,120.17421531677246
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3400,0.9298128485679626,127.61177062988281
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3400,0.9453873634338379,127.61238384246826
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,0,0.0830548107624054,0.42273378372192383
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,200,0.8602941036224365,7.841710805892944
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,400,0.9090909361839294,15.297115325927734
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,600,0.928810179233551,22.775181531906128
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,800,0.9343248605728149,30.209618091583252
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1000,0.9421791434288025,37.66098928451538
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1200,0.9415106773376465,45.083285093307495
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1400,0.9453542828559875,52.50289463996887
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1600,0.9395053386688232,59.94652342796326
