framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,0,0.06717914342880249,0.3445143699645996
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,200,0.8653075098991394,7.0906736850738525
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,400,0.9137700796127319,14.596089839935303
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,600,0.9299799203872681,22.435073137283325
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,800,0.9338235259056091,30.080230712890625
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1000,0.9376671314239502,37.71712040901184
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1200,0.9341577291488647,45.30056881904602
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1400,0.9361631274223328,52.87580108642578
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1600,0.9359959959983826,60.45906591415405
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,1800,0.919451892375946,68.00057053565979
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2000,0.9251337051391602,75.59144258499146
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2200,0.9304812550544739,83.15889382362366
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2400,0.9236297011375427,90.75498151779175
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2600,0.928141713142395,98.24999666213989
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,2800,0.915608286857605,105.76186895370483
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3000,0.9094251394271851,113.29458403587341
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,1,3000,0.9381988644599915,113.29524374008179
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,0,0.11229946464300156,0.4044010639190674
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,200,0.8602941036224365,7.827625274658203
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,400,0.9171122908592224,15.308629274368286
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,600,0.9314839839935303,22.77349615097046
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,800,0.9425133466720581,30.143639087677002
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1000,0.9420120120048523,37.716984272003174
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1200,0.9458556175231934,45.22599172592163
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1400,0.9413436055183411,52.71722602844238
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1600,0.9324866533279419,60.24413228034973
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,1800,0.934993326663971,67.72147727012634
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2000,0.9375,75.19697213172913
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2200,0.9259692430496216,82.73687982559204
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2400,0.9266377091407776,90.2306227684021
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2600,0.9339906573295593,97.69389605522156
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,2800,0.9273061752319336,105.16753149032593
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3000,0.919451892375946,112.7155237197876
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3200,0.9196189641952515,120.20499324798584
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,2,3200,0.9483826160430908,120.2056872844696
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,0,0.0830548107624054,0.4273190498352051
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,200,0.8689839839935303,7.9175567626953125
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,400,0.9161096215248108,15.336940288543701
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,600,0.9353275299072266,22.813838958740234
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,800,0.940006673336029,30.226351261138916
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1000,0.9438502788543701,37.63119888305664
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1200,0.9433489441871643,45.03351163864136
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1400,0.9446858167648315,52.536842346191406
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1600,0.9420120120048523,60.04198217391968
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,1800,0.9336563944816589,67.47242569923401
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2000,0.9308155179023743,74.91150736808777
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2200,0.9299799203872681,82.35105800628662
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2400,0.9237967729568481,89.78888750076294
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2600,0.9261363744735718,97.22221779823303
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,2800,0.9146056175231934,104.32525300979614
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3000,0.9234625697135925,111.38449239730835
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3200,0.9182820916175842,118.42882180213928
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3400,0.9146056175231934,125.45977735519409
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,False,3,3400,0.9454872012138367,125.4604012966156
