framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,0,0.06734625995159149,0.16006112098693848
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,200,0.8460896015167236,1.8707966804504395
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,400,0.9042446613311768,3.579711675643921
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,600,0.9202874302864075,5.288416624069214
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,800,0.9239639043807983,6.996522426605225
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1000,0.928810179233551,8.704261064529419
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1200,0.9338235259056091,10.414411544799805
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1400,0.9353275299072266,12.129873037338257
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1600,0.9368315935134888,13.841614961624146
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1800,0.940006673336029,15.554679155349731
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2000,0.9376671314239502,17.26862621307373
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2200,0.9395053386688232,18.97918391227722
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2400,0.9458556175231934,20.689748525619507
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2600,0.9430147409439087,22.397724151611328
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2800,0.9448529481887817,24.105130195617676
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3000,0.938836932182312,25.820759296417236
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3200,0.9415107369422913,27.532804250717163
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3400,0.9428476095199585,29.249881982803345
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3600,0.9456885457038879,30.963494300842285
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3800,0.9314839839935303,32.67999720573425
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,4000,0.9391711354255676,34.39259886741638
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,4200,0.9376671314239502,36.10736966133118
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,4400,0.9445187449455261,37.82095217704773
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,4400,0.9462859034538269,37.82115149497986
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,0,0.11213235557079315,0.15782904624938965
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,200,0.8363970518112183,1.8726427555084229
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,400,0.9070855975151062,3.582594156265259
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,600,0.9241310358047485,5.28968358039856
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,800,0.9308155179023743,6.996987581253052
