framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,0,0.06717914342880249,0.2806367874145508
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,200,0.8460896015167236,6.4334001541137695
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,400,0.9059157967567444,12.586904525756836
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,600,0.9192847609519958,18.747349739074707
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,800,0.9239639043807983,24.931626558303833
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1000,0.928141713142395,31.053412437438965
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1200,0.9329879879951477,37.19257402420044
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1400,0.9268048405647278,43.30934715270996
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1600,0.9358288645744324,49.4453387260437
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,1800,0.9278075098991394,55.572465896606445
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2000,0.9241310358047485,61.6911256313324
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2200,0.9334893226623535,67.82382535934448
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2400,0.9241310358047485,73.91880702972412
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2600,0.9271390438079834,80.04210233688354
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,2800,0.9152740836143494,86.15005421638489
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3000,0.9157754182815552,92.26964902877808
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3200,0.9159424901008606,98.40791177749634
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3400,0.9236297011375427,104.54420566558838
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3600,0.9224599003791809,110.65751957893372
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,1,3600,0.9376996755599976,110.65778708457947
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,0,0.11213235557079315,0.2907223701477051
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,200,0.8348930478096008,6.401475191116333
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,400,0.9059157967567444,12.506096363067627
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,600,0.9229612350463867,18.61742925643921
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,800,0.9306483864784241,24.729816675186157
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,1000,0.9331550598144531,30.841596126556396
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,1200,0.9326537251472473,37.000532150268555
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,1400,0.9351603984832764,43.16230344772339
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,1600,0.9338235259056091,49.20378518104553
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,1800,0.9339906573295593,55.27694869041443
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,2000,0.9326537251472473,61.37302088737488
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,2200,0.9361631274223328,67.46359848976135
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,2400,0.9253007769584656,73.59722590446472
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,2600,0.9269719123840332,79.71850109100342
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,2800,0.9313168525695801,85.83631682395935
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,3000,0.927473247051239,91.95072817802429
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,3200,0.9258021116256714,98.09333395957947
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,3400,0.9184492230415344,104.23680663108826
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,3600,0.9166109561920166,110.37602305412292
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,3800,0.9159424901008606,116.51259183883667
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,4000,0.914939820766449,122.6641206741333
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,4200,0.9129344820976257,128.79794645309448
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,2,4200,0.9371006488800049,128.7982075214386
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,0,0.08255347609519958,0.2923738956451416
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,200,0.8477606773376465,6.404915809631348
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,400,0.9115976095199585,12.350324392318726
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,600,0.9279745817184448,17.987362146377563
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,800,0.9269719123840332,23.62455415725708
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,1000,0.9353275299072266,29.26460552215576
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,1200,0.9369986653327942,34.89880156517029
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,1400,0.9326537251472473,40.52402353286743
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,1600,0.9324866533279419,46.15502381324768
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,1800,0.9339906573295593,51.79942083358765
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,2000,0.9289772510528564,57.43488693237305
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,2200,0.9273061752319336,63.07352161407471
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,2400,0.9234625697135925,68.70614051818848
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,2600,0.9226270318031311,74.3356466293335
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,2800,0.9247994422912598,79.97264575958252
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,3000,0.9241310358047485,85.6399507522583
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,3200,0.9176136255264282,91.27064204216003
ptorch,MNIST_4L,2,ProjectionMuonV2,CrossEntropy,True,3,3200,0.9394968152046204,91.27089238166809
