framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,0,0.06717914342880249,21.41124939918518
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,200,0.5741978883743286,24.140523672103882
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,400,0.7553476095199585,25.201647758483887
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,600,0.8091577887535095,26.256130695343018
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,800,0.8317179083824158,27.31098175048828
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,1000,0.8502674102783203,28.36502242088318
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,1200,0.8622995018959045,29.420092344284058
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,1400,0.8733288645744324,30.47628951072693
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,1600,0.8753342628479004,31.52926778793335
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,1800,0.8841912150382996,32.58483147621155
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,2000,0.8863636255264282,33.6370964050293
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,2200,0.8917112350463867,34.69058012962341
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,2400,0.8907085657119751,35.74158263206482
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,2600,0.8948863744735718,36.793081521987915
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,2800,0.8962233066558838,37.846317529678345
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,3000,0.898228645324707,38.89931631088257
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,3200,0.9007353186607361,39.951974868774414
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,3400,0.9039104580879211,41.00564360618591
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,3600,0.9005681872367859,42.057456970214844
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,3800,0.9030748605728149,43.11030197143555
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,4000,0.9024064540863037,44.157777070999146
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,4200,0.9029077887535095,45.20720601081848
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,4400,0.9070855975151062,46.25654053688049
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,4600,0.9057486653327942,47.306297063827515
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,4800,0.908756673336029,48.36099052429199
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,5000,0.9074198007583618,49.41492486000061
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,5200,0.9080882668495178,50.4699490070343
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,5400,0.9059157967567444,51.523634910583496
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,5600,0.9089238047599792,52.577306509017944
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,5800,0.9085896015167236,53.633347034454346
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,6000,0.9080882668495178,54.68784141540527
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,6200,0.9094251394271851,55.740471601486206
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,6400,0.9097594022750854,56.79395341873169
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,6600,0.908756673336029,57.847254276275635
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,6800,0.9082553386688232,58.903199195861816
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,7000,0.9084224700927734,59.95666694641113
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,7200,0.9089238047599792,61.00786566734314
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,7400,0.9055815935134888,62.06154537200928
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,7600,0.9090909361839294,63.113351345062256
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,7800,0.9090909361839294,64.1612663269043
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,8000,0.9055815935134888,65.20952367782593
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,8200,0.906918466091156,66.25898313522339
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,8400,0.9064171314239502,67.30816650390625
ptorch,MNIST_4L,l2,ProjectionMuon,CrossEntropy,False,1,8400,0.9152355790138245,67.30841326713562
