framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,0,0.10456731170415878,2.5359959602355957
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,200,0.20002003014087677,3.7689573764801025
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,400,0.2369791716337204,4.724999904632568
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,600,0.27333733439445496,5.685298919677734
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,800,0.2962740361690521,6.6421799659729
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1000,0.31870993971824646,7.598107814788818
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1200,0.33153045177459717,8.554258823394775
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1400,0.34385016560554504,9.509664058685303
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1600,0.35316506028175354,10.462932109832764
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1800,0.36598557233810425,11.417183637619019
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2000,0.368088960647583,12.372989654541016
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2200,0.37489983439445496,13.330141544342041
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2400,0.3824118673801422,14.285982131958008
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2600,0.37079328298568726,15.242758750915527
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2800,0.3809094727039337,16.19738483428955
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3000,0.38120993971824646,17.153236150741577
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3200,0.38531652092933655,18.10834813117981
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3400,0.3811097741127014,19.064669847488403
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3600,0.3889222741127014,20.020395755767822
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3800,0.383713960647583,20.97807288169861
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4000,0.4004407227039337,21.932727813720703
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4200,0.4014423191547394,22.888641595840454
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4400,0.3962339758872986,23.843007802963257
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4600,0.4008413553237915,24.796650886535645
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4800,0.4054487347602844,25.751392364501953
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5000,0.40074118971824646,26.711847066879272
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5200,0.4019431173801422,27.667988777160645
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5400,0.4060496985912323,28.625690460205078
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5600,0.39573317766189575,29.582200050354004
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5800,0.38752004504203796,30.53772807121277
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6000,0.41175881028175354,31.49544334411621
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6200,0.4069511294364929,32.450523376464844
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6400,0.40204328298568726,33.40832757949829
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6600,0.40574920177459717,34.36572313308716
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6800,0.4095552861690521,35.322601079940796
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7000,0.4118589758872986,36.27773714065552
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7200,0.40444710850715637,37.23407196998596
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7400,0.41135817766189575,38.19051671028137
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7600,0.4030448794364929,39.14777445793152
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7800,0.40835335850715637,40.10491943359375
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8000,0.4040464758872986,41.060916900634766
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8200,0.41065704822540283,42.01675462722778
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8400,0.4079527258872986,42.97868752479553
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8600,0.4116586446762085,43.94293475151062
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8800,0.4043469727039337,44.90144467353821
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,9000,0.4064503312110901,45.859140396118164
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,9000,0.4118589758872986,45.85933208465576
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,0,0.10456731170415878,2.570645332336426
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,200,0.20002003014087677,3.8389925956726074
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,400,0.2369791716337204,4.834874868392944
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,600,0.27333733439445496,5.829970598220825
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,800,0.2962740361690521,6.819189786911011
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1000,0.31870993971824646,7.773336410522461
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1200,0.33153045177459717,8.726212978363037
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1400,0.34385016560554504,9.678709268569946
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1600,0.35316506028175354,10.631574630737305
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1800,0.36598557233810425,11.584943294525146
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2000,0.368088960647583,12.542036294937134
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2200,0.37489983439445496,13.494490146636963
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2400,0.3824118673801422,14.44631028175354
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2600,0.37079328298568726,15.398642301559448
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2800,0.3809094727039337,16.354573488235474
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3000,0.38120993971824646,17.307174682617188
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3200,0.38531652092933655,18.260340690612793
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3400,0.3811097741127014,19.21230125427246
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3600,0.3889222741127014,20.164077758789062
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3800,0.383713960647583,21.117630004882812
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4000,0.4004407227039337,22.07041025161743
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4200,0.4014423191547394,23.02438187599182
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4400,0.3962339758872986,23.979920148849487
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4600,0.4008413553237915,24.932668924331665
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4800,0.4054487347602844,25.88677740097046
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5000,0.40074118971824646,26.840950965881348
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5200,0.4019431173801422,27.795149326324463
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5400,0.4060496985912323,28.75041127204895
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5600,0.39573317766189575,29.703153133392334
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5800,0.38752004504203796,30.655529022216797
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6000,0.41175881028175354,31.607826948165894
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6200,0.4069511294364929,32.559850454330444
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6400,0.40204328298568726,33.51298904418945
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6600,0.40574920177459717,34.466020345687866
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,6800,0.4095552861690521,35.417635440826416
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7000,0.4118589758872986,36.37010645866394
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7200,0.40444710850715637,37.322948932647705
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7400,0.41135817766189575,38.27683639526367
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7600,0.4030448794364929,39.23048138618469
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,7800,0.40835335850715637,40.18459463119507
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8000,0.4040464758872986,41.139161348342896
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8200,0.41065704822540283,42.092716217041016
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8400,0.4079527258872986,43.04643654823303
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8600,0.4116586446762085,44.00101327896118
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,8800,0.4043469727039337,44.95418620109558
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,9000,0.4064503312110901,45.908308029174805
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,False,1,9000,0.4118589758872986,45.90852475166321
