framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,0,0.0676804855465889,0.15153145790100098
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,200,0.563168466091156,1.197688102722168
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,400,0.7683823704719543,2.2403147220611572
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,600,0.8282085657119751,3.2825100421905518
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,800,0.8559492230415344,4.32385778427124
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1000,0.877506673336029,5.363720178604126
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1200,0.8878676891326904,6.404884338378906
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1400,0.8942179083824158,7.448840379714966
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1600,0.8985628485679626,8.490989208221436
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,1800,0.9010695219039917,9.537018060684204
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2000,0.905080258846283,10.578831434249878
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2200,0.9126002788543701,11.620333194732666
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2400,0.9131016135215759,12.66165041923523
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2600,0.9181150197982788,13.706559896469116
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,2800,0.9167780876159668,14.748908042907715
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3000,0.9196190237998962,15.791565418243408
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3200,0.919451892375946,16.832743883132935
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3400,0.9236297011375427,17.87829041481018
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3600,0.9219585657119751,18.922450304031372
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,3800,0.919451892375946,19.964646100997925
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4000,0.9242981672286987,21.00594139099121
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4200,0.9301470518112183,22.048125982284546
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4400,0.9271390438079834,23.09046506881714
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4600,0.9274733066558838,24.132375955581665
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,4800,0.9328208565711975,25.17184019088745
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5000,0.9319853186607361,26.21168613433838
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5200,0.9336564540863037,27.255237340927124
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5400,0.9336564540863037,28.29687738418579
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5600,0.928141713142395,29.33694624900818
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,False,1,5800,0.9334893226623535,30.37690496444702
