framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,0,0.10476762801408768,0.264190673828125
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,200,0.26612579822540283,1.7011041641235352
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,400,0.28135016560554504,3.137401580810547
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,600,0.3018830120563507,4.5684428215026855
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,800,0.2988782227039337,5.997504711151123
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1000,0.3077924847602844,7.438688278198242
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1200,0.3074919879436493,8.87645173072815
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1400,0.31219953298568726,10.31538438796997
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1600,0.3253205120563507,11.75207781791687
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1800,0.3059895932674408,13.189814567565918
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2000,0.3048878312110901,14.628203868865967
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2200,0.3355368673801422,16.066270112991333
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2400,0.31520432233810425,17.506480932235718
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2600,0.31410256028175354,18.94595980644226
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2800,0.3390424847602844,20.38666796684265
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3000,0.31760817766189575,21.828716278076172
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3200,0.30849358439445496,23.27165937423706
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3400,0.2927684187889099,24.713035583496094
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3600,0.2979767620563507,26.155323266983032
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3800,0.30268430709838867,27.596921920776367
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4000,0.32131409645080566,29.03862428665161
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4200,0.32421875,30.47800588607788
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4400,0.3037860691547394,31.918066263198853
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4600,0.3039863705635071,33.360459327697754
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4800,0.3113982379436493,34.80190062522888
ptorch,CIFAR10_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4800,0.3390424847602844,34.80217933654785
