framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,0,0.0676804855465889,2.786592960357666
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,200,0.563168466091156,6.296952247619629
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,400,0.7688837051391602,7.343801975250244
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,600,0.8272058963775635,8.387749195098877
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,800,0.85628342628479,9.43468427658081
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1000,0.8768382668495178,10.477567911148071
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1200,0.8885360956192017,11.523455381393433
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1400,0.8930481672286987,12.568748712539673
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1600,0.8970588445663452,13.615755796432495
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,1800,0.9007353186607361,14.66395378112793
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2000,0.9059157967567444,15.712417364120483
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2200,0.9124331474304199,16.759069204330444
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2400,0.9127674102783203,17.806445360183716
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2600,0.9166109561920166,18.852157592773438
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,2800,0.916276752948761,19.898685216903687
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3000,0.9191176891326904,20.944857835769653
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3200,0.9192847609519958,21.99251914024353
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3400,0.9226270318031311,23.042140245437622
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3600,0.9232954978942871,24.08991503715515
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,3800,0.9196190237998962,25.136548280715942
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4000,0.9246323704719543,26.18501853942871
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4200,0.9298128485679626,27.23248839378357
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4400,0.9283088445663452,28.27859616279602
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4600,0.928141713142395,29.325040340423584
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,4800,0.9341577887535095,30.37127685546875
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,5000,0.9319853186607361,31.417173147201538
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,5200,0.9329879879951477,32.46570682525635
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,5400,0.9331551194190979,33.51218032836914
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,5600,0.9293115139007568,34.559049129486084
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,5800,0.9339906573295593,35.60602021217346
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,6000,0.9343248605728149,36.65449905395508
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,6200,0.9343248605728149,37.700716495513916
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,6400,0.9359959959983826,38.74600958824158
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,6600,0.9348261952400208,39.791818618774414
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,6800,0.9339906573295593,40.846548318862915
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,7000,0.9396724700927734,41.896345376968384
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,7200,0.9376671314239502,42.945871114730835
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,7400,0.9380013346672058,43.9953088760376
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,7600,0.9368315935134888,45.044655084609985
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,7800,0.935661792755127,46.09433937072754
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,8000,0.9366644620895386,47.14405155181885
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,8200,0.9386698007583618,48.19301152229309
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,8400,0.9395053386688232,49.24017333984375
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,8600,0.9386698007583618,50.28895044326782
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,8800,0.9369986653327942,51.336302757263184
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,9000,0.9378342628479004,52.38280510902405
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,9000,0.9397963285446167,52.38299822807312
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,0,0.0676804855465889,2.9369232654571533
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,200,0.5628342628479004,4.302752494812012
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,400,0.7673797011375427,5.388387441635132
ptorch,MNIST_4L,l2,ProjectionMuon,HardMarginLoss,True,1,600,0.8295454978942871,6.443242073059082
