framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,0,0.10446714609861374,8.14691162109375
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,200,0.13100962340831757,13.499931335449219
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,400,0.1534455120563507,14.607429265975952
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,600,0.16416266560554504,15.69788646697998
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,800,0.16866987943649292,16.785913467407227
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,1000,0.17247596383094788,17.877664804458618
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,1200,0.1783854216337204,18.967084884643555
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,1400,0.18189102411270142,20.0590500831604
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,1600,0.18419471383094788,21.148423433303833
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,1800,0.18389423191547394,22.238067150115967
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,2000,0.18389423191547394,23.32853055000305
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,2200,0.18589743971824646,24.41754126548767
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,2400,0.18850161135196686,25.506031036376953
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,2600,0.18810096383094788,26.593570470809937
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,2800,0.1886017620563507,27.68102788925171
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,3000,0.19060496985912323,28.770464658737183
ptorch,CIFAR10_4L,linf,ProjectionMuon,HardMarginLoss,False,1,3200,0.19210737943649292,29.861177682876587
