framework,task,optimizer,run,step,val_acc,wall_time_s
torch,MNIST_1L,Adam,1,0,0.11697861552238464,0.09035086631774902
torch,MNIST_1L,Adam,1,200,0.9112634062767029,0.3588852882385254
torch,MNIST_1L,Adam,1,400,0.9410094022750854,0.6235702037811279
torch,MNIST_1L,Adam,1,600,0.9336564540863037,0.8890173435211182
torch,MNIST_1L,Adam,1,800,0.9530414342880249,1.1543247699737549
torch,MNIST_1L,Adam,1,1000,0.9603943824768066,1.4178569316864014
torch,MNIST_1L,Adam,1,1200,0.9639037847518921,1.6813607215881348
torch,MNIST_1L,Adam,1,1400,0.9622326493263245,1.9432497024536133
torch,MNIST_1L,Adam,1,1600,0.9657419919967651,2.21075439453125
torch,MNIST_1L,Adam,1,1800,0.9705882668495178,2.4789116382598877
torch,MNIST_1L,Adam,1,2000,0.9665775299072266,2.7422804832458496
torch,MNIST_1L,Adam,1,2200,0.9684157967567444,3.0056192874908447
torch,MNIST_1L,Adam,1,2400,0.9674131274223328,3.2678496837615967
torch,MNIST_1L,Adam,1,2600,0.9730949401855469,3.530486822128296
torch,MNIST_1L,Adam,1,2800,0.9667446613311768,3.793466329574585
torch,MNIST_1L,Adam,1,3000,0.9735962748527527,4.05569863319397
torch,MNIST_1L,Adam,1,3200,0.9699198007583618,4.317538261413574
torch,MNIST_1L,Adam,1,3400,0.9642379879951477,4.582908868789673
torch,MNIST_1L,Adam,1,3600,0.9739304780960083,4.856175422668457
torch,MNIST_1L,Adam,1,3800,0.9707553386688232,5.12501859664917
torch,MNIST_1L,Adam,1,4000,0.9730949401855469,5.389712810516357
torch,MNIST_1L,Adam,1,4200,0.9762700796127319,5.653805255889893
torch,MNIST_1L,Adam,1,4400,0.9759358763694763,5.917104482650757
torch,MNIST_1L,Adam,1,4600,0.9720922708511353,6.180290937423706
torch,MNIST_1L,Adam,1,4800,0.9771056175231934,6.44326639175415
torch,MNIST_1L,Adam,1,5000,0.9780351519584656,6.61758279800415
torch,MNIST_1L,Adam,2,0,0.11112967878580093,0.08996176719665527
torch,MNIST_1L,Adam,2,200,0.9065842628479004,0.3570899963378906
torch,MNIST_1L,Adam,2,400,0.9358289241790771,0.6210024356842041
torch,MNIST_1L,Adam,2,600,0.9485294222831726,0.8866157531738281
torch,MNIST_1L,Adam,2,800,0.9515374302864075,1.1526966094970703
torch,MNIST_1L,Adam,2,1000,0.9555481672286987,1.4164378643035889
torch,MNIST_1L,Adam,2,1200,0.9585561752319336,1.6795740127563477
torch,MNIST_1L,Adam,2,1400,0.9608957171440125,1.943110704421997
torch,MNIST_1L,Adam,2,1600,0.9583890438079834,2.2145767211914062
torch,MNIST_1L,Adam,2,1800,0.9670789241790771,2.4827864170074463
torch,MNIST_1L,Adam,2,2000,0.9680815935134888,2.746067762374878
torch,MNIST_1L,Adam,2,2200,0.9652406573295593,3.010730028152466
torch,MNIST_1L,Adam,2,2400,0.9623997807502747,3.275822639465332
torch,MNIST_1L,Adam,2,2600,0.9677473306655884,3.541571855545044
torch,MNIST_1L,Adam,2,2800,0.9685829281806946,3.805968999862671
torch,MNIST_1L,Adam,2,3000,0.9699198007583618,4.070898771286011
torch,MNIST_1L,Adam,2,3200,0.9667446613311768,4.335793495178223
torch,MNIST_1L,Adam,2,3400,0.9715909361839294,4.601780652999878
torch,MNIST_1L,Adam,2,3600,0.9745989441871643,4.867068767547607
torch,MNIST_1L,Adam,2,3800,0.9720922708511353,5.131659984588623
torch,MNIST_1L,Adam,2,4000,0.9719251394271851,5.4023683071136475
torch,MNIST_1L,Adam,2,4200,0.9649064540863037,5.665807723999023
torch,MNIST_1L,Adam,2,4400,0.9724264740943909,5.931543588638306
torch,MNIST_1L,Adam,2,4600,0.9729278087615967,6.196391344070435
torch,MNIST_1L,Adam,2,4800,0.9697526693344116,6.45839262008667
torch,MNIST_1L,Adam,2,5000,0.9775359034538269,6.63296365737915
torch,MNIST_1L,Adam,3,0,0.11196524649858475,0.0892341136932373
torch,MNIST_1L,Adam,3,200,0.9009024500846863,0.35645103454589844
torch,MNIST_1L,Adam,3,400,0.938168466091156,0.6224422454833984
torch,MNIST_1L,Adam,3,600,0.9456885457038879,0.8865094184875488
torch,MNIST_1L,Adam,3,800,0.9550468325614929,1.1485371589660645
torch,MNIST_1L,Adam,3,1000,0.9542112350463867,1.4126336574554443
torch,MNIST_1L,Adam,3,1200,0.9598930478096008,1.6749756336212158
torch,MNIST_1L,Adam,3,1400,0.9617313146591187,1.9378607273101807
torch,MNIST_1L,Adam,3,1600,0.9612299799919128,2.1998586654663086
torch,MNIST_1L,Adam,3,1800,0.9597259759902954,2.4672584533691406
torch,MNIST_1L,Adam,3,2000,0.9618983864784241,2.730621814727783
torch,MNIST_1L,Adam,3,2200,0.967580258846283,2.9955673217773438
torch,MNIST_1L,Adam,3,2400,0.9684157967567444,3.260085105895996
torch,MNIST_1L,Adam,3,2600,0.9640708565711975,3.5254743099212646
torch,MNIST_1L,Adam,3,2800,0.9634024500846863,3.7890398502349854
torch,MNIST_1L,Adam,3,3000,0.9730949401855469,4.053601264953613
torch,MNIST_1L,Adam,3,3200,0.9677473306655884,4.31716251373291
torch,MNIST_1L,Adam,3,3400,0.9749331474304199,4.58450722694397
torch,MNIST_1L,Adam,3,3600,0.9725936055183411,4.847915172576904
torch,MNIST_1L,Adam,3,3800,0.9754344820976257,5.11169171333313
torch,MNIST_1L,Adam,3,4000,0.9745989441871643,5.375421047210693
torch,MNIST_1L,Adam,3,4200,0.9690842628479004,5.640594959259033
torch,MNIST_1L,Adam,3,4400,0.9740976095199585,5.906108379364014
torch,MNIST_1L,Adam,3,4600,0.9735962748527527,6.170681715011597
torch,MNIST_1L,Adam,3,4800,0.9724264740943909,6.433905839920044
torch,MNIST_1L,Adam,3,5000,0.9798322319984436,6.607136249542236
torch,MNIST_1L,Adam,4,0,0.11029411852359772,0.08884000778198242
torch,MNIST_1L,Adam,4,200,0.9095922708511353,0.35522007942199707
torch,MNIST_1L,Adam,4,400,0.9415107369422913,0.6204662322998047
torch,MNIST_1L,Adam,4,600,0.9491978883743286,0.8847897052764893
torch,MNIST_1L,Adam,4,800,0.9510360956192017,1.1483614444732666
torch,MNIST_1L,Adam,4,1000,0.9618983864784241,1.4102730751037598
torch,MNIST_1L,Adam,4,1200,0.9555481672286987,1.673560619354248
torch,MNIST_1L,Adam,4,1400,0.9639037847518921,1.9357106685638428
torch,MNIST_1L,Adam,4,1600,0.9618983864784241,2.1984198093414307
torch,MNIST_1L,Adam,4,1800,0.9689171314239502,2.4646546840667725
torch,MNIST_1L,Adam,4,2000,0.9637366533279419,2.7273647785186768
torch,MNIST_1L,Adam,4,2200,0.966911792755127,2.989955186843872
torch,MNIST_1L,Adam,4,2400,0.9667446613311768,3.2534313201904297
torch,MNIST_1L,Adam,4,2600,0.966243326663971,3.5161380767822266
torch,MNIST_1L,Adam,4,2800,0.9639037847518921,3.778777599334717
torch,MNIST_1L,Adam,4,3000,0.9684157967567444,4.040775537490845
