framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,0,0.1358623057603836,1.0810840129852295
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,100,0.7824198007583618,4.569218635559082
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,200,0.8325534462928772,8.068745851516724
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,300,0.861798107624054,11.78141975402832
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,400,0.8763368725776672,15.30185580253601
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,500,0.8907085657119751,18.769532918930054
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,600,0.8907085657119751,22.335277795791626
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,700,0.8988970518112183,26.22139549255371
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,800,0.9004010558128357,30.016071319580078
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,900,0.9032419919967651,33.75509524345398
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1000,0.9049131274223328,37.705490827560425
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1100,0.9075868725776672,41.40142297744751
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1200,0.9089238047599792,45.046066999435425
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1300,0.9105949401855469,48.67961597442627
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1400,0.9122660160064697,52.334280252456665
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1500,0.9122660160064697,55.94548726081848
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1600,0.9146056175231934,59.90337014198303
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1700,0.916276752948761,63.30943059921265
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1800,0.9174465537071228,67.44327783584595
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,1900,0.915608286857605,72.64758157730103
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2000,0.9147727489471436,78.50579571723938
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2100,0.9169451594352722,83.90078783035278
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2200,0.9176136255264282,90.09897255897522
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2300,0.9191176295280457,96.10293984413147
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2400,0.918114960193634,100.77307343482971
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2500,0.9209558963775635,105.19742155075073
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2600,0.9219585657119751,111.66242742538452
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2700,0.9217914342880249,116.98144912719727
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2800,0.9227941036224365,123.35117697715759
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,2900,0.9234625697135925,129.50635075569153
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3000,0.9219585657119751,133.69028687477112
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3100,0.9227941036224365,138.29678988456726
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3200,0.9231283664703369,142.29066276550293
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3300,0.9226270318031311,145.9839301109314
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3400,0.9259692430496216,149.79241275787354
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3500,0.9244652390480042,153.9583945274353
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3600,0.92496657371521,158.2334282398224
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3700,0.9254679083824158,161.77591753005981
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3800,0.9261363744735718,165.50092768669128
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,3900,0.9251337051391602,168.801171541214
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4000,0.9261363744735718,172.2474241256714
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4100,0.9254679083824158,176.06959748268127
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4200,0.9258021116256714,179.48341345787048
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4300,0.9261363744735718,183.17184162139893
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4400,0.9259692430496216,187.13935613632202
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4500,0.9271390438079834,190.73066115379333
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4600,0.9293115139007568,194.3959584236145
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4700,0.9294785857200623,198.04069328308105
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4800,0.9293115139007568,201.80054259300232
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,4900,0.9263034462928772,205.3892252445221
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,5000,0.9278075098991394,209.12292742729187
ptorch,MNIST_1L,l2,ProjectionMuon,CrossEntropy,False,1,5100,0.9278075098991394,212.64954280853271
