framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,0,0.13853609561920166,11.604127168655396
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,100,0.8659759163856506,12.768765449523926
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,200,0.9052473306655884,13.87593412399292
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,300,0.9146056175231934,15.060717582702637
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,400,0.9196189641952515,16.54512858390808
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,500,0.9251337051391602,18.18711018562317
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,600,0.9298128485679626,19.413175106048584
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,700,0.9319853186607361,20.58215832710266
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,800,0.9339906573295593,21.75712275505066
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,900,0.9304812550544739,22.98746633529663
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1000,0.9328208565711975,24.089832305908203
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1100,0.9321523904800415,25.208388328552246
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1200,0.9353275299072266,26.640201807022095
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1300,0.9328208565711975,27.965508937835693
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1400,0.934993326663971,29.28726577758789
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1500,0.9373328685760498,30.957777976989746
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1600,0.9343248605728149,32.53393054008484
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1700,0.9361631274223328,33.72382092475891
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1800,0.9339906573295593,35.18786072731018
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,1900,0.9329879879951477,36.41494131088257
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,2000,0.9313168525695801,37.98750615119934
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,2100,0.9328208565711975,40.10975098609924
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,2200,0.936831533908844,41.96782922744751
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,2300,0.9298128485679626,43.10979652404785
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,2400,0.9304812550544739,44.30023908615112
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,2500,0.9348261952400208,45.57275915145874
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,1,2500,0.9425918459892273,45.5736358165741
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,0,0.07469920068979263,0.48520588874816895
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,100,0.852439820766449,2.2315189838409424
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,200,0.8995655179023743,4.26470685005188
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,300,0.9151069521903992,6.419834613800049
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,400,0.9222927689552307,8.064284324645996
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,500,0.9264705777168274,9.396800518035889
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,600,0.9278075098991394,11.17877721786499
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,700,0.9319853186607361,12.559072017669678
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,800,0.9319853186607361,14.012470722198486
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,900,0.9308155179023743,15.59437894821167
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,1000,0.9358288645744324,16.579307317733765
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,1100,0.9380013346672058,17.594504833221436
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,1200,0.9375,18.864324808120728
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,1300,0.9366644620895386,20.471086263656616
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,1400,0.9339906573295593,21.53220796585083
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,1500,0.9353275299072266,23.16852045059204
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,1600,0.9378342032432556,24.891204357147217
ptorch,MNIST_1L,l2,ProjectionMuon,HardMarginLoss,False,2,1700,0.9346590638160706,26.29267907142639
