framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,0,0.13870321214199066,0.24048590660095215
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,100,0.8658088445663452,0.9365873336791992
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,200,0.905581533908844,1.78424072265625
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,300,0.9120989441871643,2.5024735927581787
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,400,0.9196189641952515,3.1862130165100098
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,500,0.9253007769584656,4.038409233093262
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,600,0.9304812550544739,4.713157892227173
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,700,0.9301470518112183,5.397494792938232
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,800,0.9301470518112183,6.076248645782471
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,900,0.9268048405647278,6.7508251667022705
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1000,0.928810179233551,7.422953128814697
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1100,0.9306483864784241,8.103240966796875
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1200,0.9306483864784241,8.777230739593506
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1300,0.9289772510528564,9.464513301849365
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1400,0.9298128485679626,10.15508246421814
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1500,0.9333221912384033,10.835056066513062
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1600,0.9369986653327942,11.525679588317871
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1700,0.9328208565711975,12.200188159942627
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1800,0.9331550598144531,12.878279209136963
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1900,0.9339906573295593,13.563550472259521
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2000,0.9333221912384033,14.276780366897583
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2100,0.9341577291488647,14.95211410522461
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2200,0.9354946613311768,15.654149532318115
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2300,0.9329879879951477,16.359993934631348
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2400,0.934993326663971,17.05317258834839
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2500,0.9354946613311768,17.72014594078064
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2600,0.936831533908844,18.425641536712646
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2600,0.9374001622200012,18.4259831905365
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,0,0.07453208416700363,0.260162353515625
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,100,0.8554478883743286,1.075192928314209
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,200,0.9010695219039917,1.7862136363983154
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,300,0.9161096215248108,2.480232000350952
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,400,0.9204545617103577,3.1757261753082275
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,500,0.9269719123840332,3.8590142726898193
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,600,0.9283088445663452,4.561437606811523
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,700,0.9323195219039917,5.252316951751709
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,800,0.9359959959983826,5.93561863899231
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,900,0.9339906573295593,6.637430667877197
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1000,0.935661792755127,7.358689308166504
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1100,0.9366644620895386,8.062942743301392
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1200,0.9415106773376465,8.932100772857666
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1300,0.9383355379104614,9.653521537780762
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1400,0.9348261952400208,10.394055128097534
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1500,0.9403409361839294,11.200085401535034
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1600,0.939338207244873,11.927006244659424
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1700,0.9371657967567444,12.635454893112183
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1800,0.9401738047599792,13.307411909103394
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1900,0.9363301992416382,13.973905324935913
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,2000,0.9369986653327942,14.644371032714844
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,2100,0.9383355379104614,15.35869550704956
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,2200,0.939338207244873,16.064342975616455
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,2200,0.9408945441246033,16.064815521240234
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,0,0.10544785857200623,0.22216463088989258
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,100,0.8557820916175842,0.9294753074645996
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,200,0.8912099003791809,1.6399967670440674
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,300,0.908756673336029,2.323906660079956
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,400,0.9207887649536133,3.108799457550049
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,500,0.9236297011375427,3.8635141849517822
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,600,0.9268048405647278,4.601880073547363
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,700,0.9278075098991394,5.295605897903442
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,800,0.9301470518112183,5.991604328155518
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,900,0.9301470518112183,6.7429914474487305
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1000,0.9299799203872681,7.51428484916687
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1100,0.9298128485679626,8.299957752227783
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1200,0.9311497211456299,9.032262086868286
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1300,0.9316510558128357,9.77296781539917
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1400,0.9314839839935303,10.494813442230225
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1500,0.9316510558128357,11.219040632247925
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1600,0.9326537251472473,11.970402956008911
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1700,0.9334893226623535,12.699335098266602
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1800,0.9278075098991394,13.390053033828735
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1900,0.9324866533279419,14.086108446121216
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2000,0.9336563944816589,14.929671049118042
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2100,0.9339906573295593,15.643722772598267
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2200,0.9354946613311768,16.384557723999023
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2300,0.9338235259056091,17.10113787651062
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2400,0.9318181872367859,17.88545513153076
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2500,0.9326537251472473,18.67099380493164
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2600,0.9323195219039917,19.457579374313354
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2700,0.9309826493263245,20.236769676208496
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2800,0.9328208565711975,20.96161460876465
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2900,0.9301470518112183,21.779122829437256
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,3000,0.9328208565711975,22.460957765579224
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,3100,0.9346590638160706,23.167179346084595
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,3200,0.9348261952400208,24.2988383769989
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,3200,0.938398540019989,24.299293041229248
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,0,0.13870321214199066,0.25053858757019043
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,100,0.8658088445663452,1.0606086254119873
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,200,0.905581533908844,1.8319025039672852
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,300,0.9120989441871643,2.6013734340667725
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,400,0.9196189641952515,3.396671772003174
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,500,0.9253007769584656,4.165177822113037
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,600,0.9304812550544739,4.921415090560913
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,700,0.9301470518112183,5.755294322967529
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,800,0.9301470518112183,6.479763031005859
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,900,0.9268048405647278,7.211286306381226
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1000,0.928810179233551,7.881297588348389
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1100,0.9306483864784241,8.589492321014404
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1200,0.9306483864784241,9.398036479949951
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1300,0.9289772510528564,10.127408981323242
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1400,0.9298128485679626,10.931345224380493
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1500,0.9333221912384033,11.659581422805786
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1600,0.9369986653327942,12.455773115158081
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1700,0.9328208565711975,13.212027549743652
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1800,0.9331550598144531,13.90796446800232
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,1900,0.9339906573295593,14.67592453956604
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2000,0.9333221912384033,15.37317705154419
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2100,0.9341577291488647,16.05761218070984
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2200,0.9354946613311768,16.841535329818726
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2300,0.9329879879951477,17.545997858047485
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2400,0.934993326663971,18.23936176300049
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2500,0.9354946613311768,18.941290378570557
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2600,0.936831533908844,19.809555053710938
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,1,2600,0.9374001622200012,19.80990695953369
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,0,0.07453208416700363,0.22223591804504395
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,100,0.8554478883743286,1.0287692546844482
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,200,0.9010695219039917,1.7087342739105225
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,300,0.9161096215248108,2.4049580097198486
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,400,0.9204545617103577,3.124077320098877
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,500,0.9269719123840332,3.8060851097106934
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,600,0.9283088445663452,4.487605333328247
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,700,0.9323195219039917,5.1729347705841064
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,800,0.9359959959983826,5.876267433166504
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,900,0.9339906573295593,6.563242435455322
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1000,0.935661792755127,7.3377790451049805
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1100,0.9366644620895386,8.061625242233276
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1200,0.9415106773376465,8.75219178199768
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1300,0.9383355379104614,9.432207345962524
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1400,0.9348261952400208,10.175957679748535
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1500,0.9403409361839294,10.889885187149048
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1600,0.939338207244873,11.577104330062866
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1700,0.9371657967567444,12.271971225738525
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1800,0.9401738047599792,12.969361305236816
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,1900,0.9363301992416382,13.65290379524231
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,2000,0.9369986653327942,14.382315635681152
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,2100,0.9383355379104614,15.07274842262268
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,2200,0.939338207244873,15.776798725128174
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,2,2200,0.9408945441246033,15.77901029586792
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,0,0.10544785857200623,0.20831990242004395
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,100,0.8557820916175842,0.923814058303833
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,200,0.8912099003791809,1.642693281173706
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,300,0.908756673336029,2.327268600463867
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,400,0.9207887649536133,3.059448480606079
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,500,0.9236297011375427,3.78825044631958
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,600,0.9268048405647278,4.458961009979248
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,700,0.9278075098991394,5.134990930557251
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,800,0.9301470518112183,5.894200086593628
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,900,0.9301470518112183,6.6277337074279785
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1000,0.9299799203872681,7.285207271575928
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1100,0.9298128485679626,7.972867727279663
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1200,0.9311497211456299,8.677264213562012
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1300,0.9316510558128357,9.369288206100464
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1400,0.9314839839935303,10.281980276107788
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1500,0.9316510558128357,12.134538412094116
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1600,0.9326537251472473,55.556522846221924
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1700,0.9334893226623535,59.23270392417908
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1800,0.9278075098991394,62.83092951774597
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,1900,0.9324866533279419,66.47243785858154
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2000,0.9336563944816589,70.16146183013916
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2100,0.9339906573295593,73.80625772476196
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2200,0.9354946613311768,77.61999869346619
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2300,0.9338235259056091,81.2499520778656
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2400,0.9318181872367859,85.00982093811035
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2500,0.9326537251472473,88.71590209007263
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2600,0.9323195219039917,92.51361536979675
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2700,0.9309826493263245,96.05276274681091
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2800,0.9328208565711975,99.74394845962524
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,2900,0.9301470518112183,103.04451155662537
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,3000,0.9328208565711975,106.66379642486572
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,3100,0.9346590638160706,110.58900165557861
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,3200,0.9348261952400208,114.33022856712341
ptorch,MNIST_1L,l2,ProjectionMuon,ProximalHingeMarginLoss,False,3,3200,0.938398540019989,114.33246397972107
