framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,0,0.11112967878580093,0.12841105461120605
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,100,0.22008690237998962,0.47017979621887207
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,200,0.39789438247680664,0.8102843761444092
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,300,0.5989304780960083,1.1509912014007568
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,400,0.7404746413230896,1.4913973808288574
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,500,0.8135026693344116,1.831557273864746
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,600,0.8502674102783203,2.171673536300659
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,700,0.8753342628479004,2.5117738246917725
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,800,0.8898730278015137,2.8515892028808594
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,900,0.8958890438079834,3.1914591789245605
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1000,0.9042446613311768,3.532935619354248
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1100,0.9115976095199585,3.8745415210723877
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1200,0.9147727489471436,4.214971542358398
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1300,0.9199532270431519,4.55552339553833
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1400,0.9226270318031311,4.895627975463867
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1500,0.9273061752319336,5.235820770263672
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1600,0.9313168525695801,5.578017950057983
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1700,0.9338235259056091,5.9224913120269775
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1800,0.9353275299072266,6.264778137207031
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1900,0.9369986653327942,6.606719017028809
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2000,0.9375,6.948169946670532
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2100,0.9378342628479004,7.2896952629089355
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2200,0.9401738047599792,7.632472276687622
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2300,0.9405080676078796,7.975117444992065
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2400,0.9436831474304199,8.317213535308838
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2500,0.9423462748527527,8.659195184707642
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2600,0.9461898803710938,9.001095533370972
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2700,0.9460227489471436,9.342856645584106
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2800,0.948195219039917,9.685137748718262
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2900,0.9496992230415344,10.02627944946289
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3000,0.950701892375946,10.36779522895813
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3100,0.9535428285598755,10.709416389465332
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3200,0.9515374302864075,11.050248146057129
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3300,0.9537099003791809,11.391490936279297
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3400,0.9520387649536133,11.735893726348877
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3500,0.9563837051391602,12.076891899108887
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3600,0.9565508365631104,12.41767430305481
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3700,0.9543783664703369,12.758016586303711
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3800,0.9548797011375427,13.098428010940552
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3900,0.9533756971359253,13.438652753829956
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4000,0.95621657371521,13.779990434646606
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4100,0.9530414342880249,14.126154899597168
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4200,0.9567179083824158,14.4689302444458
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4300,0.958221971988678,14.80918574333191
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4400,0.9578877091407776,15.150362730026245
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4500,0.9585561752319336,15.492130756378174
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4600,0.9578877091407776,15.833593368530273
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4700,0.959391713142395,16.172754049301147
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4800,0.9597259759902954,16.51327085494995
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4900,0.959391713142395,16.85366916656494
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,5000,0.9592246413230896,17.19353747367859
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,5100,0.9603943824768066,17.53655219078064
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,5200,0.9622326493263245,17.877700090408325
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,5300,0.9623997807502747,18.21866774559021
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,5400,0.9642379879951477,18.557721614837646
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,5500,0.9618983864784241,18.89697027206421
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,5600,0.9650735259056091,19.236685752868652
