framework,task,norm,optimizer,loss,run,step,val_acc,wall_time_s
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,0,0.4734291434288025,29.514529943466187
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,100,0.8190173506736755,96.9939398765564
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,200,0.8330548405647278,114.3058979511261
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,300,0.8526069521903992,130.9466471672058
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,400,0.8612967729568481,147.4019947052002
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,500,0.8586229681968689,165.4261610507965
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,600,0.86246657371521,182.789155960083
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,700,0.8622994422912598,199.23797726631165
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,800,0.8626337051391602,215.85338282585144
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,900,0.8686497211456299,232.21081686019897
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1000,0.8604612350463867,249.30987691879272
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1100,0.8604612350463867,267.26752066612244
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1200,0.8526069521903992,283.9516134262085
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1300,0.8517714142799377,301.90017771720886
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1400,0.8567847609519958,320.16690135002136
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1500,0.8572860956192017,339.468914270401
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1600,0.8521056175231934,357.51549530029297
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1700,0.8368983864784241,377.70480966567993
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1800,0.8238636255264282,396.3011362552643
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1900,0.8275400996208191,414.3659086227417
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,1,1900,0.8787939548492432,414.3662283420563
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,0,0.4804478585720062,0.36833667755126953
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,100,0.8168449401855469,19.733431100845337
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,200,0.841911792755127,37.86985516548157
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,300,0.8434157967567444,55.47716045379639
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,400,0.8554478883743286,73.27842545509338
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,500,0.8582887649536133,91.11946654319763
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,600,0.866310179233551,109.55985975265503
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,700,0.8689839839935303,128.16692090034485
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,800,0.874331533908844,146.92018723487854
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,900,0.8634692430496216,165.3675410747528
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1000,0.8679812550544739,182.44014048576355
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1100,0.875,201.04061627388
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1200,0.8684826493263245,219.30116248130798
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1300,0.8576202988624573,236.28728485107422
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1400,0.8577874302864075,253.60649824142456
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1500,0.8347259163856506,272.25656723976135
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1600,0.846256673336029,289.93165826797485
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1700,0.8519384860992432,308.29478335380554
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1800,0.8405748605728149,326.2579138278961
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,1900,0.843081533908844,344.527161359787
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,2000,0.8484291434288025,361.71396255493164
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,2100,0.8253676295280457,380.53270626068115
ptorch,MNIST_1L,linf,ProjectionMuon,HardMarginLoss,2,2100,0.8810902833938599,380.53325510025024
