framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,0,0.11062834411859512,0.12300300598144531
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,100,0.19969920814037323,0.48847365379333496
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,200,0.37332889437675476,0.8530960083007812
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,300,0.6026069521903992,1.2180392742156982
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,400,0.7309492230415344,1.5818345546722412
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,500,0.7994652390480042,1.9457225799560547
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,600,0.8382353186607361,2.3113534450531006
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,700,0.8634692430496216,2.6753978729248047
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,800,0.8798462748527527,3.0393667221069336
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,900,0.8887032270431519,3.403630256652832
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1000,0.9002339839935303,3.768641233444214
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1100,0.90625,4.14470362663269
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1200,0.9090909361839294,4.509412527084351
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1300,0.9149398803710938,4.8735175132751465
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1400,0.9184492230415344,5.23736834526062
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1500,0.9253008365631104,5.601129055023193
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1600,0.9242981672286987,5.965381145477295
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1700,0.9314839839935303,6.334085702896118
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1800,0.9308155179023743,6.700558185577393
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,1900,0.9331551194190979,7.067166328430176
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2000,0.9351604580879211,7.432804346084595
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2100,0.934993326663971,7.798475027084351
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2200,0.9391711354255676,8.167439699172974
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2300,0.9398396015167236,8.534794092178345
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2400,0.9375,8.90201997756958
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2500,0.9401738047599792,9.267850875854492
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2600,0.9420120716094971,9.633989810943604
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2700,0.9413436055183411,10.000336647033691
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2800,0.9415107369422913,10.366963863372803
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,2900,0.9421791434288025,10.733601331710815
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,3000,0.9441844820976257,11.100235939025879
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,3100,0.9446858763694763,11.466744661331177
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,3200,0.9470254182815552,11.832654476165771
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,3300,0.9483622908592224,12.198957443237305
ptorch,MNIST_1L,linf,ProjectionMuon,ProximalHingeMarginLoss,False,1,3400,0.9478609561920166,12.567527055740356
