framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,0,0.07118984311819077,0.3711564540863037
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,200,0.8810160160064697,1.750349521636963
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,400,0.9114304780960083,2.9414753913879395
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,600,0.9227941036224365,4.131412506103516
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,800,0.928810179233551,5.333428621292114
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,1000,0.9361631274223328,6.534828186035156
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,1200,0.9396724700927734,7.778627395629883
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,1400,0.9425133466720581,8.998704195022583
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,1600,0.9438502788543701,10.241000652313232
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,1800,0.9440173506736755,11.433964967727661
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,2000,0.9418449401855469,12.633677005767822
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,2200,0.9446858167648315,13.823431968688965
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,2400,0.9476938247680664,15.134753465652466
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,2600,0.9453542828559875,16.413363933563232
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,2800,0.9481951594352722,17.62406826019287
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,3000,0.949364960193634,18.836998462677002
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,3200,0.9458556175231934,20.029772520065308
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,3400,0.9478609561920166,21.27686047554016
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,3600,0.9456884860992432,22.541531801223755
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,3800,0.9476938247680664,23.732423067092896
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,4000,0.9478609561920166,24.95136260986328
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,4200,0.9458556175231934,26.1409330368042
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,4400,0.9465240836143494,27.37421727180481
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,4600,0.9466911554336548,28.75605082511902
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,4800,0.9453542828559875,30.088165283203125
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,5000,0.9446858167648315,31.43614935874939
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,1,5000,0.9516773223876953,31.436540126800537
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,2,0,0.10260695219039917,0.3310697078704834
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,2,200,0.8669785857200623,1.6266472339630127
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,2,400,0.9072526693344116,3.133965253829956
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,2,600,0.9177807569503784,4.399256944656372
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,2,800,0.9301470518112183,5.791694164276123
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,2,1000,0.9333221912384033,7.098627090454102
ptorch,MNIST_128,linf,ProjectionMuon,HardMarginLoss,False,2,1200,0.9388368725776672,8.446458339691162
