framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,0,0.13770054280757904,0.13800382614135742
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,100,0.8019719123840332,0.4310431480407715
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,200,0.83121657371521,0.723876953125
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,300,0.856951892375946,1.0156104564666748
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,400,0.8693181872367859,1.3091375827789307
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,500,0.8755013346672058,1.6011426448822021
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,600,0.8771724700927734,1.8940842151641846
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,700,0.8840240836143494,2.1859753131866455
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,800,0.8853609561920166,2.4778707027435303
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,900,0.8887032270431519,2.7697696685791016
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1000,0.8918783664703369,3.0661966800689697
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1100,0.8910427689552307,3.3586161136627197
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1200,0.8927139043807983,3.6510257720947266
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1300,0.8967246413230896,3.94325590133667
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1400,0.8992313146591187,4.234686851501465
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1500,0.8952205777168274,4.526344060897827
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1600,0.8953877091407776,4.822640657424927
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1700,0.9009024500846863,5.118078708648682
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1800,0.904411792755127,5.4150426387786865
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,1900,0.9045789241790771,5.707546710968018
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2000,0.9032419919967651,5.9998016357421875
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2100,0.8980615139007568,6.291545391082764
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2200,0.9004011154174805,6.582531690597534
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2300,0.9079211354255676,6.873755216598511
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2400,0.9067513346672058,7.170395851135254
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2500,0.9042446613311768,7.468538522720337
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2600,0.9094251394271851,7.765743732452393
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2700,0.904411792755127,8.05703353881836
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2800,0.90625,8.348699808120728
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,2900,0.9097594022750854,8.640148401260376
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3000,0.9107620716094971,8.931233167648315
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3100,0.9092580676078796,9.227157354354858
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3200,0.9099264740943909,9.519465208053589
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3300,0.9049131274223328,9.81047248840332
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3400,0.9090909361839294,10.105514287948608
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3500,0.903743326663971,10.40179967880249
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3600,0.9099264740943909,10.69331169128418
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3700,0.9115976095199585,10.986112594604492
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3800,0.9107620716094971,11.27846074104309
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,3900,0.9115976095199585,11.57018518447876
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4000,0.9115976095199585,11.861733675003052
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4100,0.9149398803710938,12.152814626693726
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4200,0.9139372110366821,12.444926738739014
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4300,0.9126002788543701,12.737905025482178
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4400,0.9179478883743286,13.029289722442627
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4500,0.9149398803710938,13.320520877838135
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4600,0.9082553386688232,13.612287044525146
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4700,0.9099264740943909,13.902688980102539
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4800,0.9172794222831726,14.193817138671875
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,4900,0.9147727489471436,14.485045909881592
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5000,0.9141042828559875,14.776417255401611
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5100,0.9161096215248108,15.070895195007324
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5200,0.9090909361839294,15.362485647201538
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5300,0.9126002788543701,15.654657125473022
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5400,0.9134358763694763,15.945794105529785
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5500,0.9172794222831726,16.23639488220215
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5600,0.9137700796127319,16.52673316001892
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5700,0.9164438843727112,16.817182064056396
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5800,0.9139372110366821,17.108521699905396
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,5900,0.9137700796127319,17.401630640029907
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6000,0.9126002788543701,17.693181037902832
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6100,0.9146056175231934,17.983949661254883
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6200,0.9161096215248108,18.27472472190857
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6300,0.9211230278015137,18.565951585769653
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6400,0.9191176891326904,18.858192443847656
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6500,0.9157754182815552,19.14993691444397
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6600,0.9197860956192017,19.440717935562134
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6700,0.9152740836143494,19.73140788078308
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6800,0.9234625697135925,20.02405595779419
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,6900,0.9136029481887817,20.320221424102783
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7000,0.9199532270431519,20.61192536354065
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7100,0.9191176891326904,20.908716201782227
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7200,0.9199532270431519,21.199910163879395
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7300,0.9137700796127319,21.49192476272583
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7400,0.9251337051391602,21.788196563720703
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7500,0.9039104580879211,22.080978631973267
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7600,0.9207887649536133,22.37221384048462
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7700,0.9181150197982788,22.664071798324585
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7800,0.9222928285598755,22.956626892089844
ptorch,MNIST,l2,ProjectionAdam,CrossEntropy,False,1,7900,0.9239639043807983,23.248380184173584
