framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,0,0.11146390438079834,0.1762228012084961
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,100,0.3118315637111664,0.5281436443328857
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,200,0.5404412150382996,0.877957820892334
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,300,0.7276069521903992,1.2292308807373047
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,400,0.8125,1.5799775123596191
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,500,0.8507687449455261,1.9312067031860352
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,600,0.8683155179023743,2.2813007831573486
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,700,0.8878676891326904,2.63173508644104
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,800,0.8992313146591187,2.9818332195281982
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,900,0.9034091234207153,3.332162618637085
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1000,0.9099264740943909,3.6819961071014404
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1100,0.916276752948761,4.032756567001343
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1200,0.9184492230415344,4.387621641159058
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1300,0.9244652390480042,4.738027334213257
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1400,0.9236297011375427,5.087941408157349
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1500,0.9264705777168274,5.438103914260864
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1600,0.9306483864784241,5.787855625152588
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1700,0.9319853186607361,6.1480982303619385
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1800,0.9346591234207153,6.50136661529541
ptorch,MNIST,l2,ProjectionMuon,CrossEntropy,False,1,1900,0.9333221912384033,6.852901458740234
