framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,0,0.21991978585720062,2.507391929626465
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,100,0.7438168525695801,3.0623598098754883
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,200,0.7566844820976257,3.3437387943267822
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,300,0.7770721912384033,3.6248490810394287
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,400,0.7789104580879211,3.905658006668091
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,500,0.7789104580879211,4.1857383251190186
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,600,0.803141713142395,4.465846300125122
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,700,0.7966243624687195,4.745969772338867
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,800,0.8069853186607361,5.025228023529053
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,900,0.8049799799919128,5.30540919303894
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1000,0.8091577887535095,5.5860276222229
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1100,0.8054813146591187,5.867962598800659
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1200,0.8001337051391602,6.1484534740448
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1300,0.803810179233551,6.427129507064819
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1400,0.7997995018959045,6.704909563064575
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1500,0.8074866533279419,6.982556581497192
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1600,0.8178476095199585,7.260562181472778
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1700,0.8178476095199585,7.556805372238159
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1800,0.8196858167648315,7.835388898849487
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,1900,0.8201872110366821,8.113312721252441
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2000,0.8093248605728149,8.391404390335083
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2100,0.8196858167648315,8.669445276260376
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2200,0.8201872110366821,8.9471275806427
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2300,0.8146724700927734,9.224104642868042
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2400,0.8188502788543701,9.502526044845581
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2500,0.8195187449455261,9.780017852783203
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2600,0.8210227489471436,10.057897567749023
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2700,0.8201872110366821,10.3356294631958
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2800,0.8248663544654846,10.61371111869812
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,2900,0.8265374302864075,10.891011953353882
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3000,0.8252005577087402,11.168583631515503
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3100,0.8223596215248108,11.447991132736206
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3200,0.8241978883743286,11.726157426834106
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3300,0.8053141832351685,12.004223346710205
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3400,0.8221925497055054,12.304185152053833
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3500,0.8156751394271851,12.582874774932861
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3600,0.8125,12.861339569091797
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3700,0.826370358467102,13.140136480331421
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3800,0.8283756971359253,13.420103073120117
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,3900,0.8216912150382996,13.700854778289795
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4000,0.8216912150382996,13.97958493232727
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4100,0.8223596215248108,14.257535457611084
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4200,0.8208556175231934,14.535335302352905
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4300,0.8307152390480042,14.813425540924072
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4400,0.8295454978942871,15.091787815093994
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4500,0.8317179083824158,15.369576930999756
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4600,0.8272058963775635,15.650041103363037
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4700,0.8280414342880249,15.930634021759033
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4800,0.83121657371521,16.21146559715271
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,4900,0.8240307569503784,16.490476608276367
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5000,0.831885039806366,16.769399881362915
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5100,0.8358957171440125,17.064964056015015
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5200,0.8297125697135925,17.345304012298584
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5300,0.8260360956192017,17.626278400421143
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5400,0.8248663544654846,17.906949520111084
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5500,0.8208556175231934,18.187891483306885
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5600,0.8322192430496216,18.466837644577026
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5700,0.8333890438079834,18.745163202285767
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5800,0.8362299799919128,19.02499794960022
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,5900,0.8387366533279419,19.303322076797485
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,6000,0.8268716931343079,19.583432912826538
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,6100,0.8338903784751892,19.863260507583618
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,6200,0.8422459959983826,20.14331316947937
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,6300,0.8368983864784241,20.42412257194519
ptorch,MNIST,l2,ProjectionSGD,CrossEntropy,False,1,6400,0.8353943824768066,20.704166650772095
