framework,task,run,step,val_acc,wall_time_s
pjax,CIFAR10_1L,1,0,0.09455128014087677,0.3736541271209717
pjax,CIFAR10_1L,1,200,0.31089743971824646,21.949108123779297
pjax,CIFAR10_1L,1,400,0.3316306173801422,43.5226833820343
pjax,CIFAR10_1L,1,600,0.3474559485912323,65.10661363601685
pjax,CIFAR10_1L,1,800,0.34475159645080566,86.67046427726746
pjax,CIFAR10_1L,1,1000,0.36949118971824646,108.23482847213745
pjax,CIFAR10_1L,1,1200,0.36077725887298584,129.81187558174133
pjax,CIFAR10_1L,1,1400,0.3567708432674408,151.38961219787598
pjax,CIFAR10_1L,1,1600,0.3752003312110901,172.9673376083374
pjax,CIFAR10_1L,1,1800,0.3770032227039337,194.52935981750488
pjax,CIFAR10_1L,1,2000,0.3783052861690521,216.1061987876892
pjax,CIFAR10_1L,1,2200,0.38181090354919434,237.66822409629822
pjax,CIFAR10_1L,1,2400,0.39052483439445496,259.2461452484131
pjax,CIFAR10_1L,1,2600,0.3826121985912323,280.8072130680084
pjax,CIFAR10_1L,1,2800,0.3742988705635071,302.368944644928
pjax,CIFAR10_1L,1,3000,0.39573317766189575,323.9319131374359
pjax,CIFAR10_1L,1,3200,0.38141027092933655,345.50944328308105
pjax,CIFAR10_1L,1,3400,0.37620192766189575,367.0862989425659
pjax,CIFAR10_1L,1,3600,0.39683493971824646,388.6631534099579
pjax,CIFAR10_1L,1,3800,0.3910256326198578,410.22438764572144
pjax,CIFAR10_1L,1,4000,0.3820112347602844,431.7860734462738
pjax,CIFAR10_1L,1,4200,0.39853766560554504,453.3469638824463
pjax,CIFAR10_1L,1,4400,0.4014423191547394,474.9234001636505
pjax,CIFAR10_1L,1,4600,0.40394631028175354,496.4844264984131
pjax,CIFAR10_1L,1,4800,0.4092548191547394,518.0611555576324
pjax,CIFAR10_1L,1,5000,0.4092548191547394,538.615031003952
pjax,CIFAR10_1L,2,0,0.09054487198591232,0.32958436012268066
pjax,CIFAR10_1L,2,200,0.3259214758872986,21.890430450439453
pjax,CIFAR10_1L,2,400,0.3472556173801422,43.453707456588745
pjax,CIFAR10_1L,2,600,0.3470552861690521,65.02955436706543
pjax,CIFAR10_1L,2,800,0.32692307233810425,86.60838484764099
pjax,CIFAR10_1L,2,1000,0.359375,108.18494248390198
pjax,CIFAR10_1L,2,1200,0.3699919879436493,129.74523210525513
pjax,CIFAR10_1L,2,1400,0.37099358439445496,151.3225679397583
pjax,CIFAR10_1L,2,1600,0.3811097741127014,172.8838894367218
pjax,CIFAR10_1L,2,1800,0.38100960850715637,194.46144604682922
pjax,CIFAR10_1L,2,2000,0.36909055709838867,216.03862142562866
pjax,CIFAR10_1L,2,2200,0.38671875,237.6160864830017
pjax,CIFAR10_1L,2,2400,0.3962339758872986,259.1778392791748
pjax,CIFAR10_1L,2,2600,0.39443108439445496,1093.6686959266663
pjax,CIFAR10_1L,2,2800,0.37860578298568726,1115.247230052948
pjax,CIFAR10_1L,2,3000,0.38792067766189575,1136.8237028121948
pjax,CIFAR10_1L,2,3200,0.41155850887298584,1158.4018523693085
pjax,CIFAR10_1L,2,3400,0.39292868971824646,1179.9634597301483
pjax,CIFAR10_1L,2,3600,0.4133613705635071,1201.5272376537323
pjax,CIFAR10_1L,2,3800,0.41005608439445496,1223.1051151752472
pjax,CIFAR10_1L,2,4000,0.40574920177459717,1244.6809604167938
pjax,CIFAR10_1L,2,4200,0.395432710647583,1266.257092475891
pjax,CIFAR10_1L,2,4400,0.3824118673801422,1287.8338198661804
pjax,CIFAR10_1L,2,4600,0.39743590354919434,1309.4099071025848
pjax,CIFAR10_1L,2,4800,0.40635016560554504,1330.985381603241
pjax,CIFAR10_1L,2,5000,0.4133613705635071,1351.553647518158
pjax,CIFAR10_1L,3,0,0.09955929964780807,0.33527612686157227
pjax,CIFAR10_1L,3,200,0.3111979067325592,21.895283222198486
pjax,CIFAR10_1L,3,400,0.33563703298568726,43.45861005783081
pjax,CIFAR10_1L,3,600,0.3443509638309479,65.03624439239502
pjax,CIFAR10_1L,3,800,0.36278045177459717,86.59719252586365
pjax,CIFAR10_1L,3,1000,0.3591746985912323,108.17492723464966
pjax,CIFAR10_1L,3,1200,0.36298078298568726,129.75093173980713
pjax,CIFAR10_1L,3,1400,0.3634815812110901,1649.2372238636017
pjax,CIFAR10_1L,3,1600,0.3675881326198578,1670.8127799034119
pjax,CIFAR10_1L,3,1800,0.3802083432674408,1692.3736832141876
pjax,CIFAR10_1L,3,2000,0.3824118673801422,1713.9485404491425
pjax,CIFAR10_1L,3,2200,0.38271233439445496,1735.5144922733307
pjax,CIFAR10_1L,3,2400,0.39423078298568726,1757.0928900241852
pjax,CIFAR10_1L,3,2600,0.38141027092933655,1778.6527409553528
pjax,CIFAR10_1L,3,2800,0.38832131028175354,1800.215166091919
pjax,CIFAR10_1L,3,3000,0.37660256028175354,1821.7741749286652
pjax,CIFAR10_1L,3,3200,0.395432710647583,1843.3340599536896
pjax,CIFAR10_1L,3,3400,0.39703527092933655,1864.9087784290314
pjax,CIFAR10_1L,3,3600,0.3949318826198578,1886.4685835838318
pjax,CIFAR10_1L,3,3800,0.39643430709838867,1908.0300800800323
