framework,task,run,step,val_acc,wall_time_s
pjax,MNIST_1L,1,0,0.09274733066558838,0.2724623680114746
pjax,MNIST_1L,1,200,0.896891713142395,4.2810351848602295
pjax,MNIST_1L,1,400,0.8963903784751892,8.194387197494507
pjax,MNIST_1L,1,600,0.9132687449455261,12.106921434402466
pjax,MNIST_1L,1,800,0.9192847609519958,15.98138165473938
pjax,MNIST_1L,1,1000,0.9242981672286987,19.895384311676025
pjax,MNIST_1L,1,1200,0.9341577887535095,23.767245054244995
pjax,MNIST_1L,1,1400,0.9296457171440125,27.68080759048462
pjax,MNIST_1L,1,1600,0.9390040040016174,31.591042518615723
pjax,MNIST_1L,1,1800,0.938836932182312,35.45934772491455
pjax,MNIST_1L,1,2000,0.9405080676078796,39.32712411880493
pjax,MNIST_1L,1,2200,0.9425134062767029,43.23861765861511
pjax,MNIST_1L,1,2400,0.9423462748527527,47.11042070388794
pjax,MNIST_1L,1,2600,0.9446858763694763,50.98042631149292
pjax,MNIST_1L,1,2800,0.9445187449455261,54.89380860328674
pjax,MNIST_1L,1,3000,0.946858286857605,58.808024644851685
pjax,MNIST_1L,1,3200,0.9480280876159668,62.679038286209106
pjax,MNIST_1L,1,3400,0.9490307569503784,66.59195232391357
pjax,MNIST_1L,1,3600,0.9493650197982788,70.4668517112732
pjax,MNIST_1L,1,3800,0.9493650197982788,74.37987303733826
pjax,MNIST_1L,1,4000,0.9518716931343079,78.29315853118896
pjax,MNIST_1L,1,4200,0.9528743624687195,82.16354775428772
pjax,MNIST_1L,1,4400,0.9533756971359253,86.0756299495697
pjax,MNIST_1L,1,4600,0.9538770318031311,89.94530868530273
pjax,MNIST_1L,1,4800,0.9548797011375427,93.85805773735046
pjax,MNIST_1L,1,5000,0.9577675461769104,97.46330046653748
pjax,MNIST_1L,2,0,0.06199866533279419,0.25478291511535645
pjax,MNIST_1L,2,200,0.8955548405647278,4.263848543167114
pjax,MNIST_1L,2,400,0.9085896015167236,8.177423477172852
pjax,MNIST_1L,2,600,0.9181150197982788,12.05136489868164
pjax,MNIST_1L,2,800,0.9253008365631104,15.967135429382324
pjax,MNIST_1L,2,1000,0.9309826493263245,19.84215807914734
pjax,MNIST_1L,2,1200,0.9333221912384033,23.756802797317505
pjax,MNIST_1L,2,1400,0.9323195219039917,27.631495237350464
pjax,MNIST_1L,2,1600,0.9334893226623535,31.505424976348877
pjax,MNIST_1L,2,1800,0.9425134062767029,35.419578075408936
pjax,MNIST_1L,2,2000,0.9410094022750854,39.29014039039612
pjax,MNIST_1L,2,2200,0.9440174102783203,43.159101247787476
pjax,MNIST_1L,2,2400,0.9496992230415344,47.074859857559204
pjax,MNIST_1L,2,2600,0.9448529481887817,50.946428060531616
pjax,MNIST_1L,2,2800,0.9478609561920166,54.81561636924744
pjax,MNIST_1L,2,3000,0.9510360956192017,58.689507484436035
pjax,MNIST_1L,2,3200,0.9471925497055054,62.602431774139404
pjax,MNIST_1L,2,3400,0.9502005577087402,66.51734280586243
pjax,MNIST_1L,2,3600,0.9517045617103577,70.43112349510193
pjax,MNIST_1L,2,3800,0.9517045617103577,74.30509400367737
pjax,MNIST_1L,2,4000,0.950701892375946,78.17451000213623
pjax,MNIST_1L,2,4200,0.9515374302864075,82.0440354347229
pjax,MNIST_1L,2,4400,0.9532085657119751,85.91745901107788
pjax,MNIST_1L,2,4600,0.9535428285598755,89.83074307441711
pjax,MNIST_1L,2,4800,0.9517045617103577,93.70147776603699
pjax,MNIST_1L,2,5000,0.9592651724815369,97.31053376197815
pjax,MNIST_1L,3,0,0.1148061528801918,0.2508962154388428
pjax,MNIST_1L,3,200,0.8980615139007568,4.261652708053589
pjax,MNIST_1L,3,400,0.9182820916175842,8.173256635665894
pjax,MNIST_1L,3,600,0.9217914342880249,12.046690225601196
pjax,MNIST_1L,3,800,0.9301470518112183,15.96101427078247
pjax,MNIST_1L,3,1000,0.9268048405647278,19.8343288898468
pjax,MNIST_1L,3,1200,0.9380013346672058,23.703571796417236
pjax,MNIST_1L,3,1400,0.9383355975151062,27.615808486938477
pjax,MNIST_1L,3,1600,0.9423462748527527,31.48839831352234
pjax,MNIST_1L,3,1800,0.9441844820976257,35.401482820510864
pjax,MNIST_1L,3,2000,0.9470254182815552,39.273627042770386
pjax,MNIST_1L,3,2200,0.9483622908592224,43.18797993659973
pjax,MNIST_1L,3,2400,0.948195219039917,47.058470249176025
pjax,MNIST_1L,3,2600,0.9445187449455261,50.93035054206848
pjax,MNIST_1L,3,2800,0.9520387649536133,54.799864768981934
pjax,MNIST_1L,3,3000,0.9535428285598755,58.71030879020691
pjax,MNIST_1L,3,3200,0.9548797011375427,62.58267593383789
pjax,MNIST_1L,3,3400,0.9530414342880249,66.49621820449829
pjax,MNIST_1L,3,3600,0.9548797011375427,70.40971207618713
pjax,MNIST_1L,3,3800,0.9553810358047485,74.3221001625061
pjax,MNIST_1L,3,4000,0.9538770318031311,78.19170594215393
pjax,MNIST_1L,3,4200,0.9540441632270813,82.06134057044983
pjax,MNIST_1L,3,4400,0.9578877091407776,85.93330240249634
pjax,MNIST_1L,3,4600,0.958221971988678,89.84637522697449
pjax,MNIST_1L,3,4800,0.9572192430496216,93.71606636047363
pjax,MNIST_1L,3,5000,0.9592651724815369,97.32097887992859
pjax,MNIST_1L,1,0,0.09274733066558838,0.26819634437561035
pjax,MNIST_1L,1,200,0.8972259759902954,4.177030563354492
pjax,MNIST_1L,1,400,0.8947192430496216,8.146833419799805
pjax,MNIST_1L,1,600,0.9105949401855469,12.750467538833618
pjax,MNIST_1L,1,800,0.9167780876159668,17.742616891860962
pjax,MNIST_1L,1,1000,0.9261363744735718,22.704573154449463
pjax,MNIST_1L,1,1200,0.9283088445663452,27.70057702064514
pjax,MNIST_1L,1,1400,0.9314839839935303,32.65491342544556
pjax,MNIST_1L,1,1600,0.9369986653327942,37.63779544830322
pjax,MNIST_1L,1,1800,0.9368315935134888,42.59613108634949
pjax,MNIST_1L,1,2000,0.9410094022750854,47.544755697250366
pjax,MNIST_1L,1,2200,0.9420120716094971,52.51926946640015
pjax,MNIST_1L,1,2400,0.9425134062767029,57.51829671859741
pjax,MNIST_1L,1,2600,0.9453542828559875,62.509575843811035
pjax,MNIST_1L,1,2800,0.9453542828559875,67.48235130310059
pjax,MNIST_1L,1,3000,0.9458556175231934,72.35897588729858
pjax,MNIST_1L,1,3200,0.9470254182815552,77.35936903953552
pjax,MNIST_1L,1,3400,0.9483622908592224,82.31161522865295
pjax,MNIST_1L,1,3600,0.9498663544654846,87.28083801269531
pjax,MNIST_1L,1,3800,0.9478609561920166,92.230881690979
pjax,MNIST_1L,1,4000,0.9478609561920166,97.17863726615906
pjax,MNIST_1L,1,4200,0.9537099003791809,102.13223123550415
pjax,MNIST_1L,1,4400,0.9545454978942871,107.10403060913086
pjax,MNIST_1L,1,4600,0.9543783664703369,112.04978442192078
pjax,MNIST_1L,1,4800,0.9538770318031311,117.02085828781128
pjax,MNIST_1L,1,5000,0.9580670595169067,121.66803216934204
pjax,MNIST_1L,2,0,0.06199866533279419,0.2503788471221924
pjax,MNIST_1L,2,200,0.8948863744735718,4.1630332469940186
pjax,MNIST_1L,2,400,0.9094251394271851,8.097046613693237
pjax,MNIST_1L,2,600,0.9151069521903992,12.046933889389038
pjax,MNIST_1L,2,800,0.9207887649536133,15.981300115585327
pjax,MNIST_1L,2,1000,0.9309826493263245,19.932265996932983
pjax,MNIST_1L,2,1200,0.9376671314239502,23.869386434555054
pjax,MNIST_1L,2,1400,0.9348261952400208,27.81988763809204
pjax,MNIST_1L,2,1600,0.9299799799919128,31.772883892059326
pjax,MNIST_1L,2,1800,0.9371657967567444,35.72550344467163
pjax,MNIST_1L,2,2000,0.9405080676078796,39.675811529159546
pjax,MNIST_1L,2,2200,0.9421791434288025,43.61383128166199
pjax,MNIST_1L,2,2400,0.9480280876159668,47.5654182434082
pjax,MNIST_1L,2,2600,0.9470254182815552,51.500901222229004
pjax,MNIST_1L,2,2800,0.9483622908592224,55.436458110809326
pjax,MNIST_1L,2,3000,0.9493650197982788,59.386624336242676
pjax,MNIST_1L,2,3200,0.9476938843727112,63.32251214981079
pjax,MNIST_1L,2,3400,0.9495320916175842,67.25747728347778
pjax,MNIST_1L,2,3600,0.9545454978942871,71.2090516090393
pjax,MNIST_1L,2,3800,0.9532085657119751,75.14381909370422
pjax,MNIST_1L,2,4000,0.9503676891326904,79.08128261566162
pjax,MNIST_1L,2,4200,0.950701892375946,83.01665782928467
pjax,MNIST_1L,2,4400,0.9518716931343079,86.9529983997345
pjax,MNIST_1L,2,4600,0.9543783664703369,90.8883056640625
pjax,MNIST_1L,2,4800,0.9515374302864075,94.82546401023865
pjax,MNIST_1L,2,5000,0.9560702443122864,98.49464535713196
pjax,MNIST_1L,3,0,0.1148061528801918,0.24905610084533691
pjax,MNIST_1L,3,200,0.8977273106575012,4.158431768417358
pjax,MNIST_1L,3,400,0.9136029481887817,8.090739488601685
pjax,MNIST_1L,3,600,0.9219585657119751,12.039020776748657
pjax,MNIST_1L,3,800,0.9303141832351685,15.971110582351685
pjax,MNIST_1L,3,1000,0.9316511154174805,19.920329093933105
pjax,MNIST_1L,3,1200,0.9396724700927734,23.855615854263306
pjax,MNIST_1L,3,1400,0.9380013346672058,27.804816722869873
pjax,MNIST_1L,3,1600,0.9413436055183411,31.75691294670105
pjax,MNIST_1L,3,1800,0.9460227489471436,35.69221210479736
pjax,MNIST_1L,3,2000,0.9465240836143494,39.64235854148865
pjax,MNIST_1L,3,2200,0.9470254182815552,43.574448585510254
pjax,MNIST_1L,3,2400,0.9456885457038879,47.522644996643066
pjax,MNIST_1L,3,2600,0.9490307569503784,51.47277355194092
pjax,MNIST_1L,3,2800,0.9512032270431519,55.406227827072144
pjax,MNIST_1L,3,3000,0.9508690237998962,59.354716777801514
pjax,MNIST_1L,3,3200,0.9508690237998962,63.30315566062927
pjax,MNIST_1L,3,3400,0.9520387649536133,67.25225830078125
pjax,MNIST_1L,3,3600,0.9542112350463867,71.18395757675171
pjax,MNIST_1L,3,3800,0.9547125697135925,75.13294577598572
pjax,MNIST_1L,3,4000,0.9547125697135925,79.06806230545044
pjax,MNIST_1L,3,4200,0.9533756971359253,83.00051546096802
pjax,MNIST_1L,3,4400,0.9590575098991394,86.9325213432312
pjax,MNIST_1L,3,4600,0.9560495018959045,90.88113307952881
pjax,MNIST_1L,3,4800,0.9577205777168274,94.82928419113159
pjax,MNIST_1L,3,5000,0.958765983581543,98.51143145561218
