framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,0,0.09144631773233414,15.04870080947876
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,200,0.2972756326198578,15.82500433921814
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,400,0.36127805709838867,16.341658353805542
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,600,0.39463141560554504,16.848522186279297
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,800,0.41025641560554504,17.367235898971558
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,1000,0.41546475887298584,17.87291383743286
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,1200,0.42738381028175354,18.384790420532227
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,1400,0.4303886294364929,18.900037050247192
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,1600,0.4370993673801422,19.414748907089233
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,1800,0.4318910241127014,19.91721796989441
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,2000,0.44040465354919434,20.41923236846924
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,2200,0.4451121985912323,20.936403036117554
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,2400,0.4445112347602844,21.439324617385864
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,2600,0.4457131326198578,21.950299739837646
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,2800,0.4509214758872986,22.467159748077393
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,3000,0.4507211744785309,22.97054886817932
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,3200,0.4514222741127014,23.479204893112183
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,3400,0.4401041865348816,23.984188318252563
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,3600,0.4518229365348816,24.504735231399536
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,3800,0.45112180709838867,25.02743172645569
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,4000,0.45953527092933655,25.5483181476593
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,4200,0.4622395932674408,26.059789419174194
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,4400,0.4585336744785309,26.565176725387573
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,4600,0.46284055709838867,27.067473888397217
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,4800,0.4542267620563507,27.574939966201782
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,1,5000,0.46284055709838867,27.998496055603027
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,0,0.11808894574642181,0.09266829490661621
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,200,0.2935697138309479,0.5993037223815918
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,400,0.3643830120563507,1.1072509288787842
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,600,0.3832131326198578,1.612276554107666
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,800,0.40054085850715637,2.11698055267334
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,1000,0.41245993971824646,2.622313976287842
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,1200,0.4229767620563507,3.126624822616577
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,1400,0.42828527092933655,3.630375862121582
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,1600,0.43519631028175354,4.134088516235352
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,1800,0.4408052861690521,4.640810966491699
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,2000,0.44330930709838867,5.143381595611572
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,2200,0.44330930709838867,5.643125295639038
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,2400,0.44911858439445496,6.142510890960693
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,2600,0.4438101053237915,6.644698858261108
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,2800,0.45042067766189575,7.14561128616333
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,3000,0.44721555709838867,7.645037412643433
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,3200,0.44971954822540283,8.149579763412476
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,3400,0.45913460850715637,8.652436256408691
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,3600,0.44671475887298584,9.152286291122437
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,3800,0.45653045177459717,9.651599645614624
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,4000,0.4544270932674408,10.164134979248047
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,4200,0.45733174681663513,10.676627159118652
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,4400,0.46173879504203796,11.181002616882324
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,4600,0.4557291865348816,11.68547511100769
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,4800,0.45542868971824646,12.194231033325195
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,2,5000,0.46173879504203796,12.622012615203857
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,0,0.1015625,0.10061073303222656
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,200,0.29847756028175354,0.6070606708526611
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,400,0.35757210850715637,1.1283721923828125
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,600,0.3811097741127014,1.6359508037567139
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,800,0.4029447138309479,2.1708860397338867
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,1000,0.40835335850715637,2.6759233474731445
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,1200,0.42528045177459717,3.1805672645568848
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,1400,0.42578125,3.7054691314697266
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,1600,0.43780049681663513,4.230206727981567
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,1800,0.4449118673801422,4.7358410358428955
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,2000,0.4395032227039337,5.245565414428711
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,2200,0.44350960850715637,5.7633044719696045
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,2400,0.4457131326198578,6.271122932434082
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,2600,0.4516226053237915,6.790115833282471
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,2800,0.4505208432674408,7.302383184432983
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,3000,0.4431089758872986,7.812901020050049
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,3200,0.4542267620563507,8.317649602890015
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,3400,0.45302483439445496,8.822680473327637
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,3600,0.4551282227039337,9.327614784240723
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,3800,0.4564302861690521,9.839417695999146
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,4000,0.4603365361690521,10.341736555099487
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,4200,0.4503205120563507,10.84386682510376
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,4400,0.4561298191547394,11.344789981842041
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,4600,0.450120210647583,11.845429420471191
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,4800,0.45452725887298584,12.348414659500122
ptorch,CIFAR10_1L,inf,ProjectionMuon,CrossEntropy,False,3,5000,0.4603365361690521,12.769561767578125
