framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,0,0.09144631773233414,2.1493375301361084
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,200,0.26362180709838867,2.8441755771636963
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,400,0.3539663553237915,3.42384672164917
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,600,0.3934294879436493,3.9799840450286865
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,800,0.4142628312110901,4.551815986633301
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,1000,0.43549680709838867,5.10627555847168
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,1200,0.44801682233810425,5.682753324508667
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,1400,0.4576322138309479,6.257001876831055
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,1600,0.4681490361690521,6.828434944152832
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,1800,0.47495993971824646,7.382598876953125
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,2000,0.48096954822540283,7.936722278594971
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,2200,0.4867788553237915,8.495335578918457
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,2400,0.48968350887298584,9.049279689788818
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,2600,0.4925881326198578,9.60307264328003
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,2800,0.4953926205635071,10.173619985580444
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,3000,0.49559295177459717,10.726087808609009
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,3200,0.5040064454078674,11.280190706253052
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,3400,0.4958934485912323,11.834455490112305
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,3600,0.5098156929016113,12.387717723846436
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,3800,0.5105168223381042,12.96103835105896
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,4000,0.5112179517745972,13.530907392501831
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,4200,0.5193309187889099,14.084895372390747
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,4400,0.5192307829856873,14.65887975692749
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,4600,0.5220352411270142,15.228519678115845
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,4800,0.5241386294364929,15.784975290298462
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,1,5000,0.5241386294364929,16.258763074874878
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,0,0.11788862198591232,0.09656834602355957
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,200,0.2730368673801422,0.6575846672058105
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,400,0.35316506028175354,1.2323071956634521
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,600,0.3863181173801422,1.807055950164795
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,800,0.41266027092933655,2.3629467487335205
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,1000,0.42998799681663513,2.917602300643921
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,1200,0.4505208432674408,3.4722564220428467
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,1400,0.4600360691547394,4.0439112186431885
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,1600,0.46484375,4.598120212554932
ptorch,CIFAR10_1L,linf,ProjectionMuon,CrossEntropy,False,2,1800,0.4758613705635071,5.170412063598633
