framework,task,norm,optimizer,loss,use_muon_activations,run,step,val_acc,wall_time_s
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,0,0.17329545319080353,0.2573206424713135
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,200,0.6229946613311768,0.9847593307495117
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,400,0.8327205777168274,1.6468181610107422
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,600,0.8947192430496216,2.3077709674835205
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,800,0.9196190237998962,2.968449354171753
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1000,0.9334893226623535,3.6299378871917725
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1200,0.9440174102783203,4.290867805480957
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1400,0.95003342628479,4.951937437057495
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1600,0.9550468325614929,5.612724542617798
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,1800,0.957553505897522,6.279183387756348
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2000,0.959391713142395,6.943974018096924
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2200,0.9613970518112183,7.606335401535034
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2400,0.9645721912384033,8.269711971282959
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2600,0.9674131274223328,8.932907342910767
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,2800,0.9679144620895386,9.596734762191772
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3000,0.9712567329406738,10.259953260421753
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3200,0.9707553386688232,10.922962427139282
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3400,0.9719251394271851,11.58596682548523
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3600,0.9725936055183411,12.24363923072815
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,3800,0.9729278087615967,12.901080131530762
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4000,0.9722594022750854,13.559842586517334
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4200,0.9724264740943909,14.218005895614624
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4400,0.9749331474304199,14.876963376998901
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4600,0.9756016135215759,15.535301208496094
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,4800,0.9779412150382996,16.192713260650635
ptorch,MNIST_1L,linf,ProjectionMuon,CrossEntropy,False,1,5000,0.9803314805030823,16.73182511329651
