framework,task,optimizer,run,step,val_acc,wall_time_s
torch,CIFAR10_1L,Adam,1,0,0.11608573794364929,0.1335315704345703
torch,CIFAR10_1L,Adam,1,200,0.36748799681663513,0.38374900817871094
torch,CIFAR10_1L,Adam,1,400,0.41225960850715637,0.5860936641693115
torch,CIFAR10_1L,Adam,1,600,0.41095754504203796,0.7675008773803711
torch,CIFAR10_1L,Adam,1,800,0.38661858439445496,0.9494585990905762
torch,CIFAR10_1L,Adam,1,1000,0.39833733439445496,1.1314208507537842
torch,CIFAR10_1L,Adam,1,1200,0.4412059485912323,1.3127431869506836
torch,CIFAR10_1L,Adam,1,1400,0.4250801205635071,1.4952046871185303
torch,CIFAR10_1L,Adam,1,1600,0.45022034645080566,1.6768474578857422
torch,CIFAR10_1L,Adam,1,1800,0.4410056173801422,1.8582007884979248
torch,CIFAR10_1L,Adam,1,2000,0.4440104365348816,2.039546489715576
torch,CIFAR10_1L,Adam,1,2200,0.4473157227039337,2.221682071685791
torch,CIFAR10_1L,Adam,1,2400,0.4488181173801422,2.4042844772338867
torch,CIFAR10_1L,Adam,1,2600,0.4381009638309479,2.5853209495544434
torch,CIFAR10_1L,Adam,1,2800,0.4324919879436493,2.7666847705841064
torch,CIFAR10_1L,Adam,1,3000,0.47445914149284363,2.947049617767334
torch,CIFAR10_1L,Adam,1,3200,0.4503205120563507,3.1299452781677246
torch,CIFAR10_1L,Adam,1,3400,0.45302483439445496,3.311727523803711
torch,CIFAR10_1L,Adam,1,3600,0.4581330120563507,3.494035482406616
torch,CIFAR10_1L,Adam,1,3800,0.4412059485912323,3.6922357082366943
torch,CIFAR10_1L,Adam,1,4000,0.4663461744785309,3.8828072547912598
torch,CIFAR10_1L,Adam,1,4200,0.46324118971824646,4.064281463623047
torch,CIFAR10_1L,Adam,1,4400,0.47495993971824646,4.24546217918396
torch,CIFAR10_1L,Adam,1,4600,0.4739583432674408,4.427237272262573
torch,CIFAR10_1L,Adam,1,4800,0.4581330120563507,4.609184265136719
torch,CIFAR10_1L,Adam,1,5000,0.47495993971824646,4.731263637542725
torch,CIFAR10_1L,Adam,2,0,0.08824118971824646,0.06076335906982422
torch,CIFAR10_1L,Adam,2,200,0.3443509638309479,0.26180148124694824
torch,CIFAR10_1L,Adam,2,400,0.3619791567325592,0.4436628818511963
torch,CIFAR10_1L,Adam,2,600,0.42157453298568726,0.6257305145263672
torch,CIFAR10_1L,Adam,2,800,0.4073517620563507,0.8079280853271484
torch,CIFAR10_1L,Adam,2,1000,0.4199719727039337,0.9895093441009521
torch,CIFAR10_1L,Adam,2,1200,0.43359375,1.1723177433013916
torch,CIFAR10_1L,Adam,2,1400,0.43329328298568726,1.3549079895019531
torch,CIFAR10_1L,Adam,2,1600,0.45863381028175354,1.537459373474121
torch,CIFAR10_1L,Adam,2,1800,0.4405048191547394,1.7238202095031738
torch,CIFAR10_1L,Adam,2,2000,0.41977164149284363,1.905797004699707
torch,CIFAR10_1L,Adam,2,2200,0.4326923191547394,2.0885274410247803
torch,CIFAR10_1L,Adam,2,2400,0.45522835850715637,2.2693583965301514
torch,CIFAR10_1L,Adam,2,2600,0.4438101053237915,2.4514708518981934
torch,CIFAR10_1L,Adam,2,2800,0.4600360691547394,2.635878324508667
torch,CIFAR10_1L,Adam,2,3000,0.46083733439445496,2.8175606727600098
torch,CIFAR10_1L,Adam,2,3200,0.45452725887298584,3.000572443008423
torch,CIFAR10_1L,Adam,2,3400,0.46304085850715637,3.1823482513427734
torch,CIFAR10_1L,Adam,2,3600,0.44320914149284363,3.3631389141082764
torch,CIFAR10_1L,Adam,2,3800,0.45042067766189575,3.5441842079162598
torch,CIFAR10_1L,Adam,2,4000,0.47345754504203796,3.7255661487579346
torch,CIFAR10_1L,Adam,2,4200,0.45432692766189575,3.9068658351898193
torch,CIFAR10_1L,Adam,2,4400,0.45282453298568726,4.087065935134888
torch,CIFAR10_1L,Adam,2,4600,0.45192307233810425,4.2685956954956055
torch,CIFAR10_1L,Adam,2,4800,0.4562299847602844,4.450710773468018
torch,CIFAR10_1L,Adam,2,5000,0.47345754504203796,4.572345018386841
torch,CIFAR10_1L,Adam,3,0,0.09314903616905212,0.06074357032775879
torch,CIFAR10_1L,Adam,3,200,0.36097756028175354,0.26544189453125
torch,CIFAR10_1L,Adam,3,400,0.3606770932674408,0.44768238067626953
torch,CIFAR10_1L,Adam,3,600,0.4203726053237915,0.6298391819000244
torch,CIFAR10_1L,Adam,3,800,0.41796875,0.8112382888793945
torch,CIFAR10_1L,Adam,3,1000,0.4205729365348816,0.9930305480957031
torch,CIFAR10_1L,Adam,3,1200,0.4324919879436493,1.174997091293335
torch,CIFAR10_1L,Adam,3,1400,0.4311898946762085,1.3572497367858887
torch,CIFAR10_1L,Adam,3,1600,0.4436097741127014,1.5399136543273926
torch,CIFAR10_1L,Adam,3,1800,0.434495210647583,1.7223079204559326
torch,CIFAR10_1L,Adam,3,2000,0.4382011294364929,1.90421462059021
torch,CIFAR10_1L,Adam,3,2200,0.4248798191547394,2.085376739501953
torch,CIFAR10_1L,Adam,3,2400,0.4375,2.2660694122314453
torch,CIFAR10_1L,Adam,3,2600,0.45172277092933655,2.4472954273223877
torch,CIFAR10_1L,Adam,3,2800,0.45753204822540283,2.6284987926483154
torch,CIFAR10_1L,Adam,3,3000,0.45913460850715637,2.8102245330810547
torch,CIFAR10_1L,Adam,3,3200,0.46233975887298584,2.993553400039673
torch,CIFAR10_1L,Adam,3,3400,0.45392629504203796,3.175091505050659
torch,CIFAR10_1L,Adam,3,3600,0.4537259638309479,3.3578643798828125
torch,CIFAR10_1L,Adam,3,3800,0.4496193826198578,3.5391666889190674
torch,CIFAR10_1L,Adam,3,4000,0.46123799681663513,3.7202208042144775
torch,CIFAR10_1L,Adam,3,4200,0.4639423191547394,3.901200532913208
torch,CIFAR10_1L,Adam,3,4400,0.46514424681663513,4.082733392715454
torch,CIFAR10_1L,Adam,3,4600,0.4533253312110901,4.265007734298706
