framework,task,activation,differentiable,norm,optimizer,loss,run,step,val_acc,wall_time_s,split
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,0,0.13725142180919647,0.08525872230529785,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,100,0.41796875,0.9061880111694336,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,200,0.38955965638160706,1.703040599822998,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,300,0.390625,2.5106778144836426,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,400,0.3577769994735718,3.4989724159240723,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,500,0.3158735930919647,4.305948972702026,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,600,0.31729403138160706,5.110736846923828,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,700,0.34463778138160706,5.8936333656311035,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,800,0.3217329680919647,6.875164985656738,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,900,0.33114346861839294,7.729968070983887,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1000,0.35014206171035767,8.524842977523804,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1100,0.3087713122367859,9.314199686050415,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1200,0.2734375,10.27961277961731,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1300,0.2421875,11.067248106002808,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1400,0.3362926244735718,11.856976509094238,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1500,0.33487215638160706,12.649717807769775,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1600,0.3128551244735718,13.643843412399292,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1700,0.33487215638160706,14.463006973266602,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1800,0.34108665585517883,15.308400392532349,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,1900,0.3314985930919647,16.103665828704834,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,2000,0.42341452836990356,17.04574680328369,test
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,0,0.14701704680919647,0.0774226188659668,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,100,0.5988991856575012,0.8692722320556641,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,200,0.626953125,1.6545920372009277,
ptorch,MNIST,GappedStep,False,l2,ProjectionAdam,CrossEntropy,1,300,0.5914417505264282,2.466519832611084,
