framework,task,activation,differentiable,norm,optimizer,loss,run,step,val_acc,wall_time_s,split
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,0,0.12784090638160706,0.0858907699584961,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,100,0.17613637447357178,1.085402250289917,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,200,0.24893467128276825,2.0737528800964355,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,300,0.32350853085517883,3.0812466144561768,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,400,0.4041193425655365,4.250102758407593,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,500,0.46573156118392944,5.256890535354614,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,600,0.5170454978942871,6.257859706878662,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,700,0.568359375,7.267632961273193,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,800,0.6024503111839294,8.448826551437378,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,900,0.6235795617103577,9.457361221313477,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1000,0.6447088122367859,10.450750589370728,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1100,0.657848060131073,11.459049701690674,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1200,0.6713423728942871,12.629250764846802,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1300,0.6825284361839294,13.639921426773071,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1400,0.6883878111839294,14.63112211227417,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1500,0.7017045617103577,15.628051280975342,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1600,0.6979758739471436,16.794691801071167,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1700,0.7075639367103577,17.819421529769897,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1800,0.7098721861839294,18.821346521377563,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,1900,0.7020596861839294,19.82746410369873,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,1,2000,0.7118279337882996,20.91850757598877,test
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,0,0.10333807021379471,0.07679080963134766,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,100,0.13352273404598236,1.0816986560821533,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,200,0.1953125,2.1004230976104736,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,300,0.25088778138160706,3.095423698425293,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,400,0.3259943425655365,4.268383264541626,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,500,0.4044744372367859,5.265787124633789,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,600,0.47567471861839294,6.274747133255005,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,700,0.5252130627632141,7.283386707305908,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,800,0.5553977489471436,8.462236404418945,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,900,0.5834517478942871,9.466076612472534,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1000,0.6038707494735718,10.472098350524902,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1100,0.6232244372367859,11.47851037979126,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1200,0.6354758739471436,12.663788795471191,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1300,0.648082435131073,13.673329830169678,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1400,0.6544744372367859,14.683728694915771,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1500,0.6550071239471436,15.687386751174927,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1600,0.6615767478942871,16.878568649291992,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1700,0.6686789989471436,17.88563847541809,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1800,0.6628196239471436,18.900035619735718,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,1900,0.661754310131073,19.907105922698975,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,2,2000,0.6704791188240051,21.028895616531372,test
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,0,0.10440341383218765,0.07309436798095703,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,100,0.12997159361839294,1.0815556049346924,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,200,0.18323864042758942,2.08976674079895,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,300,0.25479403138160706,3.0916848182678223,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,400,0.34428268671035767,4.250472068786621,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,500,0.4213423430919647,5.268341302871704,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,600,0.48721593618392944,6.26754093170166,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,700,0.5337358117103577,7.275824785232544,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,800,0.5678267478942871,8.441720008850098,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,900,0.5983664989471436,9.44893765449524,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1000,0.6218039989471436,10.455608606338501,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1100,0.63671875,11.462016105651855,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1200,0.6452414989471436,12.624496221542358,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1300,0.6631747484207153,13.635645389556885,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1400,0.6642400622367859,14.629491090774536,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1500,0.665660560131073,15.645498275756836,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1600,0.6729403734207153,16.825857400894165,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1700,0.6784446239471436,17.836488008499146,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1800,0.6823508739471436,18.838870763778687,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,1900,0.6825284361839294,19.867949724197388,
ptorch,MNIST,QuantizedRelu,False,l2,ProjectionMuon,CrossEntropy,3,2000,0.6854951977729797,20.982444763183594,test
