framework,task,activation,differentiable,norm,optimizer,loss,run,step,val_acc,wall_time_s,split
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,0,0.13565340638160706,0.07055997848510742,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,100,0.28799715638160706,0.9879813194274902,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,200,0.5015980005264282,1.8953330516815186,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,300,0.6658380627632141,2.8055214881896973,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,400,0.7388139367103577,3.935270309448242,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,500,0.7840909361839294,5.040098190307617,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,600,0.8098366856575012,6.015093803405762,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,700,0.827769935131073,7.097005844116211,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,800,0.8416193723678589,8.27596640586853,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,900,0.853515625,9.300116300582886,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1000,0.8647017478942871,10.502938032150269,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1100,0.8737571239471436,11.55112338066101,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1200,0.880859375,12.740345001220703,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1300,0.8838778734207153,13.900960445404053,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1400,0.8900923728942871,14.871431827545166,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1500,0.8947088122367859,16.117131233215332,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1600,0.896484375,17.341917753219604,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1700,0.900390625,18.64324402809143,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1800,0.9046519994735718,19.6732759475708,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,1900,0.908203125,20.954504251480103,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,1,2000,0.9089786410331726,22.111947059631348,test
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,0,0.10102983564138412,0.1264791488647461,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,100,0.2560369372367859,1.2637956142425537,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,200,0.46360087394714355,2.308082103729248,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,300,0.6454190611839294,3.826693058013916,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,400,0.7254971861839294,5.263779640197754,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,500,0.7700639367103577,6.182459354400635,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,600,0.7998934984207153,7.127134323120117,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,700,0.8156960606575012,8.058684825897217,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,800,0.8323863744735718,9.154809713363647,
ptorch,MNIST,ReLU,True,l2,ProjectionMuon,CrossEntropy,2,900,0.8435724973678589,10.0816330909729,
