framework,task,activation,differentiable,norm,optimizer,loss,run,step,val_acc,wall_time_s,split
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,0,0.09073153883218765,0.0726921558380127,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,100,0.12943892180919647,0.9955837726593018,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,200,0.17613637447357178,1.915470838546753,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,300,0.23881392180919647,2.835767984390259,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,400,0.3030894994735718,3.9226112365722656,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,500,0.37002840638160706,4.853642702102661,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,600,0.4279119372367859,5.793259620666504,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,700,0.48313212394714355,6.719215631484985,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,800,0.5245028734207153,7.798375606536865,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,900,0.560546875,8.71100926399231,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1000,0.5912642478942871,9.615593910217285,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1100,0.6182528734207153,10.525174856185913,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1200,0.6365411877632141,11.635942697525024,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1300,0.6537642478942871,12.550124168395996,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1400,0.667613685131073,13.473954916000366,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1500,0.6784446239471436,14.388968467712402,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1600,0.6846591234207153,15.491278886795044,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1700,0.6928267478942871,16.410231828689575,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1800,0.698863685131073,17.33462119102478,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,1900,0.7040128111839294,18.245781183242798,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,1,2000,0.70458984375,19.262798309326172,test
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,0,0.09002131223678589,0.0761253833770752,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,100,0.11985085904598236,1.000342607498169,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,200,0.1638849526643753,1.921764612197876,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,300,0.21786221861839294,2.8363101482391357,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,400,0.28018465638160706,3.926936149597168,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,500,0.35031962394714355,4.8406195640563965,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,600,0.41530540585517883,5.7575294971466064,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,700,0.4689275622367859,6.673230409622192,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,800,0.5140269994735718,7.756746768951416,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,900,0.5506036877632141,8.660319566726685,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1000,0.5784801244735718,9.57395601272583,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1100,0.603515625,10.482614517211914,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1200,0.6219815611839294,11.625669717788696,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1300,0.6368963122367859,12.55031943321228,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1400,0.6491477489471436,13.469594955444336,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1500,0.6594460606575012,14.408085346221924,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1600,0.6674361228942871,15.484331846237183,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1700,0.6772017478942871,16.39991307258606,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1800,0.6843039989471436,17.317285299301147,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,1900,0.6898082494735718,18.231938362121582,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,2,2000,0.6964327096939087,19.249079704284668,test
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,0,0.09232954680919647,0.07472920417785645,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,100,0.1271306872367859,0.9888300895690918,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,200,0.17151989042758942,1.925994634628296,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,300,0.22904829680919647,2.8413259983062744,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,400,0.29421165585517883,3.9136688709259033,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,500,0.361328125,4.8109211921691895,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,600,0.42311790585517883,5.712317228317261,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,700,0.47975853085517883,6.627109050750732,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,800,0.5177556872367859,7.708749771118164,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,900,0.5552201867103577,8.63289737701416,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1000,0.5827414989471436,9.536243915557861,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1100,0.6102628111839294,10.446073055267334,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1200,0.6292613744735718,11.531867265701294,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1300,0.6457741856575012,12.458434104919434,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1400,0.6583806872367859,13.36310863494873,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1500,0.6693892478942871,14.270570278167725,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1600,0.6756036877632141,15.336592674255371,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1700,0.6844815611839294,16.244975805282593,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1800,0.693004310131073,17.147637605667114,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,1900,0.6977983117103577,18.048689365386963,
ptorch,MNIST,Step,False,l2,ProjectionMuon,CrossEntropy,3,2000,0.6975299119949341,19.04930019378662,test
