model,seed,step,train_pinball,eval_pinball,crossing_any,crossing_count,coverage80
UnconstrainedHead,0,0,0.6957769393920898,0.7224288582801819,1.0,4.007568359375,0.0
UnconstrainedHead,0,500,0.6408581733703613,0.6507256627082825,1.0,4.1622314453125,0.0025634765625
UnconstrainedHead,0,1000,0.6251208782196045,0.6387189030647278,1.0,3.826416015625,0.0023193359375
UnconstrainedHead,0,1500,0.6279325485229492,0.645970344543457,1.0,4.1456298828125,0.0028076171875
UnconstrainedHead,0,2000,0.6392433643341064,0.6396740674972534,1.0,4.5272216796875,0.0
UnconstrainedHead,0,2500,0.6318821310997009,0.6392185688018799,1.0,3.9271240234375,0.0023193359375
UnconstrainedHead,0,3000,0.6294101476669312,0.6352271437644958,1.0,3.8287353515625,0.00244140625
UnconstrainedHead,0,3500,0.6312100291252136,0.6480718851089478,1.0,4.2867431640625,0.0020751953125
UnconstrainedHead,0,4000,0.6549506783485413,0.6345652937889099,1.0,4.2393798828125,0.001220703125
UnconstrainedHead,0,4500,0.6491506695747375,0.6305373311042786,1.0,4.0086669921875,0.0009765625
UnconstrainedHead,0,5000,0.6202318668365479,0.6407073736190796,1.0,3.7052001953125,0.00390625
UnconstrainedHead,0,5500,0.6639712452888489,0.6481829285621643,1.0,4.0595703125,0.0013427734375
UnconstrainedHead,0,6000,0.650422215461731,0.6448108553886414,1.0,3.6756591796875,0.002685546875
UnconstrainedHead,0,6500,0.6756256222724915,0.6387032270431519,1.0,4.1407470703125,0.0018310546875
UnconstrainedHead,0,7000,0.6321126222610474,0.6387847065925598,1.0,4.26513671875,0.0009765625
UnconstrainedHead,0,7500,0.6444050669670105,0.6364492177963257,1.0,4.19677734375,0.00146484375
UnconstrainedHead,0,8000,0.6573803424835205,0.6362641453742981,1.0,3.914794921875,0.00146484375
UnconstrainedHead,0,8500,0.5885329842567444,0.6411934494972229,1.0,3.8994140625,0.00146484375
UnconstrainedHead,0,9000,0.6734907627105713,0.640606164932251,1.0,4.2430419921875,0.0006103515625
UnconstrainedHead,0,9500,0.6433632373809814,0.6264461874961853,1.0,4.3504638671875,0.0018310546875
UnconstrainedHead,0,10000,0.64825040102005,0.6376093626022339,1.0,3.8203125,0.0010986328125
UnconstrainedHead,0,10500,0.6576670408248901,0.640235960483551,1.0,4.1220703125,0.0006103515625
UnconstrainedHead,0,11000,0.6632124781608582,0.6362519860267639,1.0,3.9844970703125,0.0008544921875
UnconstrainedHead,0,11500,0.6332252025604248,0.6356462836265564,1.0,4.416015625,0.0
UnconstrainedHead,0,12000,0.6760498285293579,0.6456587314605713,1.0,3.6624755859375,0.0018310546875
UnconstrainedHead,0,12500,0.6482279896736145,0.6419126391410828,1.0,3.84423828125,0.001220703125
UnconstrainedHead,0,13000,0.6592056751251221,0.6458145976066589,1.0,3.601806640625,0.0018310546875
UnconstrainedHead,0,13500,0.6137024760246277,0.6444631218910217,1.0,3.7080078125,0.00244140625
UnconstrainedHead,0,14000,0.6480696797370911,0.6489014625549316,1.0,3.452880859375,0.0009765625
UnconstrainedHead,0,14500,0.6468064785003662,0.6426598429679871,1.0,3.9603271484375,0.0028076171875
UnconstrainedHead,0,14999,0.647709310054779,0.6361115574836731,1.0,3.845703125,0.0010986328125
UnconstrainedHead,1,0,0.705325722694397,0.7042625546455383,1.0,5.257568359375,0.0
UnconstrainedHead,1,500,0.6086130142211914,0.6341085433959961,1.0,4.0673828125,0.0057373046875
UnconstrainedHead,1,1000,0.6293709874153137,0.6362150311470032,1.0,4.2847900390625,0.0009765625
UnconstrainedHead,1,1500,0.6470190286636353,0.6539813280105591,1.0,4.24853515625,0.0008544921875
UnconstrainedHead,1,2000,0.6482422947883606,0.6562884449958801,1.0,4.2783203125,0.000732421875
UnconstrainedHead,1,2500,0.6079692244529724,0.6402263641357422,1.0,4.2481689453125,0.0025634765625
UnconstrainedHead,1,3000,0.6164959073066711,0.6450640559196472,1.0,3.9652099609375,0.000244140625
UnconstrainedHead,1,3500,0.6465121507644653,0.6439871191978455,1.0,3.9698486328125,0.000732421875
UnconstrainedHead,1,4000,0.6398664116859436,0.6417685151100159,1.0,4.5780029296875,0.00048828125
UnconstrainedHead,1,4500,0.6478530764579773,0.639863908290863,1.0,3.6934814453125,0.0035400390625
UnconstrainedHead,1,5000,0.6140548586845398,0.6347748041152954,1.0,3.5880126953125,0.001220703125
UnconstrainedHead,1,5500,0.667578399181366,0.6406718492507935,1.0,4.067626953125,0.000732421875
UnconstrainedHead,1,6000,0.6406658291816711,0.6450204849243164,1.0,3.419921875,0.003173828125
UnconstrainedHead,1,6500,0.6767709851264954,0.6378360390663147,1.0,3.9681396484375,0.002685546875
UnconstrainedHead,1,7000,0.6353371739387512,0.640142023563385,1.0,3.69287109375,0.0009765625
UnconstrainedHead,1,7500,0.6178758144378662,0.6392921805381775,1.0,3.817626953125,0.0020751953125
UnconstrainedHead,1,8000,0.6684709787368774,0.6473058462142944,1.0,3.807861328125,0.002197265625
UnconstrainedHead,1,8500,0.6721788048744202,0.6389912366867065,1.0,3.4683837890625,0.00146484375
UnconstrainedHead,1,9000,0.6291148066520691,0.6257126331329346,1.0,3.6783447265625,0.00244140625
UnconstrainedHead,1,9500,0.6585971117019653,0.6494200825691223,1.0,4.528076171875,0.00146484375
UnconstrainedHead,1,10000,0.6218182444572449,0.6407230496406555,1.0,4.2730712890625,0.000732421875
UnconstrainedHead,1,10500,0.6346214413642883,0.6465343832969666,1.0,4.3236083984375,0.0010986328125
UnconstrainedHead,1,11000,0.6353593468666077,0.6438420414924622,1.0,4.0831298828125,0.001953125
UnconstrainedHead,1,11500,0.6620303392410278,0.6440306901931763,1.0,3.8140869140625,0.001220703125
UnconstrainedHead,1,12000,0.6318960785865784,0.6441702246665955,1.0,3.9638671875,0.000244140625
UnconstrainedHead,1,12500,0.6690286993980408,0.642588198184967,1.0,3.964111328125,0.0006103515625
UnconstrainedHead,1,13000,0.6333538889884949,0.6420312523841858,1.0,4.2838134765625,0.0008544921875
UnconstrainedHead,1,13500,0.6471642851829529,0.6363775730133057,1.0,4.119140625,0.0006103515625
UnconstrainedHead,1,14000,0.6655949354171753,0.6370858550071716,1.0,4.121826171875,0.0003662109375
UnconstrainedHead,1,14500,0.6433817148208618,0.6528337001800537,1.0,4.3077392578125,0.00048828125
UnconstrainedHead,1,14999,0.6363697052001953,0.6348209381103516,1.0,4.288330078125,0.0001220703125
UnconstrainedHead,2,0,0.728748619556427,0.6932957768440247,1.0,4.3978271484375,0.002685546875
UnconstrainedHead,2,500,0.6522611379623413,0.6482243537902832,1.0,3.9029541015625,0.0018310546875
UnconstrainedHead,2,1000,0.6453469395637512,0.6308042407035828,1.0,4.3218994140625,0.000732421875
UnconstrainedHead,2,1500,0.6451908349990845,0.6518591046333313,1.0,4.076416015625,0.00048828125
UnconstrainedHead,2,2000,0.6288094520568848,0.6404224634170532,1.0,4.0880126953125,0.0003662109375
UnconstrainedHead,2,2500,0.6777028441429138,0.6458137631416321,1.0,3.812255859375,0.0010986328125
UnconstrainedHead,2,3000,0.6349780559539795,0.6335655450820923,1.0,3.762939453125,0.001953125
UnconstrainedHead,2,3500,0.6384178996086121,0.6452751159667969,1.0,4.354736328125,0.00146484375
UnconstrainedHead,2,4000,0.616662323474884,0.6292338967323303,1.0,3.945068359375,0.0001220703125
UnconstrainedHead,2,4500,0.6683250069618225,0.646496057510376,1.0,4.208984375,0.001953125
UnconstrainedHead,2,5000,0.6440246105194092,0.6494542956352234,1.0,3.784423828125,0.0037841796875
UnconstrainedHead,2,5500,0.6247029900550842,0.6317836046218872,1.0,4.1287841796875,0.0006103515625
UnconstrainedHead,2,6000,0.6482881903648376,0.6335356831550598,1.0,3.8380126953125,0.00146484375
UnconstrainedHead,2,6500,0.6386536359786987,0.6442489624023438,1.0,3.4818115234375,0.0025634765625
UnconstrainedHead,2,7000,0.629459798336029,0.6472776532173157,1.0,3.7662353515625,0.0008544921875
UnconstrainedHead,2,7500,0.6608036160469055,0.6438171863555908,1.0,3.8184814453125,0.0013427734375
UnconstrainedHead,2,8000,0.6028782725334167,0.6384044289588928,1.0,3.802978515625,0.0013427734375
UnconstrainedHead,2,8500,0.6609286665916443,0.643792986869812,1.0,4.050537109375,0.000244140625
UnconstrainedHead,2,9000,0.6669493913650513,0.6446495056152344,1.0,3.7432861328125,0.001220703125
UnconstrainedHead,2,9500,0.6441591382026672,0.6392256617546082,1.0,4.0255126953125,0.0001220703125
UnconstrainedHead,2,10000,0.6872971653938293,0.650915801525116,1.0,4.30224609375,0.0006103515625
UnconstrainedHead,2,10500,0.6765120625495911,0.645453691482544,1.0,3.8719482421875,0.0003662109375
UnconstrainedHead,2,11000,0.6197685599327087,0.6493861079216003,1.0,4.1075439453125,0.001220703125
UnconstrainedHead,2,11500,0.6691932678222656,0.647972583770752,1.0,3.9202880859375,0.00048828125
UnconstrainedHead,2,12000,0.6322710514068604,0.6518283486366272,1.0,4.015625,0.0010986328125
UnconstrainedHead,2,12500,0.5981588959693909,0.645215630531311,1.0,4.0228271484375,0.0008544921875
UnconstrainedHead,2,13000,0.6501359343528748,0.6364869475364685,1.0,3.5555419921875,0.0013427734375
UnconstrainedHead,2,13500,0.6541001200675964,0.639194905757904,1.0,4.09130859375,0.0008544921875
UnconstrainedHead,2,14000,0.6264572739601135,0.6398072838783264,1.0,3.6063232421875,0.0013427734375
UnconstrainedHead,2,14500,0.6327965259552002,0.6372478604316711,1.0,4.114501953125,0.000244140625
UnconstrainedHead,2,14999,0.6121140718460083,0.6331831812858582,1.0,4.1864013671875,0.0008544921875
SortHead,0,0,0.657486617565155,0.6909446716308594,0.0,0.0,0.0712890625
SortHead,0,500,0.6542166471481323,0.6619955897331238,0.0,0.0,0.0020751953125
SortHead,0,1000,0.6395199298858643,0.6483420133590698,0.0,0.0,0.0023193359375
SortHead,0,1500,0.6324421167373657,0.6543751955032349,0.0,0.0,0.0023193359375
SortHead,0,2000,0.646742582321167,0.6451651453971863,0.0,0.0,0.00244140625
SortHead,0,2500,0.6390698552131653,0.648706316947937,0.0,0.0,0.0013427734375
SortHead,0,3000,0.6432417035102844,0.6438214182853699,0.0,0.0,0.00146484375
SortHead,0,3500,0.6408270597457886,0.6592398881912231,0.0,0.0,0.0015869140625
SortHead,0,4000,0.6651044487953186,0.6422544121742249,0.0,0.0,0.0010986328125
SortHead,0,4500,0.6569190621376038,0.6371623277664185,0.0,0.0,0.0008544921875
SortHead,0,5000,0.6281088590621948,0.6446713209152222,0.0,0.0,0.001220703125
SortHead,0,5500,0.6794703602790833,0.6613786816596985,0.0,0.0,0.0010986328125
SortHead,0,6000,0.6611526608467102,0.6575688123703003,0.0,0.0,0.0003662109375
SortHead,0,6500,0.675529956817627,0.6459904909133911,0.0,0.0,0.0025634765625
SortHead,0,7000,0.6398120522499084,0.6448849439620972,0.0,0.0,0.0009765625
SortHead,0,7500,0.6545858383178711,0.6456274390220642,0.0,0.0,0.0010986328125
SortHead,0,8000,0.6611735820770264,0.6433895826339722,0.0,0.0,0.0010986328125
SortHead,0,8500,0.6022236347198486,0.6518072485923767,0.0,0.0,0.00146484375
SortHead,0,9000,0.6824018955230713,0.650170624256134,0.0,0.0,0.000732421875
SortHead,0,9500,0.6626856327056885,0.6345619559288025,0.0,0.0,0.0006103515625
SortHead,0,10000,0.6623785495758057,0.6453342437744141,0.0,0.0,0.00048828125
SortHead,0,10500,0.6730911731719971,0.6482189893722534,0.0,0.0,0.0008544921875
SortHead,0,11000,0.6682857871055603,0.644299328327179,0.0,0.0,0.0008544921875
SortHead,0,11500,0.641107439994812,0.6412003636360168,0.0,0.0,0.000732421875
SortHead,0,12000,0.6798227429389954,0.6575356721878052,0.0,0.0,0.0008544921875
SortHead,0,12500,0.6613591313362122,0.6512124538421631,0.0,0.0,0.000732421875
SortHead,0,13000,0.6680197715759277,0.660198986530304,0.0,0.0,0.0008544921875
SortHead,0,13500,0.627173662185669,0.6530147194862366,0.0,0.0,0.0003662109375
SortHead,0,14000,0.6579440236091614,0.6586275100708008,0.0,0.0,0.00146484375
SortHead,0,14500,0.6562431454658508,0.6557757258415222,0.0,0.0,0.0013427734375
SortHead,0,14999,0.6564739942550659,0.6451292037963867,0.0,0.0,0.001220703125
SortHead,1,0,0.6723063588142395,0.681197464466095,0.0,0.0,0.07763671875
SortHead,1,500,0.6164623498916626,0.6402392983436584,0.0,0.0,0.0029296875
SortHead,1,1000,0.6398286819458008,0.6398442387580872,0.0,0.0,0.0030517578125
SortHead,1,1500,0.6538407206535339,0.6563380360603333,0.0,0.0,0.0035400390625
SortHead,1,2000,0.6523739695549011,0.6603981852531433,0.0,0.0,0.0023193359375
SortHead,1,2500,0.619254469871521,0.6527631878852844,0.0,0.0,0.001953125
SortHead,1,3000,0.6210976839065552,0.648689329624176,0.0,0.0,0.002197265625
SortHead,1,3500,0.6514281630516052,0.6499050259590149,0.0,0.0,0.001708984375
SortHead,1,4000,0.653976559638977,0.6533313393592834,0.0,0.0,0.0010986328125
SortHead,1,4500,0.6536595225334167,0.6468661427497864,0.0,0.0,0.001220703125
SortHead,1,5000,0.6237847805023193,0.6431887149810791,0.0,0.0,0.0015869140625
SortHead,1,5500,0.6761797666549683,0.6486374139785767,0.0,0.0,0.0013427734375
