
Projection policy gradient (ptorch) for continuous control, with value baseline.

Saved rollout gif -> bipedal_walker_gifs/epoch_0000.gif
epoch:   0 	 pol:    -0.70 	 val:     1.86 	 clipfrac: 0.71 	 return:  -111.42 	 ep_len:  1600.0 	 log_std: -0.697	 det_ret:   -98.71 	 det_len: 1600.0  <-- best
epoch:   1 	 pol:     0.47 	 val:     1.11 	 clipfrac: 0.33 	 return:  -133.76 	 ep_len:  1600.0 	 log_std: -0.696
epoch:   2 	 pol:    -0.11 	 val:     5.59 	 clipfrac: 0.40 	 return:  -161.34 	 ep_len:   863.1 	 log_std: -0.697
epoch:   3 	 pol:     0.01 	 val:     0.15 	 clipfrac: 0.17 	 return:  -106.97 	 ep_len:  1600.0 	 log_std: -0.697
epoch:   4 	 pol:     0.05 	 val:     0.12 	 clipfrac: 0.11 	 return:  -105.18 	 ep_len:  1600.0 	 log_std: -0.697
epoch:   5 	 pol:     0.22 	 val:     1.00 	 clipfrac: 0.11 	 return:  -111.95 	 ep_len:  1462.5 	 log_std: -0.696
epoch:   6 	 pol:     0.06 	 val:     0.18 	 clipfrac: 0.10 	 return:  -101.59 	 ep_len:  1600.0 	 log_std: -0.696
epoch:   7 	 pol:     0.05 	 val:     0.17 	 clipfrac: 0.17 	 return:  -103.29 	 ep_len:  1600.0 	 log_std: -0.698
epoch:   8 	 pol:     0.19 	 val:     1.47 	 clipfrac: 0.12 	 return:  -110.76 	 ep_len:  1459.3 	 log_std: -0.696
epoch:   9 	 pol:     0.02 	 val:     0.15 	 clipfrac: 0.14 	 return:  -100.52 	 ep_len:  1600.0 	 log_std: -0.695
epoch:  10 	 pol:     0.16 	 val:     0.18 	 clipfrac: 0.26 	 return:  -109.52 	 ep_len:  1600.0 	 log_std: -0.692	 det_ret:  -135.27 	 det_len: 1600.0
epoch:  11 	 pol:    -0.22 	 val:     2.12 	 clipfrac: 0.08 	 return:  -105.17 	 ep_len:  1156.1 	 log_std: -0.698
epoch:  12 	 pol:    -0.11 	 val:     0.16 	 clipfrac: 0.11 	 return:   -96.87 	 ep_len:  1600.0 	 log_std: -0.698
epoch:  13 	 pol:     0.14 	 val:     0.14 	 clipfrac: 0.09 	 return:   -97.88 	 ep_len:  1600.0 	 log_std: -0.697
epoch:  14 	 pol:    -0.04 	 val:     0.15 	 clipfrac: 0.11 	 return:   -97.83 	 ep_len:  1600.0 	 log_std: -0.696
epoch:  15 	 pol:     0.02 	 val:     0.21 	 clipfrac: 0.13 	 return:   -99.90 	 ep_len:  1600.0 	 log_std: -0.698
epoch:  16 	 pol:    -0.24 	 val:     4.17 	 clipfrac: 0.21 	 return:  -110.24 	 ep_len:   909.9 	 log_std: -0.703
epoch:  17 	 pol:    -0.01 	 val:     0.13 	 clipfrac: 0.18 	 return:   -95.88 	 ep_len:  1600.0 	 log_std: -0.702
epoch:  18 	 pol:     0.05 	 val:     0.13 	 clipfrac: 0.20 	 return:   -98.30 	 ep_len:  1600.0 	 log_std: -0.703
epoch:  19 	 pol:     0.13 	 val:     0.13 	 clipfrac: 0.32 	 return:   -99.59 	 ep_len:  1600.0 	 log_std: -0.704
epoch:  20 	 pol:     0.22 	 val:     0.15 	 clipfrac: 0.15 	 return:  -102.36 	 ep_len:  1600.0 	 log_std: -0.706	 det_ret:   -64.70 	 det_len: 1600.0  <-- best
