Precision,bits,p,Step,Error,TrainAcc,ValAcc,StepTime,WallTime
int32 p=32,32,32,0,0.07981058210134506,0.671875,0.41796875,0.9055405239923857,0.9055405239923857
int32 p=32,32,32,1,0.07272187620401382,0.734375,0.53515625,0.00606702797813341,0.9116075519705191
int32 p=32,32,32,2,0.07183658331632614,0.671875,0.578125,0.005340821051504463,0.9169483730220236
int32 p=32,32,32,3,0.0715273767709732,0.671875,0.537109375,0.0053833050187677145,0.9223316780407913
int32 p=32,32,32,4,0.0656881257891655,0.8125,0.51953125,0.0055854900274425745,0.9279171680682339
int32 p=32,32,32,5,0.0749194547533989,0.6875,0.533203125,0.005535074044018984,0.9334522421122529
int32 p=32,32,32,6,0.08006363362073898,0.671875,0.50390625,0.005433320009615272,0.9388855621218681
int32 p=32,32,32,7,0.07507321983575821,0.734375,0.490234375,0.005419409018941224,0.9443049711408094
int32 p=32,32,32,8,0.0882914587855339,0.609375,0.46875,0.005408473021816462,0.9497134441626258
int32 p=32,32,32,9,0.09039919823408127,0.53125,0.435546875,0.005459239997435361,0.9551726841600612
int32 p=32,32,32,10,0.09253320097923279,0.53125,0.427734375,0.005448192998301238,0.9606208771583624
int32 p=32,32,32,11,0.10145709663629532,0.453125,0.36328125,0.00543062697397545,0.9660515041323379
int32 p=32,32,32,12,0.10641201585531235,0.390625,0.412109375,0.005412138008978218,0.9714636421413161
int32 p=32,32,32,13,0.10007885843515396,0.453125,0.376953125,0.005540060985367745,0.9770037031266838
int32 p=32,32,32,14,0.10750899463891983,0.359375,0.400390625,0.005339898983947933,0.9823436021106318
int32 p=32,32,32,15,0.10977733135223389,0.4375,0.3828125,0.00537405104842037,0.9877176531590521
int32 p=32,32,32,16,0.11226963996887207,0.578125,0.41015625,0.005442724970635027,0.9931603781296872
int32 p=32,32,32,17,0.11904841661453247,0.53125,0.443359375,0.0053178759990260005,0.9984782541287132
int32 p=32,32,32,18,0.1145012155175209,0.578125,0.380859375,0.005495254008565098,1.0039735081372783
int32 p=32,32,32,19,0.11517598479986191,0.640625,0.4296875,0.005418558022938669,1.009392066160217
int32 p=32,32,32,20,0.11282765865325928,0.59375,0.40625,0.0055011530057527125,1.0148932191659696
int32 p=32,32,32,21,0.12311730533838272,0.53125,0.392578125,0.005420201050583273,1.020313420216553
int32 p=32,32,32,22,0.11492760479450226,0.546875,0.40625,0.005482434993609786,1.0257958552101627
