2026-03-15 21:29:21,227 INFO    MainThread:159388 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-15 21:29:21,228 INFO    MainThread:159388 [wandb_setup.py:_flush():81] Configure stats pid to 159388
2026-03-15 21:29:21,228 INFO    MainThread:159388 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-15 21:29:21,228 INFO    MainThread:159388 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/cyuzuzo/thesisV5/wandb/offline-run-20260315_212921-o2opfvzq/logs/debug.log
2026-03-15 21:29:21,228 INFO    MainThread:159388 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/cyuzuzo/thesisV5/wandb/offline-run-20260315_212921-o2opfvzq/logs/debug-internal.log
2026-03-15 21:29:21,228 INFO    MainThread:159388 [wandb_init.py:init():844] calling init triggers
2026-03-15 21:29:21,228 INFO    MainThread:159388 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-15 21:29:21,228 INFO    MainThread:159388 [wandb_init.py:init():892] starting backend
2026-03-15 21:29:21,486 INFO    MainThread:159388 [wandb_init.py:init():895] sending inform_init request
2026-03-15 21:29:21,488 INFO    MainThread:159388 [wandb_init.py:init():903] backend started and connected
2026-03-15 21:29:21,489 INFO    MainThread:159388 [wandb_init.py:init():973] updated telemetry
2026-03-15 21:29:21,493 INFO    MainThread:159388 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-15 21:29:21,599 INFO    MainThread:159388 [wandb_init.py:init():1042] starting run threads in backend
2026-03-15 21:29:21,779 INFO    MainThread:159388 [wandb_run.py:_console_start():2524] atexit reg
2026-03-15 21:29:21,779 INFO    MainThread:159388 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-15 21:29:21,779 INFO    MainThread:159388 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-15 21:29:21,779 INFO    MainThread:159388 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-15 21:29:21,781 INFO    MainThread:159388 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-15 21:29:21,781 INFO    MainThread:159388 [wandb_run.py:_config_callback():1403] config_cb None None {'framework': 'ptorch_AAAAAAAAAAAAAA', 'task': 'MNIST', 'hidden': [32, 32, 32, 32, 32], 'optimizer': 'ProjectionMuon', 'opt_lr': 0.001, 'batch_size': 8, 'seed': 43, 'run_number': 1, 'max_steps': 5000, 'eval_every': 200, 'patience': 10, 'loss_projection': 'CrossEntropyProjection', 'log_loss_projection': True, 'bilinear_projection_num_newton_steps': 10, 'cross_entropy_method': 'fixed_point', 'cross_entropy_num_steps': 10, 'cross_entropy_lambda': 5.0, 'use_projections': True}
2026-03-15 21:30:37,148 INFO    MainThread:159388 [wandb_run.py:_finish():2291] finishing run pjax/o2opfvzq
2026-03-15 21:30:37,149 INFO    MainThread:159388 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-03-15 21:30:37,149 INFO    MainThread:159388 [wandb_run.py:_restore():2472] restore
2026-03-15 21:30:37,149 INFO    MainThread:159388 [wandb_run.py:_restore():2478] restore done
