2026-03-15 11:24:53,214 INFO    MainThread:14645 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-15 11:24:53,215 INFO    MainThread:14645 [wandb_setup.py:_flush():81] Configure stats pid to 14645
2026-03-15 11:24:53,215 INFO    MainThread:14645 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-15 11:24:53,215 INFO    MainThread:14645 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/cyuzuzo/thesisV5/wandb/run-20260315_112453-1uhq2rqc/logs/debug.log
2026-03-15 11:24:53,215 INFO    MainThread:14645 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/cyuzuzo/thesisV5/wandb/run-20260315_112453-1uhq2rqc/logs/debug-internal.log
2026-03-15 11:24:53,215 INFO    MainThread:14645 [wandb_init.py:init():844] calling init triggers
2026-03-15 11:24:53,215 INFO    MainThread:14645 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-15 11:24:53,215 INFO    MainThread:14645 [wandb_init.py:init():892] starting backend
2026-03-15 11:24:53,472 INFO    MainThread:14645 [wandb_init.py:init():895] sending inform_init request
2026-03-15 11:24:53,482 INFO    MainThread:14645 [wandb_init.py:init():903] backend started and connected
2026-03-15 11:24:53,482 INFO    MainThread:14645 [wandb_init.py:init():973] updated telemetry
2026-03-15 11:24:53,486 INFO    MainThread:14645 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-15 11:24:54,170 INFO    MainThread:14645 [wandb_init.py:init():1042] starting run threads in backend
2026-03-15 11:24:54,345 INFO    MainThread:14645 [wandb_run.py:_console_start():2524] atexit reg
2026-03-15 11:24:54,345 INFO    MainThread:14645 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-15 11:24:54,345 INFO    MainThread:14645 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-15 11:24:54,345 INFO    MainThread:14645 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-15 11:24:54,347 INFO    MainThread:14645 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-15 11:24:54,348 INFO    MainThread:14645 [wandb_run.py:_config_callback():1403] config_cb None None {'framework': 'ptorch_proper_pseudo_grad ', 'task': 'MNIST', 'hidden': [256], 'optimizer': 'ProjectionMuon', 'opt_lr': 0.001, 'batch_size': 8, 'seed': 43, 'run_number': 1, 'max_steps': 5000, 'eval_every': 200, 'patience': 10, 'loss_projection': 'CrossEntropyProjection', 'log_loss_projection': True, 'bilinear_projection_num_newton_steps': 10, 'cross_entropy_method': 'fixed_point', 'cross_entropy_num_steps': 10, 'cross_entropy_lambda': 5.0}
2026-03-15 11:26:31,960 INFO    MainThread:14645 [wandb_run.py:_finish():2291] finishing run learning_projections/pjax/1uhq2rqc
2026-03-15 11:26:31,960 INFO    MainThread:14645 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-03-15 11:26:31,960 INFO    MainThread:14645 [wandb_run.py:_restore():2472] restore
2026-03-15 11:26:31,961 INFO    MainThread:14645 [wandb_run.py:_restore():2478] restore done
2026-03-15 11:26:32,914 INFO    MainThread:14645 [wandb_run.py:_footer_sync_info():3868] logging synced files
